key,old,new
q50000003_00_34,古都の賜物,The Ancient City's Legacy
q50000003_00_34,"竜の翼たる歴戦の覚者たちよ
戦鬼どもの残党が、指輪と霊材を求め
エルフの遺跡を占拠した
奴らの手に霊材が渡る前に、これを一掃せよ",
q50000003_00_1265,制限時間内にモゴックを探し討伐する,
q50000003_00_1267,第１守備隊を討伐する,Defeat the 1st Garrison
q50000003_00_1369,第２守備隊を討伐する,Defeat the 2nd Garrison
q50000003_00_1371,第３守備隊を討伐する,Defeat the 3rd Garrison
q50000003_00_1373,第４守備隊を討伐する,Defeat the 4th Garrison
q50000003_00_1375,第５守備隊を討伐する,Defeat the 5th Garrison
q50000003_00_1377,第６守備隊を討伐する,Defeat the 6th Garrison
q50000003_00_1380,発見したモゴックを倒す,Defeat the found Mogok
