old,new
"あぁ、覚者か
いつも絶妙なタイミングで現れるな――
いや、助かるよ",
"実は、また奇妙な事件が起こっていてな――
人手が足りていないから、協力してくれると助かる",
"実は昨晩頃から、ハイデル周辺でアンデッドの
目撃証言が急増している
奴らが日の当たる場所に出るなんて珍しいんだが――",
"手が回っていない場所を調査してきてくれないか？
場所は《<SPOT 715>》だ
何か変わったものを見つけたら、持ってきてくれ",
"アンデッドの奴らが日の当たる場所に
出るなんて珍しいんだが――
やれやれ、また奇怪な事件って訳か",
"覚者よ、もしできるなら
手が回っていない場所を調査してきてくれないか？
場所は《<SPOT 715>》だ
何か変わったものを見つけたら、持ってきてくれ",
"これは――いったいなんだ？
随分禍々しい見た目だが――
俺は魔法やら竜力やらに詳しいわけじゃないが
それでも、こう――不思議なパワーを感じるな",
"はぁ――竜力が絡んでるとなると、
厄介なことになりそうだな",
"この件は覚者、専門家であるお前に任せた
とにかくアンデッド騒ぎを収めてくれればいいから
解決したら報告してくれ",
"この件は覚者、専門家であるお前に任せた
とにかくアンデッド騒ぎを収めてくれればいいから
解決したら報告してくれ",
"――こういう普段見かけないものが見つかると
大体いつも面倒なことが起きるんだよ――
しかも、なぜかいつも俺が当直の時に起きるんだよな",
"――なに？
異世界から来た喋るスケルトンが
世界征服のために潜入してるだと？",
"かわいそうに、打ちどころが悪かったんだな
この村の宿屋で少し休むと良い",
"――あぁ、そうそう、状況が変わったんだ
先ほど、アンデッド掃討特別部隊が編制された
だから、この騒ぎもじきに収まるだろう",
"無駄足になって悪かったな
どうせいつもの“竜力の淀み”とかその辺りが
原因なんだろう？",
"おそらく、お前にも討伐依頼が
そのうち舞い込むはずだ
その時にはぜひ、協力を頼む",
アア――オオ――,
"――
――――",
"人間――キサマ――
邪魔ヲスルナ――",
"――
――――",
"――頭ニ乗ルナヨ、人間
コレ以上、モモン――アインズ様ノ邪魔スレバ
殺ス",
馬鹿メ、カカッタナ！,
"ココハ俺ノナワバリ――
人間ゴトキガココマデ来レルカナ？",
"愚カナ冒険者メ
アインズ様ノ僕タル俺ニ出会ッタコトヲ
後悔シナガラ――朽チ果テルガ良イ！",
"ゲェッ！
ナンテ執念深サ――！",
"覚者？
――ナルホド、コノ世界デノ冒険者ッテ訳カ
“アンデッド目撃事件”ノ調査ニ来タ、ダト？",
"ククク――ナルホドナ
イイダロウ、教エテヤロウ",
"俺ハ、ナザリック地下墳墓ノ支配者デアル
不死王アインズ・ウール・ゴウン！
――様ノ創リ出シタ、強化型スケルトン・ウォリアーダ",
"アインズ様ノ崇高ナ目的――ソレハ
色々ナ世界ニスパイヲ送リコミ
情報ヤ資源ヲ集メ、全宇宙ヲ征服スルコト！",
"ククク――ソウ、俺ハ精鋭スケルトンスパイ
コノ自慢ノ知能デ
他ノスケルトンヤ魔物タチヲ、操ッテイタノダ",
"トニカク――ソレヲ邪魔スルッテイウナラ
容赦ハシナイ
貴様ニハ消エテモラオウ！",
"マ――待テ！
待テ、殺スナ！
何ガホシイ、金カ？",
"ソ、ソウダ！
オ前達ハ、金デ動ク冒険者ナンダロ！？
ナラバコウシヨウ、取引ダ！
アインズ様ニ協力スレバ、トビキリノ報酬ヲヤル",
"オ前ノヨウナ“腕自慢”ヲ探シテイタンダ！
サ、サッキノハ、実力ヲ試シテイタノサ
恨ミッコナシダ！",
協力シテクレルダロウ！？,
いやだ,
わかった,
"俺ハアルベド様ニ命ジラレテ
≪禍魂の晶石≫トイウアイテムヲ探シテイル
ソノタメニ多クノアンデッドヲ使ッテ
捜索シテイルンダガ――",
"全ク見ツカランノダ！
ヤハリ脳無シモンスターハ駄目ダナ
骨折リ損モイイトコロダ――",
"ソコデダ、オ前ラノヨウニ脳ミソガアッテ
腕モアル奴ラノ協力ガ必要ナンダ
モットモット、沢山ノナ",
"ダカラ、知ッテイタラ教エテホシイ
オ前ノヨウナ“冒険者ガ集マル場所”へ
連レテイッテクレ",
"フン、酒場カ――ドノ世界デモ人間ドモノ
考エルコトハ一緒ダナ
――アァイヤイヤ、活気ガアッテ良イ所ダネ！",
"ココデ募レバキット、沢山ノ猛者ガ集マルダロウ
オ前、人間ノクセニ――ナカナカ邪悪ジャナイカ！
アインズ様モ　キットオ喜ビニナルダロウ
感謝スルゾ",
"ソウダ、今回ノ駄賃トシテ――良イ物ヲヤロウ
コレハアインズ様ノ騎乗魔獣、ハムスケ様ノ御尊像ダ
コノ身体ニナッテカラ、手慣ラシトシテ作ッテミタ",
"サテト、少シ準備ノ時間ガイルナ――
後デマタ、正式ニ冒険者ノ募集ヲ始メヨウ
オ前モ、良カッタラ――マタ協力シテクレ",
ヤ、ヤッタァ――！,
"マ、待テ！　考エ直セ！
トリアエズ――ソノ武器カラ手ヲ離ソウ、ナ？",
"――コノ世界ノ空気ハ随分ト湿ッテイルナ
コウモ腐リヤスクテハ、アンデッド達モ
サゾ暮ラシニクカロウ",
"ア――アノぬいぐるみハ
マダコノ世界ノ気候ニ、ナレナイ頃ニ作ッタカラ
多少粗ガアルカモシレナイガ――
ハムスケ様ノ御尊像ダ、丁重ニ扱エヨ",
"サテト、少シ準備ノ時間ガイルナ――
後デマタ、正式ニ冒険者ノ募集ヲ始メヨウ
オ前モ良カッタラ、マタ協力シテクレ",
――協力スル気ニナッタンダナ！？,
やっぱりいやだ,
はい,Yes
"――ジャアドウスル？
骨ニナルマデ
ココニ居タイノカ？",
