"old","new"
"主、スポット探索は
クランショップから≪ポーン遠征隊≫を
購入する必要がある","Lord, you need to purchase ""Pawn Expedition"" from
clan store
to explore that spot."
"我が主――ポーンがいまだクラフト中にて
ポーン遠征隊の探索には参加できない","My Lord--the Pawn is still crafting
and cannot participate in the Pawn Expedition."
"本日の探索目的地を知らされたい","I would like to be informed of today's search destination"
"主よ、本日は既にスポット探索派遣済みの様子
探索には参加できない","Lord, I've already dispatched a spot search today.
I can't join the search."
"では、出発する","Then we're off."
"所持品に<VAL>個分の空きが無い様子――
このままでは遠征成果をお渡しできない","You require <VAL> free slots in your possession--
I can't give you the results of the expedition at this time."
"《<VAL SPOT>》へ探索に向かい
<VAL EMNAME><VAL>体等の
討伐に成功した――","We went to<VAL SPOT>to search for
<VAL><VAL EMNAME>.
The subjugation was successful..."
"《<VAL SPOT>》へ探索に向かい
生息していた<VAL EMNAME>
<VAL>体等の討伐を行った――
負傷は軽微","I went to<VAL SPOT>to search for
and killed<VAL><VAL EMNAME>
that were living there--
injuries were minor."
"《<VAL SPOT>》の探索からただ今帰還
<VAL EMNAME><VAL>体等の
討伐に成功した――他にご命令は？","We have just returned from searching <VAL SPOT>
 for<VAL EMNAME>and have successfully taken down
<VAL>enemies--any other orders?"
"我が主――《<VAL SPOT>》の探索中
宝物を発見し、入手した
――お受け取りを","My Master- Explored <VAL SPOT>,
found and obtained the treasure
--please accept it."
"《<VAL SPOT>》探索任務完了
探索成果として、宝物を入手した","《<VAL SPOT>》 search mission completed.
Obtained treasure as a result of exploration."
"我が主、《<VAL SPOT>》の
探索任務が完了し、宝物を入手
――軽微な消耗はあるが
任務遂行には問題無し","My Lord, 《<VAL SPOT>》's
search mission is completed and the treasure is obtained
-- minor wear and tear, but
no problems in carrying out the mission."
"――我が主、さらにご報告が
《<VAL SPOT>》に異変あり
クランメンバーとの共同探索をお勧めする","--My Lord, I have more to report.
 There is an anomaly in《<VAL SPOT>》
I recommend a joint search with clan members."
"遠征成果取り忘れには、ご注意を","Be careful not to forget to take the expedition results!"
"――ご用件は？","--Can I help you?"
"本日も、円滑なる使命達成を","A smooth mission completion today as well!"
"――覚者の同志殿に力が劣らぬよう
ポーンに可能な最大限の努力は行う所存","--I will do my best to be as powerful as my Arisen comrade"
"壁の凹凸、謎めいた梁――
未発見の部屋の存在は、否定できない
――主よ、探索の継続を勧める","Uneven walls, enigmatic beams--
The existence of undiscovered rooms is undeniable
--Lord, I encourage you to continue your search!"
