"old","new"
"覚者さま――あのう
クランショップから≪ポーン遠征隊≫を購入すれば
スポットを探索できるようになる、みたいです――","Lord Arisen--If you purchase ``Pawn Expedition'' from the Clan Shop,
It looks like you'll be able to explore spots.."
"ご、ごめんなさい――！
クラフト中のポーンは、ポーン遠征隊として
探索に参加することはできないんです――","I'm sorry, I'm sorry--!
Pawns in crafting are not allowed to participate in
expeditions--!"
"覚者さま、今日はどこへ
探索に行かれるんでしょうか――","Dear Master, where are you going to
explore today--?"
"あ、あれ――？
覚者さま、今日はスポット探索に派遣済みのようです
探索に参加できないみたい――ごめんなさい","Oh, that--?
Master, it looks like I've already been sent to explore a spot today
I can't seem to join the search--sorry!"
"覚者さま、それじゃあ――探索に行ってきます
うぅ、うまくいくといいなぁ","Master, in that case, I'll go explore.
Wow, I hope it goes well!"
"あのぅ――覚者さま？
その――手持ちに<VAL>個の空きがなくて、
遠征成果をお渡しできないみたいです","Excuse me, sir, but I'm afraid I can't give you the results of the expedition.
I'm afraid I don't have <VAL> spots available, and I can't give you the
reward."
"か、覚者さま――！
《<VAL SPOT>》へ探索に行き
<VAL EMNAME>を<VAL>体などの
討伐を頑張りました――！","Oh, Master!
I went to 《<VAL SPOT>》 to search
and did my best to
defeat<VAL><VAL EMNAME>, etc.--!"
"あ――あのう、覚者さま
ご命令通り《<VAL SPOT>》へ行き
<VAL EMNAME>を<VAL>体など――
なんとか討伐、できたみたいです","Ah--well, Master, I went to<VAL SPOT>as you ordered, and I managed to take out
<VAL><VAL EMNAME>, etc.--"
"《<VAL SPOT>》へ探索に行き
<VAL EMNAME><VAL>体などの
討伐成功しました――！
覚者さまに、喜んでもらえると嬉しいです","I went to 《<VAL SPOT>》 to search for
the <VAL><VAL EMNAME>, etc.
and succeeded in defeating them--!
I hope you are pleased with my success!"
"《<VAL SPOT>》探索、完了です！
それで、あ、あの、お宝を見つけました！
持ち帰ってきたんですけど――
あんまり期待しないでくださいね――","《<VAL SPOT>》 The search is complete!
So, uh, um, I found some treasure!
I brought it back--
Don't get your hopes up too high--"
"《<VAL SPOT>》の探索へ行ってきました――
あの――これ、見つけたお宝です
喜んでもらえるかは、わからないけど――","I went on a search for 《<VAL SPOT>》--
Um, here's the treasure I found.
I don't know if you'll be happy with it, but--"
"覚者さま――ご命令いただいた
《<VAL SPOT>》探索、完了です
お宝を見つけたので持ち帰ってきたのですが
これで、よかったですか――？","Master--Your order;
《<VAL SPOT>》 search is complete
I found a treasure and brought it back to you
Is this what you wanted?"
"そ、それと《<VAL SPOT>》に
異変が起きているみたいで――
クランメンバー全員で探索を行ってみると
いいかも――です","Also, there seems to be an
anomaly in<VAL SPOT>, so
it might be a good idea
for all clan members to search for it..."
"覚者さま――あ、あの
遠征成果の取り忘れには、お気を付けください――","Arisen--oh, um,
Please be careful not to forget to take the results of your expedition--and"
"覚者さま――あ、あの、お役にたてるなら
どんな事でもやりますから
――なんでも言ってくださいね","Master -- Oh, um, if I can help you,
I'll do whatever you need me to do.
--Please tell me anything you need me to do."
"足を引っ張らないように――今日も、がんばります！","Don't let me drag you down - today, too, I will do my best!"
"立派で素敵な場所ですね――
――自分には立派過ぎて、少し緊張します","It's a fine and lovely place --
-- too fine for me and I'm a little nervous!"
"うう、広すぎて迷ってしまいそうです――
怪しげな梁や隙間も多いですし
うっかり隠し部屋に迷い込んでしまったりして――","Ugh, it's too big to not get lost in--
There are a lot of weird beams and crevices
I could accidentally wander into a hidden room--"
