old,new
"次の作戦は――こっちでいくか
いやいや、逆にあっちの方が――",
"ボクは、よく独り言を言ってるらしいんだけど
みんなが言うほどの実感がなくってね",
"普段から、まわりに誰かいるかとかは
特に気にしてはいないけど
ボクにとっては自然なことさ",
――これは、独り言じゃないよね？,
"展望城に自分の部屋はないのかって？
ああ、それなら以前
一度作ってもらったことがあってね",
"でも、城内って広くて複雑でさ
部屋に戻るたびに迷うのに飽きてしまって
気が付いたら場所を忘れてたんだよ",
"今覚えてる場所は――
城の入り口と、王宮層と
あとはシチューのある食堂だけさ！",
ボクは、作戦というものは“生き物”だと思ってる,
"いくら事前に完璧に計画したつもりでも
その場の状況でいくらだって変わるし
思い通りに行く方が珍しいくらいさ",
"まぁ、そこが面白いところなんだけどね
何でも思った通りになるなんて
つまんないだろ？",
準備はいいかい？それじゃ行こう,
準備はいいかい？　それじゃ行こう,
きっと、何かあるはずさ,
きっと、何かあるはずさ,
ふんふん、なるほどね,
いや、待てよ？,
いや、待てよ？,
"そうか！　そういうことか！
やはり僕は、天才だね！",
"おかしいなぁ――
今日はちょっと調子が悪いらしい！",
"おかしいなぁ――
今日はちょっと調子が悪いらしい！",
ほら、僕の思った通りだろう？,
"はっはっは！
たまにはこんなこともあるさ！",
"はっはっは！
たまにはこんなこともあるさ！",
あー、キミキミ,
あー、キミキミ,
ちょっといいかな？　隊長,
ちょっといいかな？　隊長,
おかしいなぁ――,
やはり僕は、天才だね！,
それじゃあ行こう！,
ここにはもう何もなさそうだ,
さて、帰るとしよう！,
ああ、もう――だめだ――,
アハハハ！,Ahahaha!
アハハハ！,Ahahaha!
んんっ！？,
んんっ！？,
えぇっと――,
はぁ～,
はぁ～,
あれ――,
"ここにはもう何もなさそうだ
僕の勘がそう囁いているのでね
さて、帰るとしよう！",
"やったね！
僕らがいれば敵無しなんじゃないか！？",
"あー、ごめん
今ちょっと考えなきゃいけないことが
あってね、忙しいんだ",
"ありがとう！　助かったよ！
よしよしこれで――",
"もう終わったの？
さすが、頼りになるね！",
さて、何をする？,
さて、何をする？,
やあ,
やあ,
よく来たね,
よく来たね,
はあはあ、久しぶりの戦は体に応えるなぁ,
ちょっと待った、少し休憩させてくれ,
あれ、体が重いぞ、こんなはずじゃあ,
や、やっぱり僕は室内で策を練ってる方が――,
少しは、動けるようになってきたぞ――,
ああ、でもまだ苦しい、ちょっと休憩,
キミから見て、今の僕ってどうかな？,
もうちょっと頑張れそうな気も――ううん,
あははは、どうだい僕の動き、軽やかだろう？,
風のように走り、雷のように刺す！,
なに、前はちょっと腕が鈍ってただけさ！,
ふふ、戦える参謀官っていいよね,
え、見つかった！？,
さすが隊長だ！,
