old,new
"《英霊眠りし道》についての伝承は多いのです
子供もおとぎ話を通して知っていますよ",
"中は土砂で埋まっているので
いわゆる“墓場荒らし”もここにはやってきません",
"王家ゆかりの地であるのに、番人が
自分一人なのはそのせいですね――",
"自分も中には何度か足を踏み入れています
管理のこともありますから――
まぁ、土砂が無いところまで覗く程度ですが",
"はっ、覚者様！
ようこそおいでくださいました",
"英霊眠りし道は普通のダンジョンとは異なります
ある程度の武具を揃えて挑まなければ
踏破は難しいのではと――",
"また、内部は土砂で埋まっている通路もあります
もう土砂が流れ込むことはありませんから
一度でも撤去できればいいのですが",
"覚者様、お気をつけて――
危険を感じられたら
すぐに戻ってきてくださいね",
"開拓後の場所から
再突入できるようになりましたよ！
これで内部の調査がより捗るかと",
開拓後の場所から再突入しますか？,
はい,Yes
いいえ,No
"パーティーリーダーが行き先を
選ぶまで、少々お待ちください",
"パーティーリーダーが待っていらっしゃいますよ
《英霊眠りし道》へ突入しますか？",
はい,Yes
いいえ,No
"内部へ向かわれる際は十分に注意してください
まずは状況確認など、いかがでしょう？",
ダンジョンに入る,Enter Dungeon
開拓状況確認,Check Reclamation Status
報酬取得状況確認,Check Acquired Rewards Status
まさか、全ての道を拓かれるとは――！,
"実は――伝承では
全ての道を拓くことで
最後の試練が受けられると言われているんです",
"覚者様が全ての道を拓いたと同時刻に、
開かずの扉に変化が起きました
まるで、共鳴するみたいにです",
"最後の試練が待ち受けるのは
きっと開かずの扉の先なのでしょうね
――最後の試練に向かわれる時は
ぜひ声をかけてください",
"内部へ向かわれる際は十分に注意してください
まずは状況確認など、いかがでしょう？",
ダンジョンに入る,Enter Dungeon
開拓状況確認,Check Reclamation Status
報酬取得状況確認,Check Acquired Rewards Status
最後の試練に挑む,Challenge Final Ordeal
"最後の試練に向かわれるのですね
それでは、扉の封印を解除しておきます",
"あの先には、今までより困難な試練が
待ち受けているかもしれません",
"心して向かってください
ご武運をお祈りします
――覚者様のお戻りを信じておりますので！",
"覚者様、申し訳ありませんが
そのような武具で内部に進まれるのは
かなり危険かと――",
"番人として、覚者様をみすみす危険に
晒すわけにはいきません
武具を整えてから、もう一度いらしてください",
