old,new
"白竜様が貴方様を覚者としたは
レスタニアにとって大いなる僥倖――",
"いえ、白竜様は見抜かれておいでだった
のかもしれませぬ
貴方様の、“理の器”たる可能性を",
"では、こちらをお持ちください
貴方様の旅に、理の導きがありますよう",
"ようこそ覚者様、果てたる地へ
祠の守番として貴方様にお力添えを
いたしましょう",
"《ザンドラ禁域》は閉ざされた忌まわしき地
ゆめゆめそのこと、忘れられますな",
"覚者様のご活躍ぶり
この祠よりリムを通じて拝見しております",
"こちらをどうぞ
貴方様のため、僅かであれ力添えとなれば
良いのですが",
"《クエストボード》にある
神殿からの令書をご確認ください
中には重要なる件もございますゆえ",
"覚者様のお働き、お見事でございます
こちらをどうぞ
神殿からの報償でございます",
"私は古き世のポーン
我が主はかつてこの地を訪れ、命を落としました",
"それからは神殿と覚者様の標として
この祠を守り続けております",
"覚者様
どうぞ、こちらの品をお持ちください",
"本来ならば貴方を主とし
ポーンとしてお仕えしたいところでは
ありますが、ままなりませんゆえ
せめてもの奉仕にございます――",
険しき旅にある貴方様に、これを,
"ここから私めにできる奉仕は
このくらいのことでございますゆえ",
"わざわざのお立ち寄り、感謝いたします
どうぞこれを――
旅のお役に立ててください",
"休憩でしたら規定にて
<VAL PRICE_INN>をお支払いいただきますが
よろしいでしょうか",
はい,Yes
いいえ,No
"ここはかつてレスタニアの都であり
黄金郷と呼ばれたメルゴダが栄えた地――",
私は――,
"今はザンドラ禁域と呼ばれるこの地の
エリアマスターを拝命しております
ダイオンと申します",
"お気づきかどうか――
私はポーン――
遠き昔に、主をなくしたポーンです",
"我が主はこの禁域にて古き知識を求め
戦い、そして命を奪われてしまいました――
メルゴダが残した忌まわしき遺物によって",
"主の無念と遺志を継ぎ
また、白竜様と神殿の命を伝えるべく
ご奉仕させて頂いております",
"理を歪めしメルゴダが、再び同じ災禍を
レスタニアにもたらさぬよう――",
どうか、よろしくお願い致します,
覚者様のお働き、お見事でございます,
"神殿からの補給物資にて
支援いたしましょう",
これからもどうぞ、任務にお励みください,
"覚者様、亡都メルゴダを守る
古き錬魔の一団が、《双輪の谷》にて
いまだ徘徊しているようでございます",
付近を通行の際は、どうぞご注意を――,
覚者様のお働き、お見事でございます,
"神殿からの補給物資にて
支援いたしましょう",
これからもどうぞ、任務にお励みください,
"覚者様、かつてセラー湖より都へと
水を運んだ大地下水路――
《メルゴダ大水網》という場所がございます",
"かの水路は、わが主が命を落とした場所
長らく封鎖しておりましたが
貴方様であれば、あの場所の探索も
可能かもしれませぬ――",
"入り口の封印を解いておきましょう
ただし、探索されるかの判断は
貴方様ご自身で――",
"覚者様、とりいそぎ対処を
お願いしたき儀がございます",
"フロックヴァルト大橋へと至る道に
《バンデッドホーント》という蛮族の
関所がございます",
"そこに出現した古の巨人兵を
破壊いただきたいのです
これは神殿よりの重要な任務――",
"では、準備ができましたらあらためて
私にお声掛けください",
"覚者様、ザンドラの南部
セラー湖の岸辺にオークの残党が
宿営しているようでございます",
"それも、モゴックめに近いオークの将が
率いている様子――",
"オークは長らく、そして今も
レスタニアにとっての脅威そのもの",
"彼らが再び勢いを取り戻す前に
手を打たれるが得策かと存じます",
"覚者様のご活躍ぶり
この祠よりリムを通じて拝見しております",
"補給物資をさらに良きものと
なるよう、手配をいたしました",
"すでに戦いを共にできぬこの身を
歯がゆく思います",
"覚者様、ここより南東
東部ザンドラへ至る道中《南メルゴダ遺跡群》
を根城にするヒトの一団をご存知でしょうか",
"彼ら、そしてあの関所を築いたのは
《ザンドラ・バルバロイ》という者達です
古き時代より文化を捨て、蛮行を働き
生き続けてきた、人ならざるヒト――",
"その廃墟群に、巨人兵から逃れたためか
かの蛮族が集まり勢力を強めている様子",
"彼らに言葉は無意味
ゆめゆめ、お忘れなきよう",
"覚者様、凶報にございます
レスタニアにとって新たな脅威の芽と
なりうる事案が発生したのです",
