"old",""
"覚者よ、用件を聞こう","Arisen, let's hear what you have to say."
"――異界の狭間
私達ポーンが生まれ、渡り、そして人の中で
貴君ら覚者のみが訪れることのできる場所――","――The Rift
We, the Pawns, are born, wander, and exist among humans
Only you, the Arisen, can visit this place――"
"普段は意識することもないだろうが、ポーンや
他の覚者への呼びかけ、そしてリム転移もまた
あの空間を介し行われるのだ","You may not usually be aware of it, but Pawns and other Arisen, as well as Rift Teleportation, are all carried out through that sky."
"「世界は多層にして、一つは同時に無限」
これは、古のある覚者が残した言葉だ","The world is multi-layered, and yet unified in its infinity. This is a phrase left behind by an ancient Arisen."
"ポーンの身にその真理は知れぬが
あの場所は世界の本来の姿と、最も近いのかもしれぬ","The pawn may not know the truth,
But that place might be closest to the original form of the world."
"新しき覚者よ
ここは空間の接合点
《異界の狭間》の入り口でもある
必要が生じれば、異界へ赴くがいい","O new Arisen, this is also the gateway to The Rift. 
If necessary, you may proceed to the Other World."
"私だけではない
ポーンの長たる役目を負いし者は
皆、“理”と縁ある地の守役でもある","I'm not the only one.
Those who bear the role of the Pawn are all guardians of the land with an ""order."""
"その役目が、いつ、誰から始まったのか――
それは解らぬがな","When and from whom that role began--
I don't know."
"武器を鍛える術に
《クレスト》という素材を用いるものがある
これは特殊な力の結晶を、装備に付与する
ポーンの技だ","There is a way to enhance weapons, using a material called ""Crest"".
This allows you to imbue your equipment with the power of special crystals.
It is a skill of the Pawns."
"然るべき対価と引き換えに
《クレスト》を譲ろう","In exchange for the appropriate compensation, let us confer the ""Crest"" upon you."
"貴君の、《異界の狭間》へ行く準備と
覚悟ができたのならば、こちらはいつでもいいぞ？","If you are prepared and ready to go to the Rift of the Other World, my Lord, you can leave anytime."
"ポーンは戦うしもべかもしれないが
粗雑に扱うと貴君の心がすり減るぞ","The Pawn may be a loyal servant,
But if handled roughly, your heart will wear away."
"大きな脅威を退けても
レスタニアから魔物が消えたわけではない","Even though the great threat has been repelled, the enemies haven't disappeared from Lestania."
"戦いの準備は常に必要だ
これからもポーンが役に立てて、うれしく思うよ","Preparation for battle is always necessary.
I am glad that I can be of use as a Pawn, and I look forward to it."
