"old",""
"ご存知です？
あのニュースの件
ほんと、心配ですわね","Do you know?
That news incident...
I'm really worried, you know."
"噂というのはすぐに立つものですわ
そして、事件と共に移り変わるものですのよ","Rumors are quick to start and change with the events."
"覚者さま！　少し前、巨大な何かが
炎に包まれながら落下したそうなのです","Lord Arisen! It seems that something enormous fell while engulfed in flames, some time ago."
"たしか、南の村――テルの方でしたわ
巨大な流れ星が地面に落ちるのを
見た者もいるとか","I'm certain it happened in the southern village, Tel!
Some say they witnessed a massive shooting star falling to the ground!"
"もし調査に行かれるのでしたら
こっそり教えてくださらない？
私、口は堅いですわよ","If you are going to conduct an investigation, could you please quietly let me know?
I assure you, I can keep a secret."
"ご機嫌いかがです？","How are you?"
"《滅びの渦》について――
きっと、私よりも覚者さまの方が
お詳しいでしょうね","About the Vortex of Stagnation--
I'm sure you know more about it than I do."
"砦の方はどうなっているのでしょう
実は、弟が砦に勤めているのです
呼び戻した方がよろしいのかしら","I wonder how things are going at the fort. Actually, my younger brother works there. I wonder if it would be better to call him back."
"覚者の方々も、騎士団の方々も
顔色を変えて出てゆかれましたわ
ええ、私にも事の大きさはわかりますとも","Both the Arisen and the knights had their faces turn pale and left.
Yes, I understand the gravity of the situation as well."
"レスタニアですらこの有様なのですから
小さな村の混乱は計り知れませんわね","Even Lestania is in this mess.
The chaos in the small villages is immeasurable!"
