"old",""
"すごーい！　おめでとうございますっ！！
まさかの大当たり
特選祝福アイテムが出ましたぁ！","Amazing!　Congratulations!!!
You've hit the jackpot
by no means, you've got a special blessing item!"
"その強運は“持ってる”お方の証です！
間違いありません！","Your luck is a sign of a man who ""has it""!
No doubt about it!"
"またぜひ挑戦してくださいね！","Please try again!"
"バザーのメルさんも言ってましたけど
品との出会いは時々と縁と運――！","Bazaar's Mr. Mel also said that meeting with
items is sometimes a matter of fate and luck!"
"それが今日か、明日か、別の日か
読めないところがときめきなんです！","Whether it's today, tomorrow, or another day, the excitement comes from not being able to predict
!"
"珍しいアイテムや装備品が目白押しです！
《シルバーチケット》か《黄金石》を
お持ちでしたらぜひ挑戦してくださいね！","You will find a variety of rare items and equipment!
If you have a 《Silver Ticket》 or 《Golden Stone》
, please try it!"
"幸運と祝福の抽選所へようこそ！
さぁ覚者さま、じゃんじゃん挑戦していって
くださいね！","Welcome to the lottery of luck and blessing!
Lord, please challenge us bravely and
!"
"ここで案内人をしていると、たくさんの
覚者さまにお会いできて嬉しいです","I'm glad to see so many
memorizers here as a guide!"
"中にはいらっしゃるんですよ
すごく引きの強い方！","Some of them are there.
Very strong pull!"
"あ、でも覚者さまもすごくお強そうです！","Oh, but Lord Arisen seems very strong too!"
"ご利用ありがとうございます、覚者さま！
また挑戦してみてくださいね！","Thank you for your service, Mr. Sakuji!
Please try again!"
"わぁ！！
おめでとうございます覚者さま！
特別品が当たりましたよ！！","Wow!
Congratulations, Mr. Sakuji!
You've won a special prize!"
"その強運、さすがです！
ぜひまた挑戦して下さいね！","That's great luck, that's what I'm talking about!
Please try again!"
"当たるアイテムには、期間限定ものから
お役立ち品、豪華な装備までさまざまです！
ぜひラインナップを見ていってくださいね","Winning items range from limited time items to
useful items and luxurious equipment!
Please take a look at the lineup!"
