"old",""
"おや――少々意外ではあるな
錬金を忌む世で育った君が
《アルケミスト》に興味を持つとはね","Well--it's somewhat surprising that you, who grew up in a world that abhors alchemy, would be interested in becoming an Alchemist."
"正直に言って、興味本位は困る
これからのわたしの立場もあるからね","To be honest, I'm troubled by curiosity for curiosity's sake. Because it also involves my future position, you know."
"加えて、思い違いをしてもらっては
やはり困るが――","In addition, if you could misunderstand, that would still be troublesome..."
"いやいや、すまない
どうも警戒が先に立ってしまってね","No, no, I'm sorry. I was just being cautious, that's all."
"君なら問題ないだろう
課題さえ乗り越えてくれれば
喜んで指導させてもらうよ","If it's you, there should be no problem. As long as you can overcome the challenges, I would be happy to guide you."
"ほほう――課題を乗り越えたのか
君は白竜がかつて封じた錬金術を
覚者でありながら、学ぼうというんだね","Oh, I see—have you overcome the challenge? You, as an Arisen, wish to learn the alchemy that the White Dragon once sealed away."
"嬉しくもあり、危うくもあり――
だが君が選んだのなら
私はその選択を尊重するよ","With happiness and uncertainty intermingled--
But if that's what you've chosen,
I will respect your decision."
"では、《アルケミスト》として共に歩もう","Well then, let's walk together as 'Alchemists.'"
"錬金術とはそもそも、人の論理を用い
人の為に導く学問
理との共存も、君ならできるかもしれないね","Alchemy is, in the first place, the study of using human logic to guide people.
You might be able to coexist with reason, too."
"なかなかどうして、覚えが早いな、君は
もう中等レベルの錬金術は十分に
使いこなせているようだね","You're quite remarkable, your ability to learn quickly. It seems like you're already proficient in intermediate level alchemy."
"ならば、もう少し上級の技に手を出して
みてもいいかもしれない
こういう技だが、どうだい、やれそうかな？","In that case, you might consider delving into more advanced techniques. How about this technique? Do you think you can handle it?"
"ううむ、末恐ろしいな、君は
この短期間でこれほどまでに成長するとは
わたし、ディアマンテスでさえ――
――いや、やめておこう","Hmm, it's quite frightening how much you've grown in such a short period of time. Even I, Diamantes-
No, let's not go there."
"いいかね、錬金術は論理の結晶
自然なるものに、人為的に別の特性を
組み合わせ変化させる術だ","Listen, alchemy is the crystallization of logic. It is the art of combining and transforming the natural with artificial characteristics."
"君の意思、君が紡いだ論理こそが
技の要となる、それを常に思い出し
これからの技に向きあいなさい","Your will, the logic you weave is the key to technique.
Always remember that and face the future of your art."
"錬金術の中には、術の論理を戦いの技
として応用したものがある
自身の生命力を媒介に、物質を生成・変換し
組み変える技だ","Within alchemy, there are techniques that apply the logic of the craft as skills for battle. It is the art of generating, transforming, and rearranging substances by using one's own life force as a medium."
"《アルケミスト》として君が錬金術を学ぶ
なら、そちらの分野がいいだろう","As an ""alchemist"", you should study alchemy"
"溶命炉の力を見たのなら知っているとおり
命のエネルギーは人も魔も惹きつける
――あれに比べればもちろん、規模こそ小さいがね","If you have seen the power of the Furnace, as you know,
the energy of life attracts both humans and demons.
Of course, compared to that, it is small in scale, but you know."
"力の流れと理論を知り、意思によって自在に
操ることができれば、君が生成するエネルギーは
エリクシルと交わることで
敵を蝕む毒にも、友を守る薬にも変わるだろう","If you know the flow and theory of power, and can manipulate it at will, the energy you generate will intersect with the elixir and turn into a poison that will weaken your enemies or a medicine that will protect your friends."
"錬金術を扱う上で、もっとも大切なことは
やはり、錬成物質とエリクシルの変換だろう","When dealing with alchemy, the most important thing remains the transformation of alchemized substances and elixirs."
"エリクシルとは属性の性質そのもの
錬成物質はエリクシルと結合し発動
することで、様々な効果を帯びる","Elixirs are substances that combine with the attributes themselves and activate, giving various effects."
"どの戦いでどのエリクシルを用いるかが
戦いの結果にも大きく影響するのだ","The choice of which Elixirs to use in each battle greatly affects the outcome of the fight."
"君は《アルケミスト》として学んでいるのだね
調子はどうだい？
術の仕組みが解ってくれば
おのずと慣れてくるだろう","You are studying as an Alchemist, right?
How are you doing?
Once you understand the mechanism of magic, You will naturally get used to it."
"――そうだね、ジョブレベル１８と
いったところだろうか","--I'd say job level 18."
"それくらい基礎を修めたなら
次の段階に進んでもいいだろう","If you have mastered the basics to that extent,
you can proceed to the next stage."
"もっとも、その前に神殿で君の戦いぶりを
日頃見ているであろう者から
本当にアルケミストを続けるべきか
同意はもらっておいた方がいい","However, it would be wise to obtain the approval of those who have been observing your battle prowess at the temple before continuing as an Alchemist."
"君がアルケミストとしてさらなるものを求め
君の戦いぶりを見ている者も許すのであれば――
その時はわたしが直接手ほどきをしよう","If you, as an Alchemist, seek something even greater.
And if those who witness your battles are willing to forgive—
Then, I shall personally guide you."
"ほほう――
君は白竜がかつて封じた錬金術を
覚者でありながら、究めようというんだね","Oh, I see— You, as an Arisen, wish to learn the alchemy that the White Dragon once sealed away."
"嬉しくもあり、危うくもあり――
だが君が選んだのなら
私はその選択を尊重するよ","With happiness and uncertainty intermingled--
But if that's what you've chosen,
I will respect your decision."
"錬金術とはそもそも、人の論理を用い
人の為に導く学問
理との共存も、君ならできるかもしれないね","Alchemy is, in the first place, the study of using human logic to guide people.
You might be able to coexist with reason, too."
