old,new
どうした、何か不都合でもあるのか？,
"具合が悪いならそう言え
タダでとはいかないが
<VAL PRICE_INN>で寝床を用意してやる
どうだ、休んでいくのか？",
はい,Yes
いいえ,No
"具合が悪いなら寝床を用意してやる
ま、あんたみたいな人間が普段寝てるような
静かで柔らかい寝床じゃあないがな
――それでもいいか？",
はい,Yes
いいえ,No
"《弱化の治療》か
<VAL PRICE_WEAK>払えるっていうなら
ここで治してやるぜ
手持ちの金は十分か？",
はい,Yes
いいえ,No
"――面白くもない冗談はやめろ
そういうことをやってると
本当に《弱化》した時に困るぞ",
"ここで寝ようと思ったら
人の話し声や足音は絶えねぇうえに
誰かが食ってる飯の臭いはするしで
最初は苦労するかもしれねぇな",
"でも、慣れるとそれが
“安心する物音”になるんだ
不思議だろ",
"おい、外に出たら
また魔軍との戦いだろうが
準備は万端にしていけ",
"言っておくが、お前の心配をしてるんじゃない
アッカーシェランの心配をしてるんだ
お前には万全の状態で出発してもらわないと困る",
