"old",""
"ああ、その話だな
いいだろう","Ah, that story, right? That's fine."
"立場上、ひいきするわけにはいかないが
私が最も愛するジョブは当然《ファイター》だ","On principle, I cannot show favoritism, but my most beloved job is, of course, ""Fighter."""
"己が身を敵前にさらし、盾と剣を巧みに操り
それはまるで舞の如く――","Exposing oneself to the enemy and deftly wielding shield and sword. It's like a dance—."
"突破口を開いて敵陣深く入り込み
本陣をかく乱する――
ふふ、敵が驚き、呆ける顔を間近で見られるのは
《ファイター》だけだ！","Opening a breakthrough and infiltrating deep into enemy territory
Disrupting their main force -
Hehe, being able to see the surprised and bewildered faces up close
Is something only a Fighter can do!"
"おまえもなかなか腕を上げ、《ファイター》と
しての自覚を身に付けつつあるようだな","You have also been improving quite a bit and seem to be gaining a sense of being a Fighter."
"――よし、私から修練を課してやろう
そして今以上に技を磨き、一流の剣士となれ！","Alright, I will impose training upon you And thus, polish your skills even more, become a first-class swordsman!"
"よし、いいだろう
《ファイター》を名乗ることを許そう","Okay, fine. I'll allow you to call yourself a Fighter."
"まぁいい
新たな剣技を教えてやる","Well, never mind. I will teach you a new sword technique."
"今以上に強くなりたければ、修練を重ね
さらに技を会得するのだな","If you want to become stronger than you are now, train harder and further hone your skills."
"ほう――、かなり腕を上げたようだな
今のおまえなら、あの技も使い
こなせるだろう","Well, you've really improved your skills, haven't you?
With your current ability, you should be able to use that technique and master it."
"剣の役割とは相手を斬ること
だが、それは道具としての役目であって
剣の本質ではない","The role of a sword is to slash the opponent.
However, that is only its function as a tool.
It is not the essence of a sword."
"敵を削ぎ己を活かす
それこそが本質だ
勝敗、生死は全て、その結果
付いてくるものにすぎない","Reduce your enemy and make the most of yourself; 
That's the essence.
Winning and losing, life and death, are all just the result of what comes with it."
"それを心に留め、この技を修得するがいい","Remember that in your heart, you should strive to master this technique."
"知っての通り《ファイター》の武器は剣と盾
そして己自身の肉体だ","As you know, the weapon of a Fighter is a sword and a shield
and their own body."
"敵を討つ、それがファイターに課された最大の
役割だが、ただ攻撃をすればよいというわけではない
自身を守り、先陣に居続けることが仲間を救い
ひいては勝利につながるのだ","The greatest role imposed on a Fighter is to defeat enemies, but it's not simply about attacking. Protecting oneself and staying at the forefront can save comrades and ultimately lead to victory."
"攻守どちらをおろそかにしても、一流のファイター
とは言えないというわけだ","Regardless of whether you neglect offense or defense, it means that you cannot be called a first-class Fighter."
"敵と斬り結ぶ中、技術は後からでも付いてくる
ファイターとなるなら、まずは剣と盾が身体の一部と
思えるようになるまで振るい、感覚をなじませろ","With cutting with the enemy, the skill comes later.
If you want to be a fighter, first swing your sword and shield until you feel like they are part of your body
and familiarize yourself with them."
"それ以上のことは、おまえが一人前のファイターに
なった頃に教えてやる","I will teach you more when you become a full-fledged Fighter."
"盾は、身を守るだけのものではないぞ
使いようによっては敵の攻撃をいなし
反撃の足掛かりとすることもできる","The shield is not just for self-defense. Depending on how it is used, it can block the enemy's attacks and serve as a foothold for counterattacks."
"攻撃を受ける直前、敵の体重がかかる
わずかな瞬間を見定めろ","Just before receiving an attack, determine the moment when the enemy's weight is applied."
"そこを捉えれば反動はそっくり相手に
返り、態勢を崩すことができるだろう","If you seize that moment, the recoil will be completely returned to the opponent
, and you will be able to disrupt their stance."
"《クリティカルタイミング》――
ちまたではそんな呼び方をしているらしい
覚えておくことだ","《Critical Timing》――
It seems that is what they call it.
Remember that."
"ほう――
私に稽古をつけてもらいたいのか？","Oh... Do you want me to teach you a lesson?"
"なら少なくとも《ファイター》となり
ジョブレベル１８以上の経験を
積むことだな","Then you should at least become a 《Fighter》
and have at least 18 job levels of experience"
"その後、訓練官レンテンの許可が
出たなら考えてやろう
話はそれからだ","After that, I'll think about it if the Training Officer Renton gives the green light.
Then we'll talk about it."
"あぁ――
私に稽古をつけてもらいたいのか？
なるほど確かに相応の腕になったようだ","Oh--
you want me to train you?
Well, you certainly look like you're up to snuff."
"だが何事にも順序がある
まずは神殿の訓練官レンテンに
ジョブの基本を修めた報告くらいはしてこい","But there's an order to everything.
First, you should at least report to Lenten, the temple trainer,
that you've mastered the basics of the job."
