old,
"いやぁ～～！！
それにしても大活躍ですなぁ！","Oh no!
That's still a great success!"
"覚者様様、お陰様でキノザも
穴ぐらの面々も大助かりですよ！","Thanks to you, Arisen, Kinoza and
the hole in the ground have been a great help to us!"
"お礼はしっかりさせてもらいますんで
今後ともよしなに！","I will give you a proper
thanks, so please continue to be kind!"
"私はロイ
この鉱泉の管理とボルド地区のエリアマスターを
兼務してましてね","I am Roy
and I am in charge of managing this hot spring and the
Borudo area master"
"覚者さん方には毎度ごひいき
ありがとうございます！","Thank you very much for your continued favor to the Arisen
!"
"キノザに立ち寄った際は、
ゆっくりと温泉で羽を休めて頂いて
問題解決の方、ぜひよろしくお願いしますよ！","When you stop by Kinoza,
please take the time to relax and rest your wings in the hot springs and
please be the one to solve the problem!"
"――この辺りは鉱石の一大産地
なんですが、かつての活気も坑道に出る
巨人族のせいでずいぶん落ちたものです","This area used to be a major mining region, but the energy of the past has diminished due to the appearance of Giants in the mines."
"白竜様がお元気な時分は、それはもう
採掘も往来も盛んだったそうですがね","When Hakuryu-sama was in good health, I heard that
mining and traffic were very active."
"ともあれ、レスタニアを代表する保養地
キノザの活気は巡り巡って必ずや
白竜様、神殿の皆様にとってよきお力に
なりますとも！！","Anyway, the vibrancy of Kinoza, the leading recreational area of Restania
, will surely be a great help to
the White Dragon and the Temple
!"
"レオ統率やイリスさん、ヴァネッサさんにも
よろしくお伝え下さい","Please send my best wishes to Leo leadership, Iris and Vanessa at
"
"それにしても、毎度毎度
あれこれ対処頂いて！","But still, every time I go to
, you deal with this and that!"
"お手数お掛けしてる分、それなりに
応えなきゃあ、風呂番がすたるってもんです","If we don't
respond in a reasonable manner to the trouble you're taking, we'll all be disappointed."
"いやぁ、何かと手伝ってもらってすみませんね！
助かりますよ","Well, I'm sorry for all the help you've been giving me!
I appreciate it."
"支援品の方、融通させてもらいますんで
今後ともよしなに","I'll be happy to provide you with any support items you need.
I look forward to working with you in the future."
"いやぁ、何かと手伝ってもらってすみませんね！
助かりますよ","Well, I'm sorry for all the help you've been giving me!
I appreciate it."
やぁ、どうもどうも覚者さん！,やぁ、どうもどうも Arisen さん！
"覚者さんが力を貸してくださったお陰ですかね
どうも鉱泉の資源が豊かになってきた
気がしますな！","Thanks to the help of the enlightened
I feel
that the resources of the mineral springs are getting richer Thanks to the help of the enlightened"
"よければ羽休めも兼ねて、温泉で
ゆっくりしていってくださいよ","If you'd like, you can also take a break from your wings and relax at the hot springs
"
"そうそう！
こいつを持って行ってくださいよ！
覚者さんのため、特別に用意したんですから","Oh yeah!
Take this guy with you, please!
I prepared it especially for you, Arisen!"
どうです、結構な品でしょう？,What do you think?
"そうだ覚者さん
あなたにお話があるんですよ","Yes, Arisen.
I need to talk to you."
"ホボリック洞穴からダウ渓谷へ
つづく谷道のところに、《南壁のひび》って
洞窟があるのはご存知で？","Hobolik Cave to Dow Valley
Did you know that there is a cave called ""Cracks in the South Face""
at the end of the valley road?"
"そこは、中で鉱員が行方不明になるって
ことが続いて閉鎖された洞窟なんですが
私は良い鉱脈が伸びてるんじゃないかと
踏んでましてね――","It's a cave that was closed after a series of
miners went missing in it.
I thought there might be a good vein of ore growing there.
"
"何やら、洞窟内に光るものがあるとか
ないとかで――","Something about shiny things in the cave or
not--"
"どうです？
あなたなら行けるんじゃないですかね
探検にいっちゃみませんか
内緒で封鎖は解いておきますんで","What do you think?
Maybe you can go
and explore
I'll break the blockade in secret."
"お待ちしておりましたよ！
ささ、これをどうぞ！
日頃の礼です、道中お役に立ててくださいよ","We've been waiting for you!
Here, take this!
Thank you for all you've done for us. Please help us along the way."
覚者さん、いいニュースがあるんですよ！,"Mr. Awakening, I have some good news!"
"ダウ渓谷とボルド鉱山地区を繋ぐ谷道――
《南壁谷》を塞いでた土砂が、ようやく撤去できた
そうでして！","The valley road connecting the Dow Valley and the Boldo mining district--
The earth and sand that had been blocking the ""South Wall Valley"" has finally been removed
And so it was!"
"まぁ、《採掘師の隠れ道》を使えば通れはしますが
鉱員でもなければ
あんな危ない道は使いたくありませんからな","Well, you can get through if you use the ""miner's hidden path""
but unless you're a miner
you don't want to use that dangerous path."
"ともあれ、これでダウ渓谷方面、ジンゲン村との
行き来ができるようになりますな","Anyway, we can now go to
in the direction of the Dau Valley and to and from the village of Zingen."
"それにしても、毎度毎度
あれこれ対処頂いて！","But still, every time I go to
, you deal with this and that!"
"お手数お掛けしてる分、それなりに
応えなきゃあ風呂番がすたるってもんです！","If we don't
respond in a reasonable manner to the trouble you're taking, we'll be stuck with the bathtub!"
"またまた融通させてもらいますんで
今後ともよしなに","I'll be happy to accommodate you again.
I look forward to working with you in the future."
