"old",""
"さぁさ、ゆっくり見てってよ！
何はともあれ、武器がなくちゃ
戦いにならないからね","Come on, take your time and have a look! After all, without weapons, there's no fight!"
"自分の職で扱える武器でないと
買っても使えないからね、気をつけな","Be careful, even if you buy it, you can't use it unless it's a weapon that your profession can handle."
"何かお探しの武器でもあるのかい？","Are you looking for a weapon?"
"いらっしゃい！
武器の品揃えなら、ウチが一番だよ","Come on in!
We have the best selection of weapons!"
"そうそう、新人覚者さんや騎士さん向けに
入門用の武器を用意してるよ！","Yes, we have an introductory weapon for new Arisen and knights!"
"転職やポーンとの契約で必要になったら
とりあえずウチに顔だしな！
なにせ、武器がなきゃ始まらないからね","When it comes to job changes or contracts with a Pawn, make sure to turn to me first! After all, without weapons, nothing can begin."
"さぁさ、じっくり見てってよ！
あの《滅びの渦》をどうにかしに行くんだろ？
だったらなおさら、慎重に武器を選ばないとね","Now, take a good look! How are we going to deal with that ""Vortex of Ruin""? We better choose our weapons carefully."
"あたしたちには詳しいことは知らされないけど
でも、大変だってことは嫌ってほどわかるよ
――応援してるからね！","We're not told much, but we know it's tough ―― We're rooting for you!"
"腕によりをかけて作った武器だよ
きっちり売ってやらないと","This weapon was created with great skill. I won't sell it unless I get a good price."
"ウチが店を開けなきゃ
新人覚者さんや騎士さんは
どこで武器を手に入れるっていうのさ！","If we don't open the store, where are the new Arisen and knights going to get their weapons?"
