old,new
"さぁさぁ、お疲れでしょう
メガドでお休みならうちへどうぞ！",
"覚者さまのためなら
一番いいお部屋を<VAL PRICE_INN>で
ご用意いたしますよ！
寝心地も眺めも最高なんですから！",
はい,Yes
いいえ,No
"いえいえ、他ならぬ覚者さまですから
無料でご案内いたしますとも！
もちろんお休みになりますよね？",
はい,Yes
いいえ,No
"まぁー、弱化なさっているなんて
お辛いことでしょう
《弱化の治療》は<VAL PRICE_WEAK>ですよ
早速取り掛かってもよろしいでしょうか？",
はい,Yes
いいえ,No
"あらあら、ここにいらっしゃるまでに
治ってしまわれたみたい――
さすがは覚者さまですね！",
"うちはメガドでいっちばん古くからある
宿屋なんですよ！
古くて狭そうに見える？
――それが“味”ってものじゃないですか",
"長くやっている宿屋ですから
かつてはお忍びで居住層に遊びにいらした
王族もお泊りになったとか、ならないとか――",
"戦いに出る方は、宿でついでに
戦技を見直されることも多いんでしょう？
だから、戦技補佐ができる人に
いてもらうことにしたんですよ",
"ええ、ええ
宿は営業していますとも！
どうぞごゆっくりお休みくださいね",
"覚者さまも何かとお疲れでしょう
せっかくアッカーシェランに
来ていただいているのですから
やわらかなベッドくらいご用意しなければね",
"オークがメガドに攻め入ってきた時は
これ以上酷いことなんて無いと
思ったものですけどね――",
"覚者さま、ぜひ疲れを取ってから
ご出発くださいね
わたしたちには、このくらいしか
できないものですから",
