"old",""
"地上の水、動物、人、全てが恋しい
貴方達を見ると不思議なことに
そういう想いが湧いてきます","I miss the water on the surface, the animals, and the people.
When I see all of you, strangely enough such feelings well up within me."
"地上の品があれば、喜んで引きとりましょう","If there are earthly goods, I will gladly accept them."
"役に立ちそうなものはありましたか？","Did you find anything useful?"
"品物の取引であれば応じましょう","Let's consider a mere transaction for the goods."
"一つご忠告をしておきましょう
我らの元へ来る時は、可能なかぎり
拠点の礎を利用してください","Let me give you one important piece of advice: When you come to our place, please make use of the Portcrystals, which are the keystones of our Halls, as much as possible."
"《宮殿前広場》には、グリフィンアルケミーなどの
錬魔以外にも、メルガンの高等技師が機兵を
操っていることもあるのです","In the ""Palace Plaza,"" there are not only alchemized Griffins, but also advanced Mergan engineers who control mechanical soldiers."
"――ああ、我々も覚者であったなら
この礎で懐かしき地へ戻ることが
できるのに――","- Sigh... If only we were Arisen, we could return to that nostalgic land with this keystone..."
"ええ、あなたとの取引であれば
いついかなる時でも応じましょう
それが助力となるのであれば――","Yes, if it's a mere transaction with you, I will accommodate it at any time, as long as it helps."
"地上のもの全てを恋しく思ってきました
たとえ我々がそれらを二度と見ることが無くとも
この世から失うわけにはゆきません","I have longingly yearned for everything on the surface.
Even if we never see them again, we cannot lose it from this world."
"忘れないでください
メルゴダの民も、レスタニアの力と
なりたがっていたと","Please do not forget;
The people of Mergoda, also wished to possess the power of Lestania"
"――この世は、全てをあなたに
背負わせることになってしまいましたね","-This world has ended up burdening you with everything, hasn't it?"
