old,
"ああ、覚者様！！
あなたのお力をお貸しいただきたい事が――！","Oh, Master Arisen!
I have something I need your help with--!"
"ジンゲンの上、崖を登ったダウで最も標高の
高い所に《歌姫の崖座》と呼ばれる場所が
あるのですが――","Above Zingen, at the highest elevation
on the dhow up the cliffs, there is a place called ""The Cliff Seat of the Diva""
"
"例の魔鳥、《妖歌のローレライ》が
今度こそ本当に姿を現したのです！！","The demon bird, ""Lorelei the Spectator,""
has really shown itself this time!"
"ジンゲンの民半数を攫い
相当数の覚者と騎士が命を落とし
ようやく撃退した、かの魔物が！","Half of the people of Jingen were kidnapped,
a considerable number of Arisen beings and knights lost their lives,
and the demon was finally repelled!"
"覚者様にばかり頼ることはできませんが
もし可能であれば――どうか！
依頼を引き受けていただきたいのです","I can't rely on the memorandum of understanding all the time, but
if it is possible--please!
I would like you to accept my request."
"あなたさまがジンゲンに掛けて下さる
お心遣いの数々――
感謝してもしきれません","I can't thank you enough for all the
kindnesses that you hang on Jingen--
"
"あなたこそまさに
白竜様が我々に遣わして下さった恵みです","You are truly
the blessing that the White Dragon has sent to us!"
"比べられるものではありませんが
我々にできる精一杯の礼を用意しました
ジンゲンの民は、あなたと共に","It's nothing to compare.
We have prepared the best thank you we can.
The people of Jingen are with you."
"あなたさまが村に滞在されるようになって
民の表情も明るくなったかのようです","Since you have been staying in our village
it seems as if the people's faces have brightened!"
"どうか、これを――
そして今後もよろしくお願いいたします","Please let this be--
and keep up the good work!"
"村の依頼を引き受けて下さり
ありがとうございます
心ばかりですが、我々からの礼でございます","Thank you
for accepting the Village's request
It's a small gesture of gratitude from us!"
"いつも懇意にして下さるあなたさまに
何かできることはないかと思い
我々でこれを用意いたしました","We thought it would be nice to do something for you, our ever loyal friend

and we have prepared this for you."
いつでもあなたを歓迎いたします,We always welcome you.
"たびたびご足労をお掛けします
ねぎらいとなるか分かりませんが
これを用意いたしました","Thank you for your frequent visits
I don't know if this is a compliment, but
I have prepared this for you."
どうかお受け取りください,Please accept it.
"谷道は厳しかったでしょう
つまらぬ物ですが、こちらは立ち寄って
いただいたお礼です","Must have been tough on the valley roads.
Boring stuff, but here's a thank you for stopping by and
"
"遠路はるばるようこそ
ダウ渓谷へはどのような？","Welcome to the long way to
What is it like to visit the Dow Valley?"
"美しい渓谷に針葉樹林
ドリード城の佇まい――","Coniferous forests in a beautiful valley
The appearance of Dorid Castle--"
"ダウ渓谷は美しい土地です
どうかジンゲンのため、あなたさまのお力を
お貸し下さい","The Dow Valley is a beautiful place
Please help us help you
for the sake of Gingen!"
"谷山の上には、チェスターという青年が
一人で暮らしています","On top of the valley mountain, a young man named Chester lives alone
"
"相当の変わり者ですが、軽業の技術で
右に出る者はいません","Quite a strange one, but you'll find
no one more skilled in acrobatics!"
"あなたが渓谷を愛する方であれば
あの者と気が合う事でしょう","If you love canyons,
you two should get along well."
"滝の水音に薄い雲、豊かな緑
魔物の脅威さえなければ、ここは実に
穏やかな村なのですが","The sound of waterfalls, sparse clouds, and lush greenery.
Were it not for the threat of the monsters,
this would be a truly peaceful village."
"ようこそいらっしゃいました
お伝えすべきことがあるのです","Welcome!
There is something I must tell you."
"このダウ渓谷に置かれた《辺境の礎》が
全てあなたさまのために解放されました","The ""Sub Portcrystals"" placed in this Dowe Valley
have all been released for you!"
"この辺りでのあなたさまの格別の働きを
神殿が評価しての配慮とのことです","I'm told that this is a consideration in recognition of your exceptional work in this area
by the Temple."
"どうぞ、これを機会に
この美しいダウ渓谷の自然を
すみずみまでご覧ください","Please take this opportunity to visit
and
to see every detail of this beautiful Dow Valley nature!"
"ああ、覚者様！
どうかお力をお貸しください――
ジンゲンの村の危機なのです","Oh, Lord Arisen!
Please help us--
It is a crisis in the village of Jingen!"
"実は、少し前から外で遊んでいた子供が
行方不明になる事件が相次ぎました","In fact, there has been a spate of missing children
who have been playing outside for a little while now!"
"たまりかねた親たち、年かさの兄弟たち
さらには居合わせた旅の方までが
何人も連れ立って捜索へと旅立ったのですが
ついに一人も戻らず――","Unable to bear it, the parents and older siblings
and even some travelers who were there
set off to search with a number of others, but
finally none of them returned..."
"そして先日、カタコンベ近くで
何体もの石像が発見されました
生生しい、何かから逃げ惑うような姿勢のものが――","Then, the other day, near Kataconve
Numerous stone statues were discovered
Lifelike figures, as if fleeing from something."
"あれは捜索に出た者たちが
石にされたものではないでしょうか――
この村に大きな脅威が迫っているのではと
気が気ではありません","Could it be that those who went on the search
were turned into stone?
I can't help but feel that a great threat is looming over this village
."
"覚者さま
あの辺りに危険な魔物が潜んでいないか
一度調査していただけないでしょうか
何卒ご一考のほどを――","Dear Arisen
Could you please investigate
once to see if there are any dangerous demons lurking in that area
Please give us some thought--"
覚者様、実は――,"Lord Arisen, actually--"
"以前、ガーゴイルの群れを討伐してくださった
場所の近くに《見捨てられた井戸》が発見されました","An ""Abandoned Well"" has been discovered near the
location where you previously took down a herd of gargoyles!"
"まるで中から逃げ出そうとしているような姿勢の
石像も一緒に見つかったのです","They also found a
stone statue with it, in a posture as if it were trying to escape from inside!"
"もしかすると、あの辺りの石像はガーゴイルではなく
井戸の中にいる何か恐ろしい魔物から
逃げようとしていたのかも知れません","Maybe the stone statues in that area were not gargoyles
but were trying to escape
from some horrible demon in the well!"
"この村の危機は
まだ去っていないのでは――","The crisis in this village may not have
gone away yet--"
覚者様、度重なる依頼をお許しください――,"Arisen, please forgive the repeated requests."
"実は、《見捨てられた井戸》に近づいた者が
井戸から人の声のような物音が
聞こえた、と申すのです","As a matter of fact, someone who approached the Abandoned Well
claimed to have heard what sounded like human voices
coming from the well."
"もちろん魔物の声である可能性も大いにありますが
このままでは我々も諦めがつきません
どうか、井戸の奥を確かめてきては
いただけないでしょうか","Of course, it could very well be the voice of a demon.
We are not giving up at this point.
Please, go check the depths of the well.
"
