"old",""
"あらぁ～、ホントよく来てくれたねぇ！！
あんたみたいな人が来てくれると
エンポリオの意固地にも意味があるってもんだ","Ohh, you've come here again! 
When someone like you comes, it gives meaning to Emporio's stubbornness."
"ああ、エンポリオには会った？
あれ、わたしの夫なんだよね","Oh, have you met Emporio?
That's my husband."
"このあたりはオークに支配されてから
すっかり荒れ地になっちまってね――","This area has become a wasteland since it came under the domination of the Orcs."
"だからハイデルあたりへ移住しようって
いつも言ってるんだけど夫はどうしても
この故郷を守るって意地を張るんだ","That's why I always say let's move to Heidell or somewhere.
But my husband insists on protecting this hometown out of sheer obstinacy."
"あの人、溜息ばっかりでしょ？
それを見てるとなんだかさぁ
仕方ない、支えてやらなくちゃって、ここ――
バートランド北部のエリアマスターをしてるわけ","That person, always sighing, right?
When I see that, somehow,
I can't help but support them, because here--
They are the Area Master of Betland."
"張り切って手伝うから、神殿に戻ったら
ドラワンを見捨てるなって伝えてよね
ほら、神官様とか、えらい人にさ","When we return to the temple, please let them know not to abandon Drawan. 
You know, the priests and important people. I'll help enthusiastically, so don't worry. 
From now on, we will take care of Drawan together."
"もうさ、あんたがさ、ドラワンのために――
ここまで尽くしてくれて――
顔見たら涙が滲んじまったよ","You know, you've done so much for Drawan--
I couldn't help but tear up when I saw your face..."
"ううっ、わたしには大それたことできないけどさ
これでちょっとでもあんたの役に立てるなら――","Ugh, I can't do much, but if this helps you in any way--"
"ぐずっ！　あらやだ鼻が――","*Sniff*! Oh no, my nose—"
"あんたが手伝ってくれて
いつもほんっと助かってるよ！
感謝してるんだから","You always help me out, and I really appreciate it! I'm grateful to you."
"そうだ、これをお礼にと思ってね
使い勝手良さそうでしょ？
これからもお願いね！","Oh yeah, and I thought I'd return the favor with this one:
Looks easy to use, doesn't it?
Keep up the good work, please!"
"何かと手伝ってくれてありがとうね！
大したことはできないけど、こいつぁ礼だよ","Thank you so much for helping me out! I may not be able to do much, but this is my way of saying thanks."
"最近あんたが来てくれるのが楽しみでね！
はりきってこんなもん用意しちゃったよ！
さ、持っていっておくれ","I've been looking forward to your visits lately!
I'm so excited to have you here that I prepared this for you!
Go ahead, take it."
"しょーもない村だけどさ
みんなあんたにゃ感謝してるんだ
いつでも来ておくれよ！","It may be a trivial village, but everyone is thankful to you.
Please come visit anytime!"
"いつも顔だしてくれて悪いね！
せっかく来てくれて旦那の溜息ばっかりってのも
あれだし、これをあげるよ","I'm sorry for always bothering you! 
It's not good for you to come all the way here and only hear my husband's sighs. 
So, here's something for you."
"遠慮せず使っておくれ","Please feel free to use it."
"わざわざこんなヘンピなとこまで
来てもらって悪いね！
そうだ、これあげるよ、使っておくれ","I'm sorry for making you come all the way to this strange place! 
Oh, I know, I'll give you this. Please use it."
"あらぁ、ドラワンによく来たね！
仕事の相談かい？","Oh, you come here to Drawan often, don't you?
Are you here to discuss work?"
"よーし、今日も張り切っていくよ！","Alright, let's go! I'm all pumped up for today!"
"あの人、いつも溜息ばっかりでしょ
最初はつられてわたしも溜息出てたんだけど
なんだか最近逆にやる気がでてきてね","That person is always sighing, aren't they? 
At first, I was caught up in it and found myself sighing too, but lately, I've strangely been getting more motivated."
"女房だし、支えてやらなきゃって
思うのかしらね","I wonder if she thinks I have to support her since she's my wife."
"手伝ってくれるならどんなことでも嬉しいよ！
できる範囲でいいからね","I would be glad to help with anything within my abilities!"
"何かと手伝ってくれてありがとうね！
ちょっとでもいいもんを、あんたに
譲ったげるからさ","Thank you for all the help!
I'll give you something, even if it's just a little."
"大したことはできないけど、こいつぁ礼だよ","I can't do much, but here's a token of appreciation."
"あ、あんた！
いいとこに来たね、お知らせだよ","Ah, there you are!
You've come at a good time, I have some news for you."
"《バートランド地下道》って道が、
川を渡って東に行った高台の上にあるのさ","The Betland Underground Passage is a road that is located on a hill east of a river."
"あのあたり、ずっとオーク共が変なイヌを
飼うのに使ってて、おまけに地下道も中から
封鎖されてたのよね","In that area, Orcs have been keeping strange canines as pets, and on top of that, the underground passage has been blocked from the inside."
"だけど、南の平原側から隊士さんが来て
開通できたみたいなのよね
今はオーク達もどっか行ってるみたいだし
せっかくだから通ってみたら？","But it seems like soldiers are coming from the southern plain.
They say it's now open for passage.
The Orcs seem to have gone somewhere else too.
Since we've come this far, why not give it a try?"
"ちょっと嫌な話があるのさ
ガルドノック砦――オーク達の砦前で
出陣準備をしてる連中がいるみたいなのよ","There's something unpleasant I need to tell you. 
It seems that there are some folks preparing for departure outside the Gardnox Fortress, the Orc stronghold."
"《砦前・千本棘の陣》さ
もしそういうオーク達を見たら、邪魔して
やってくれないかい？","Fortress Front: Barbed Line, huh? If you happen to come across those Orcs, could you please intervene and get rid of them for me?"
"オークの部隊なんてのが
ドラワンに来られちゃ、たまったもんじゃないよ！","An orc squad coming to Drawan is no laughing matter!"
"グリッテンだっけ、そっちの方に
行く連中かもしれないしさ","Gritten, right? Maybe they're going to that way."
"あんた！　ちょっと聞いてよ！","Hey, listen up!"
"ドラワン教会の《地下納骨堂》
なんだけどさ――","The Drawan Church's ""Underground Crypt"" - you know, I was thinking..."
"すっごく気になる事が分かってさ
どうにか頼りになる人に中の様子を
見て来てほしいのよ","I just found out something that's really bugging me and I need someone I can count on to go take a look at what's going on inside."
"ねぇ、後生だから！！
お願いできないかい？
今は入れるようになってるからさ","Hey, I'm younger, you know!
Can't you do me a favor?
Because now I can join in."
"あんたが手伝ってくれて、いつも
ほんっと助かってるよ！
感謝してるんだから","You always help me out, and I really appreciate it! I'm grateful to you."
"そうだ、これをお礼にと思ってね
使い勝手良さそうなもの、回したげるよ！","Oh yeah, and I thought I'd return the favor with this one:
Looks easy to use, doesn't it?
Keep up the good work, please!"
"これからもお願いね！","Keep up the good work!"
"ちょっとちょっと、ニュースだよ！
《フロックヴァルト大橋》の門が開いたのさ！","Hey, hey, I've got news for you! The gates of the Flocwald Bridge have opened!"
"なんで急に開いたかはわからないんだけど
どうしてかね、禁域で何かあったのかね？","I don't know why it suddenly opened, but I wonder if something happened in the Forbidden Zone."
"あたしらはどっちにしろあまり関わりたく
ない場所だけど、あんたにとっては
禁域にいく理由があるかもしれないだろ","We don't really want to get involved either way, but there might be a reason for you to go to the Forbidden Zone."
"もしそうなら、行ってみるといいよ","If so, it's a good idea to go and check it out."
"ちょっとちょっと、大変だよ！
東の地下道前なんだけど、またいつの間にか
オーク共がイヌの訓練を始めたみたいなんだ","Hey, hey, it's a big deal!
In front of the East Underground Passage, somehow, once again it looks like the Orcs have started training their dogs!"
"せっかく居なくなったと思ってたのにさ！","I thought they were gone for good!"
"やつら、この村や南の平原に攻め込むのに
イヌ共を使う気に違いないさね","Those guys, they must be planning to use dogs to invade this village and the southern plains."
"なんとか手を打てればいいんだけど――
あんた《魔犬養育所》、何とかできないかい？","I wish I could do something about it--
Can't you do something about it, the 《Demon Dog Kennel》?"
"あんたに一つお知らせがあるよ！
フロックヴァルト大橋近くの
《テゴル治水路》なんだけどさ","I have a piece of news for you! It's about the ""Tegor Flood Control Channel"" near Flocwald Bridge."
"あそこは、ガルドノック砦がオークに占領
された当時に、騎士団が封鎖した場所だったのよ","At that time, Gardnox Fortress was occupied by Orcs, and it was the place that the Knight Order blocked."
"それを引き継いで封鎖してきた
わけなんだけど、
古くても使える遺物があれば
活用したほうがいいじゃない？","To take over and block it, wouldn't it be better to make use of any ancient relics that are still functional?"
"私らには危ないけど
あんたには役立つものもあるかも
しれないから、開けておいたよ","It's not safe for us, but some of it might be useful for you so I opened it."
"暇なら一度、覗いてみなよ！","If you have free time, please take a look!"
"あぁ、どうしようかねぇ！
困ったことになったんだよ","Oh, I don't know what to do!
I'm in trouble."
"ガルドノックから村に続く道の途中のさ
《ガルドノック哨戒地》なんだけど――","From Gardnox Patrol Area, along the road leading to the village..."
"そこにすっごい大っきな牙のドラゴンが
出たってのよ！","There, a dragon with huge fangs appeared!"
"どうしよう、ついにドラワンも終わりなのかねぇ
ああいやだいやだ――","I don't know, I wonder if this is finally the end of Drawan.
Oh no, no, no--"
"誰か――、そうだ、あんただ！
あんた、なんとかしておくれよ！
後生さね！　","Somebody--yes, you!
You've got to do something!
For God's sake!"
"もうさ、あんたがさ、ドラワンのために――
ここまで尽くしてくれて――
顔見たら涙が滲んじまったよ","You know, you've done so much for Drawan--
I couldn't help but tear up when I saw your face..."
"ううぅっ、私には大それたことできないけどさ
ちょっとでもあんたの役に立てるなら――","Ugh, I can't do much, but if I can be of any help to you at all--"
"ぐずっ！　あらやだ鼻が――","*Sniff*! Oh no, my nose—"
"ねぇねぇ、この辺りにある《辺境の礎》が
ぜ～んぶ使えるようになったんだって！
あんたの移動も楽になるよ、きっと！","Hey hey, I heard that all the ""Sub Portcrystals"" around this area are now available for use! Your movement will definitely become easier, I'm sure!"
"こっちにまで礎を作ってくれるってことは
神殿もバートランド北部のこと
見捨てたわけじゃなかったんだね――","The fact that they're even building a Keystone over heremeans that the Temple didn't abandon the northern part of Betland--."
"ぐすっ
ああいやだよ、涙腺がゆるんじまって――","*Sob*
Oh no, I'm tearing up...."
"そうだ、これはあんたに相談しといた方が
良さそうな話なんだけどさ","Yeah, I should probably talk to you about this"
"最近、ガルドノック砦の方が
何だか騒がしいんだよ
オークたちがやけに出たり入ったりしてるしね","Lately, Gardnox Fortress has been quite noisy. The Orcs seem to be going in and out quite a bit."
"もしも中でよからぬことが起こってたら
このドラワンだけじゃなく
グリッテンも危ないかも知れないよ","If something inappropriate were happening inside, not only Drawan, but Gritten might also be in danger, you know."
"あんたさえ良ければ
一度中を見て来てもらえると安心なんだけど――","If you don't mind, I'd feel a lot safer if you came by once to take a look inside--"
"あ、中を見てきてくれるっていうなら
あたしに一声かけてから行ってね！
分かってること全部教えてあげるから！","Ah, if you're going to look inside, let me know first!
I'll tell you everything I know!"
"ちょうどよかったよ！
あんたに伝えておきたいことがあるんだ！","That's great!
I have something to tell you!"
"この前見てきてもらったガルドノック砦に
侵食されたオークがいただろ？
それを調査したいって騎士団の人たちが来てさ","You know the Orcs that had invaded Gardnox Fortress that I showed you the other day? Some members of the knight order came to investigate it."
"その騎士さんたちがガルドノック砦の奥にある
《ガルドノック廃水廊》ってところを調べたら
もう侵食が進んで大変なことになってたらしいよ","It seems that those knights have investigated the Gardnox Wastewater Tunnel deep within Gardnox Fortress, and it appears that the corruption has advanced and become quite severe."
"入口は多分騎士さんが開けたままになってるから
あんたも気になるなら見てくればいいよ","The entrance is probably still open because the Knight didn't close it.
If you're curious, you can take a look."
"なんか調べてるんだろ？
あの侵食魔ってやつのこと","I wonder if you're looking up something?
About that thing called the Corruption Magic."
"ああ、あんたかい
ちょっと聞いておくれよ","Ah, is it you?
Hey, could you listen for a moment?"
"何日か前さ、村の近くで
気持ちの悪い魔物を見たんだよ――
少なくともあたしはあんなの見たの初めてだよ","A few days ago, I saw a creepy enemy near the village, you know. It's the first time I've ever seen something like that."
