"old",""
"――ほう、ほうほう！
良いッ！　良いぞおぬしッ！！","Oh, I see, I see! Well done! Excellent, my good sir!"
"あの偏屈ながら確かな目を持つ
ナディアが認めたということは
この東ザンドラで相当の死合いを
くぐり抜けてきたと見える！","The fact that even Nadia, with her eccentric yet keen eyes, has acknowledged it means they must have endured some serious battles here in East Zandora!"
"おぬし、《ウォリアー》を志してはみんか？","Are ye aspiring to be a Warrior?"
"両手に握りしめたエモノに
渾身の力を込め、溜め、振り下ろすッ！！
それは世界の中心は我が両腕と思えるほどの
恍惚の時ッ！！","With a firm grasp on it in both hands, I gather all my strength, concentrate and swing down!!
It is a moment of ecstasy so intense that I feel the world revolves around my arms."
"――おおおおッ！
今、鼻の穴が開いたな！？
そうだ！！　そうこなくてはッ！","――Ohhh! My nostrils are flaring! 
Is it true?! Yes! 
It has to be like this!"
"遠慮することはない！
我が課題に挑戦するが良い！","There is no need to hold back!
You should challenge yourself to tackle my task!"
"さすればこのオリバー
おぬしを《ウォリアー》として、さらなる
強者の高みに推し上げてくれるッ！！！","Then this Oliver will take you as a ""Warrior"" and propel you to even greater heights of strength!"
"フハハハハッ！！
どうした、声が小さいぞ！！","Hahahahaha!
What's the matter, your voice is so quiet!"
"より強く、より熱く、そしてより激しくッ！！
剣を振れば振るうほど、その頂きが
いかに遠いか思い知る日々よッ！","Stronger, hotter, and fiercer!
The more I swing my sword, the more I realize how far away the top is!"
"そうは思わないか！？　ん？","Don't you think so?! Hm?"
"うむ！　おぬしはなかなかの猛者と見たッ！！
どうだこのゾマは！！","Indeed! I see you are quite the formidable warrior!! 
How about this Zoma!!"
"腕を磨くには持って来いだろう！？","It would be perfect to enhance your skills, wouldn't it!?"
"むううううんッ！！
コロッサスもキメラももはや物足りん！！","Muuuuunnnn!
Colossus and Chimera are no longer enough!"
"我が死合いの相手が務まるは
古のカラクリ人形くらいのものか！","Is there anyone capable of facing me in battle?
Someone as skilled as an ancient clockwork doll!"
"おぬし、受けた傷の痛みは忘れんと
いう気概はあるか！？","Do you have the determination not to forget the pain of the wounds you've received!?"
"《ウォリアー》たるもの、わが身に受けし
痛みは倍返しが要！","As a Warrior, I have to take it in my body and double the pain!"
"フハハハハハッ！！
うむ、おぬしの覚悟、しかと認めたりッ！","Hahaha! Arisen, I have duly recognized your resolve!"
"《ウォリアー》として剛の剣を振るうに
相応しい気概、気に入ったぞ！","As a Warrior, wielding a mighty sword with the appropriate determination, I am pleased with your spirit!"
"敵を倒す！　食らいついてでも倒す！
受けた痛みは倍返しで叩き潰すッ！！","Defeat the enemy! 
Even if it means sinking your teeth into them, bring them down! 
The pain endured will be returned twofold as you crush them!!"
"《ウォリアー》なれば、最強の強者を
目指し死合う事こそ、本望であり本分","To become a Warrior and strive for battle
Is my true wish and duty
To become the strongest of the strong"
"ファイターとは根本的に違う生き物だという
ことを、心にしかと叩き込めッ！！","Impress upon your heart that a Fighter is fundamentally a different being!!"
"おおおおッ！！
良い面構えになってきたなッ！
おぬしの筋肉も気合で震えておるわ！","Ohhhhhh!!
You're starting to look good!
Your muscles are trembling with fighting spirit!"
"よぉーしッ！　おぬしに我が剛剣の業を
一つ伝授してやる
薙ぎ払い、敵を打ち砕くのだッ！！","Alright!! I shall bestow upon you the skill of my mighty sword. 
Learn to strike down your enemies and crush them!"
"ファイターとは異なる剛の剣、それが
《ウォリアー》よッ！！","A sword of Strength, distinct from a Fighter;
that is the Warrior!!"
"盾など不要！　敵にぶつかり叩き潰すッ！
そして受けた痛みは闘志に変えて叩き返すッ！！","No need for a shield! Crush the enemy by crashing into them!
And turn the pain you receive into fighting spirit to strike back!"
"その生きざまをよしとするなら
共に振りかぶろうではないか！
ぶ厚き刃を、力の限り！！","If you approve of that way of life, let's wield it together!
Let's swing our thick blades with all our might!"
"ううううむッ、おぬし！
全身に漲るその闘気、ただならぬ気迫！
大したものよッ！","My goodness, it's you! 
The fighting spirit that fills your whole body, such extraordinary determination! 
You're quite something!"
"――良い、良いぞォッ！！
フッフフフ、我が剛剣の奥義、おぬしになら
伝授してくれよう","Good, good job!
Hah, I shall teach you the secret technique of my formidable sword!"
"そしてさらに腕を磨き、我が最高の好敵手
として育つが良いッ！
さぁッ、体得せよッ！！","Then hone your skills further and grow up to be my best opponent!
Now, learn it!"
"おおお！！
鋭き眼光、鈍く光りしおぬしのエモノ――！
おぬし、《ウォリアー》を極めんと志すのだな！","Ohhh!! 
The sharp gaze, the dull glimmer of your eyes, you are a Warrior, aspiring to master it!"
"よくぞ踏み出した！！
これからおぬしが歩みしは
真なる強者への覇道ッ！！","Congratulations on taking the first step!!
From now on, the path you tread leads to becoming a true conqueror!!"
"向かう所の敵全て薙ぎ、倒し、砕くっ！！
鉄と血の道よ！！","Cleave, defeat, and crush all enemies in your path!!
The way of iron and blood!!"
"――おおおおッ！
今、鼻の穴が開いたな！？
そうだ！！　そうこなくてはッ！","――Ohhh! My nostrils are flaring! 
Is it true?! Yes! 
It has to be like this!"
"遠慮することはない！
我が課題に挑戦するが良い！","There is no need to hold back!
You should challenge yourself to tackle my task!"
"さすればこのオリバー
おぬしを《ウォリアー》として、さらなる
強者の高みに推し上げてくれるッ！！！","Then this Oliver will take you as a ""Warrior"" and propel you to even greater heights of strength!"
"さぁッ、遠慮することはない！
共に試練を越え歩もうではないか！
強者の頂きへッ！！","Now, there's no need to hold back!
Let's overcome trials together and move forward!
To the peak of the mighty!!"
"おお、あの偏屈ながら確かな目を持つ
ナディアに認められし戦士というのは
おぬしか！","Oh, that eccentric yet perceptive warrior recognized by Nadia, could it be you?!"
"ほうほう、ふむふむ！
なかなかどうして気張っているようだな！","Hmmm... hmmm... hmmm... hmmm... hmmm... hmmm!
You seem to be quite determined!"
