"old",""
"私はアッカー王家に仕えてきた
ダーマードという――
貴殿をこの先へ導こう","I have served the Acre royal family.
My name is Damad.
I will guide you from now on."
"ほこらの中にただよう力を
私の元まで集めてきてくれないか
さすれば、ここを埋める土砂を一掃してみせよう","Gather the power that lies within the dust and come to me, and I will sweep away the sediment that fills this place!"
"――よくやってくれた
これだけの力が戻れば
この道を拓く程度のことはできるだろう","You did well. If only this much strength can return, we should be able to clear this path."
"土砂を一掃し、二度とこの道が
埋まらぬよう力を尽くそう
かつて王の剣であったこの魂にかけても","Let's clear away the debris and do our best to ensure this path won't be blocked again. I swear it on the soul of the sword that once belonged to the king."
"先へ進むといい、白き竜の覚者よ
アッカーシェランにかかる霧を払ってくれ","Go ahead, White Dragon's Arisen, and dispel the fog that hangs over Acre Selund."
"道を通すまでの間
しばし待つことだ、白き竜の覚者よ","Until the road is cleared, it is necessary to wait for a while, O Arisen of the White Dragon."
"この道は必ず拓いてみせる
かつて王の剣であったこの魂にかけても","I will definitely open up this path.
I swear on the soul that once belonged to the king's sword."
"貴殿が力を求め、《英霊眠りし道》を
訪れたこと――我らにとって僥倖であった","Your visit to the Heroic Spirit Sleeping Path, in search of power, was fortunate for us."
"ご存命の王族は
ネド王子ただお一人、か――","The only surviving member of the royal family is Prince Nedo."
"この道をさらに進むことで
貴殿は力を得よう
私にできるのは、その道を拓くことのみ","By advancing further down this path, you will gain power. All I can do is pave the way for you."
"貴殿の仲間はすでに道を拓いている","Your comrades have already opened up the path."
"仲間の力をたどり、一時的に
この場を通ることも可能だろう
――貴殿の考えを聞こう","It would be possible to trace the power of our friends and temporarily pass through this place.
--Let's hear your thoughts!"
"通常開拓する","Explore normally."
"仲間の力をたどる","Follow the power of your companion"
