old,
"あっ、覚者さん！
そういえば良いニュースがあるんだ","Ah, Lord Arisen!
By the way, I have good news."
"ブリアにある《辺境の礎》ってやつが
全部使えるようになったらしいよ！","I heard that the ""Frontier Cornerstone"" in Bria is now available at
all of them!"
"俺はアレの使い方、いまいちわかってないんだけど
何でも、覚者さんが今までに触ったことのない礎も
このブリア内にある分は全部使えるんだってさ","I'm not quite sure how I'm supposed to use that thing, but
whatever, even the cornerstones that the Arisen has never touched before
he can use all of the ones in this briar."
"覚者さんがよくブリアに来るからって
神殿の人たちが手配してくれたんだ
今まで行きにくかった場所にも
一瞬で行けるんだってね","The people at
Temple arranged it because the Arisen often comes to Bria.
He said he can go to places that have been hard to get to
in an instant."
"探索しやすくなったブリアを
そしてローテスを、これからもよろしく！","Keep up the good work with Bria
and Rotes, which is now easier to explore!"
"そうそう、覚者さんにお願いしたいことがあってさ
ルドルフォ爺さんの家の近くに古い井戸があるだろ
その奥に光るものを見たって人がいるんだ","Oh yeah, I've got a request for you, Arisen.
You know that old well near Grandpa Rudolfo's house.
Some people say they saw something shiny at the back of it."
"もしかして、もしかしたらだよ
井戸の底にお宝が眠ってたりしたら――！
お宝って意外とああいう地味なところに
ありそうだしさ！","Maybe, just maybe
there is a treasure at the bottom of the well..!
Treasure can be found in such a humble place
"
"ってわけで、よかったら中を見てきて欲しいんだ
行く前には一声かけてくれ
井戸底に沈む青い光、気になるじゃないか","So, I'd like you to come take a look inside if you'd like.
Give me a shout before you go.
The blue light at the bottom of the well, it's curious, isn't it?"
"覚者さん、この前も見てきてもらった
《灯台下の古井戸》なんだけどさ
奥に封鎖された扉があっただろ？","Arisen, I had you take a look at it the other day
It's an ""old well under a lighthouse""
You see the sealed door at the back?"
"あれは古い遺跡に繋がる扉らしいんだけど
俺がエリアマスターになった時には
既に封鎖されててね
奥がどうなってるかは誰も知らないんだ","That's supposed to be a door that leads to an old ruin
but by the time I became Area Master
it was already sealed up
and no one knows what's going on in the back."
"でも、ずっと封鎖したままっていうのもなんだし
今は覚者さんもよく寄ってくれるから
思い切って封鎖を解いてみたんだ","But I didn't want to keep the blockade up forever, so
I took the plunge and unblocked it,
since I've had a lot of enlightened people stop by now."
"海は男のロマンだけど
封鎖されていた遺跡っていうのも
何というかくすぐられるものがあるだろ？","The ocean is a man's romance, but
there's something tantalizing about a site that's been sealed off, too
isn't there?"
覚者さん、ちょっと内密に話が――,"Arisen, let's talk in secret for a moment..."
"い、いや、隠さなきゃいけないような
話じゃないんだけどさ
この前封鎖を解いた《モルトバ遺跡》――
出る、らしくって――","No, no, I'm not talking about the kind of
story that needs to be hidden.
The Moltova Ruins, which we broke the blockade on the other day--
I'm going to go out there, and it seems--"
"何が出るって、そりゃもちろんアレだよ！
竜だよ！　水竜ってやつさ","What's coming out, of course, is that thing!
A dragon!　A water dragon."
"覚者さんが居るからと思って
封鎖は解いたけど
中の竜に暴れられるのは困るんだ","I thought because Arisen is here
I've broken the blockade, but
I don't want the dragon inside to get out of control."
"外に出てくる気配が無いか見てきてもらえないかな
出発前に声かけてくれると助かるよ","Could you go see if there's any sign of them coming outside
I'd appreciate it if you'd give me a shout before you leave."
"覚者さんがブリアに寄ってくれるようになって
本当に助かってるんだ
いつもありがとう！","Arisen, thank you so much for coming to Breya
I really appreciate it
Thank you always!"
"俺も少しは覚者さんの力になりたいからさ
今まで以上に良いものを渡せるように頑張るよ","I also want to be of help to you, Arisen
I'll do my best to give you even better things than before"
"今や覚者さんあってのブリアだからさ！
今後ともよろしく頼むよ！","Now it's thanks to you, Arisen, that there is Breya!
I'll rely on you from now on too!"
"覚者さん、《クエストボード》見てくれよ！
手伝ってもらえたらローテスも大助かりさ","Arisen, please check the ""quest board""!
If you can help, it will be a great help to Rotes too"
岬のモルトバ灯台へはもう行ったか？,Have you already been to Moltova Lighthouse on the cape?
"ルドルフォの爺さんに会ったら
よろしく伝えといてくれ","If you see old Rudolfo, tell him I said
hello."
"海のロマンはやっぱでっかさだろ！
たまに来る漂流船なんか最高さ！","The romance of the sea is the size of it!
The occasional drifting ship is the best!"
