"old",""
"ようこそ、小さき祈りの場へ
私でよければお話を伺いましょう","Welcome to this humble place of prayer.
If you don't mind, I would like to hear your story."
"なるほど――
そのお話ですか
私はカミュ、この聖堂で癒しと導きをしております","I see--
That's the story.
I am Camus, and I am here in this cathedral to heal and guide you."
"《プリースト》としてすでに貴方は
多少経験を積まれている様子
では、私からは大きな話をひとつだけ","As a Priest, you already seem to have gained some experience. 
Now, I have only one important thing to tell you:"
"職は数あれど奇跡を祈り
回復の技を主とするは《プリースト》のみ――","Though there are many professions, only the ""Priest"" specializes in recovery techniques. 
Praying for miracles, they can heal through the power of time."
"誰を癒やし、誰を援助するのか――
貴方の判断が戦況を大きく左右します","Who will you heal and who will you aid--
Your decision will greatly affect the war situation!"
"ことによると、貴方は、自分自身を
戦場の支配者だと考えるようになるかもしれません
もちろん、それは大いなる間違いです","According to the situation, you may come to consider yourself as the ruler of the battlefield. 
Of course, that is a great mistake."
"人々に尽くし、その中で己を活かす――
味方、そして敵の状況をも見極め
戦いを終結に導く――","To serve the people and thrive within their midst—
Assessing the allies and even the enemies' Conditions,
Guiding the battle to its resolution—"
"それこそが我々《プリースト》の使命なのです","That is our mission as Priests."
"貴方には良き癒し手としての素養があるようです
さらなる癒しの道を歩もうと望むのであれば
私は喜んで力添えをいたしましょう","It seems that you have the aptitude to be a good healer. 
If you wish to pursue further on the path of healing, I would be delighted to lend a helping hand."
"――《プリースト》
大いなる存在の声に耳を傾け
その恵みを現世にもたらすべく仕える者――","――""Priest"" 
Listen to the voice of the great existence and serve as a servant to bring its blessings to this world."
"神殿におわす白竜様、さらに伝承にある古き
尊き存在、異界の底に在るという邪神","Lord White Dragon, who dwells in the temple, and furthermore, the evil god spoken of in ancient legends, the sacred being said to reside in the depths of the other world."
"どういった存在を仰ぐかは人により異なれど
その御力を借り、己、そして他者へ
その恩恵を分け与えるは同じです","What kind of being we look up to is different for each of us, but it is the same for us to borrow its power and share its benefits with ourselves and with others."
"傷を癒し、不浄を除き、人々を救い慈しむ
そして善き運命への導き手たる自覚をもつならば
プリーストとしての道はいつでも開けています","If you heal wounds, purify impurities, save and show compassion to people, and if you have the awareness of being a guide to a good destiny, The path as a Priest is always open."
"《プリースト》の術は
生命に働きかける癒しの術――
その力は戦いの中で、仲間の傷を
治すだけではありません","The art of ""Priest"" is a healing art that affects life. 
Its power is not limited to healing the wounds of comrades in battle, but goes beyond."
"強い生命力を持った巨大な魔物
そういった存在が怒り、気を乱した時
生命力の集まる急所
《シークレットコア》を感知することもできるのです","An enormous monster with a strong vitality.
When such a being gets angry and loses control, they are able to sense the vital spot where vitality gathers, the ""Secret Core""."
"仲間、そして敵の生命を感じることは
本質的に同じこと
どちらも命に触れることであることを
ゆめゆめお忘れなきよう","Feeling the lives of both allies and enemies is fundamentally the same thing.
Both involve touching upon life itself.
Please never forget that."
"ふむ――、よろしいでしょう
貴方は既に癒し手たる資質をお持ちの様子","Hmmm... good to know.
You already have the makings of a healer."
"《プリースト》として救いの道へ入り
癒しの術を学ぶのです","You've chosen the path of a ""Priest"" to learn the ways of healing and salvation."
"ほう――
より深き癒しの技を知りたいと","Oh, you wish to learn deeper healing techniques, I see."
"ですが今の貴方にはまだ
体得は難しいでしょう","But it will still be difficult for you to master it now."
"《プリースト》となり、道を歩むのです
ジョブレベルが１８になった頃
神殿の訓練官に相談するとよいでしょう","Become a ""Priest"" and stay the course.
When you reach job level 18, you may want to consult with the Temple's Trainer."
"貴方が基本を修めたと認められ
私への指導依頼が出されたのであれば
喜んで引き受けましょう","If it has been recognized that you have mastered the basics and a request for guidance has been made to me, then I would be happy to accept it."
"その時、再び私を訪ねてください
よき癒し手を目指すのです","At that time, please visit me again as you strive to become a skilled healer."
"数多の痛みに触れてきたようですね
そしてその中で、時に貴方は無力を
感じたはず","It seems like you have experienced a lot of pain.
And in those moments, there were times when you must have felt powerless."
"では――
さらなる癒しの術を教えましょう
今の貴方になら扱えるでしょうから","Then-
Let me teach you another method of healing.
You should be able to handle it now."
"――貴方が纏う気配、そして眼差し
今や貴方は私以上に多くの生死に
触れてきたのかもしれません","--The presence you wear, and the look in your eyes... 
Now, you may have touched more lives and deaths than I have!"
"貴方はもう、理解しているでしょう
《プリースト》とは生と死にもっとも親しき者
命の真実の姿を見つめ、求道する者","You probably already understand, don't you?
A ""Priest"" is one who is most familiar with life and death, gazing at the true nature of life, seeking the path."
"よろしいでしょう
私が識る高次の術を授けましょう
それで、さらに貴方は真理へと近づけるはず","Very well, then.
Allow me to bestow upon you the knowledge of advanced arts, with that, you should be able to come closer to the truth."
"ジョブレベルは十分――
どうやらすでに癒し手として
初歩の心構えは身に付けたようですね","The job level is sufficient—
Seems like you've already acquired the basic mindset of being a healer."
"さらにこの道を探求せんというので
あれば、喜んで力添えをいたしましょう","Furthermore, if you are searching for the pursuit of this path, I would be delighted to provide assistance."
"ですがその前に、今の貴方の成長を
神殿の訓練官に報告しておくべきです","But first, you should report your current growth to the temple trainer."
"世話になった者に心を返すこともまた
新たな出発には大切なことですから","Returning gratitude to those who have helped us is also an important aspect of embarking on a new journey."
"この静かな聖堂にて祈りを捧げる毎日
平穏と調和こそ、全ての癒しに通じる
真髄です","Every day, I offer prayers in this silent holy sanctuary.
Peace and harmony lead to all healing, That is the essence."
"古き癒しの術は、より深き痛みを知らねば
真に体得することは難しいでしょう","If one does not truly understand the depths of pain, it will be difficult to truly master the ancient healing arts of old."
"貴方はもう少し俗世にて、自身のあり様を
見つめてご覧なさい","Please take a moment to look at your own state a little more in the secular world."
"ポーンの魂の姿――
その答えを見出す事ができた時
初めて真の救いへ近づける気がするのです","The appearance of the soul of the Pawn---
When I can find that answer, I feel like I'm getting closer to true salvation."
"かつて猛威を振るった赤色病も
今は滅びし病です","The Red Blight, which once wielded great devastation, is now a disease that has been eradicated."
"時間は概ね残酷なものですが
まあ、少しくらいは良いこともしますね","Time is generally a cruel thing, but well, it does have its good moments too."
