"old",""
"ふふ、ごきげんよう
遠いところからやってきた覚者さん","Ah, good day. You, the Arisen who has come from a distant place."
"ねぇ、もうわかってるんでしょう？
この辺りに散らばった力を集めて
わたしにくれないかしら","Hey, you already know the answer to that, don't you?
You're going to gather all the power scattered around here and give it to me."
"今のわたしたちは
こうして姿を現すだけで精一杯――
だけど、あなたに協力したいのよ","Right now we're doing our best just showing up like this--
but we want to help you!"
"ありがとう、少しの間動くなら
これで十分よ","Thanks, if it works for a little while
this should be enough."
"さて、あなたにはもっと深くまで
行ってもらわないとね――","Now, I need you to go deeper—"
"あなたに協力することが
王家のためになるはずですもの
さぁ、邪魔な土砂は吹っ飛ばしてしまいましょう","It should be beneficial for the royal family for me to assist you. Now, let's blow away that obstruction."
"土砂を片付けたわよ
これなら通れるでしょう？","I've cleared away the debris. This should be passable, right?"
"あなたの力を見込んで言うわ
もっと深くまで、諦めずに進んでね","I'll say this, counting on your strength, go deeper without giving up."
"エゴといわれても仕方ないけど――
まだ、この国の終わりをみたくは無いの","Call me egotistical, but-- I don't want to see the end of this country just yet."
"ごめんね、急いではいるんだけど
もう少しかかりそう――","I'm sorry, but I'm in a hurry, so it might take a little longer..."
"だけど、きっとやり遂げるわ
あなたに協力することが
王家のためになるはずですもの","But I'm sure we'll get it done.
Helping you will be for the good of the royal family."
"わたしたちがこうしていられるのも
ようするに、この地に充満した
竜力みたいなモノのお陰――
そういう力が溜まりやすいのよね、ここって","The reason we can exist like this is essentially because of the Dragon Force that pervades this place. It's easy for that kind of power to accumulate here."
"出られるものなら、わたしたちだって
ここを飛び出して行くわ――
でも、ここでしか姿を保てないんですもの","If we could go, we would also venture out of here―― 
but we can only maintain our presence here."
"わたしはイゼル――
あなたはきっと、私の名をご存じないだろうけど","I am Isel-- You probably don't know my name."
"この弓で何度、王家を狙う不届き者を射抜いたことか
でも、今はそうすることもできないのよね
歯がゆいわ","Worrying is not in my nature. Let me go where the fighting is."
"あら、あなたのお仲間さんは
もう道を拓いているようね","Oh, looks like your fellow is already blazing a trail."
"お仲間さんの力をたどって
一時的に道を開くこともできるわよ
どうする？","We can temporarily open a path by following the power of your comrades. What do you want to do?"
"通常開拓する","Explore normally."
"仲間の力をたどる","Follow the power of your companion"
