"old",""
"おう、調査の進捗はどうだ？","Oh, how's the investigation going?"
"辺りをぐるっと歩いてみたが
この島の生態系はレスタニアとは
えらく違うようだな","I walked around the area
and the ecosystem of this island seems to be very different from Lestania"
"いつ、どんな魔物が飛び出してくるかわからんぞ
とっさの状況にも対処できるよう
装備や持ち物は常に見直しておけよ
調査探索の基本だ！","You never know when and what kind of creatures will come at you. Always review your equipment and items so you can handle any situation that arises. It's the fundamentals of exploration and investigation!"
"この魔赤島調査隊は精鋭揃いだ
難しい任務ではあるが、士気も高い
――俺か？　俺も久しぶりに勇み立ってるな！","This Bloodbane Isle expedition team is comprised of elite members. Although it is a difficult mission, their morale is high. ――As for me? I'm also feeling a surge of courage after a long time!"
"前はグリッテン砦の防衛戦に参加していたんだが
モゴックの奴が墜ちてからは
いまいち張り合いが無くてな――","I used to be involved in the defense of Fort Gritten, but since that Mogok guy went down, I haven't had the same level of excitement--the competition has really been lacking."
"ここのエリアマスター就任の打診を受けた時は
これぞ、と思ったものだ！","When I received the offer to become an Area Master here, I thought, ""This is it!"""
"見ての通り、この駐屯地は臨時のものだ
だが、調査のために必要なものについては
それなりの質のものを集めている","As you can see, this base is temporary but we have gathered the necessary equipment for the investigation."
"質だけじゃなく、数もきっちり揃えてあるぞ！
お前の部下たちにも遠慮なく使うよう
言っておいてくれ","Not only the quantity, but also the quality is meticulous! Please tell your subordinates to use it without hesitation."
"おう、来たな！
あらためて自己紹介しておこうか
魔赤島調査隊、隊長のベルトランだ
この島のエリアマスターも兼任している","Oh, you've arrived! Let me introduce myself again. I'm Bertrand, the captain of the Bloodbane Isle research team. I'm also the Area Master of this island."
"エリアマスターとは言っても
こんな状況だ
まだ何一つわからんがな！
まずは拠点を一通り設営したところだ","Even though I say I'm an Area Master, the situation is like this. I still don't understand anything! First, I have to set up the base."
"――そう不安そうな顔をするな！
島の全体像を早期に探るべく
身軽な人員を俺直属の斥候隊として
連れてきたから安心してくれ！","Don't look so worried! I've brought a team of agile individuals as my direct reconnaissance unit to swiftly explore the entire island. So, rest assured!"
"彼らにはなるべく戦闘を避けさせ
島の地形や魔物の生息状況を
重点的に探らせていく予定だ","We'll have them avoid combat as much as possible,
and focus on exploring the island's terrain and demonic inhabitants."
"そして、斥候隊を始めとする
各部隊からの情報を統括したり
調査の方向性を監督するのが俺の仕事ってわけだ","And so, my job involves overseeing information from various units, including the scout team, and supervising the direction of the investigation."
"監督といっても
お前たちはそれぞれの判断で
調査を進めてくれて構わん！
ジョゼフ様直々のお達しだ","Speaking of the overseer, 
each of you can proceed with the investigation
based on your own judgment!
This is a direct order from Joseph himself."
"俺もこの拠点で大人しくしているつもりは無いぞ！
この未知の状況、己の実力を計るには
絶好のチャンスだ！　腕が鳴るな！","I don't intend to sit still at this base either! In this unknown situation, it's the perfect opportunity to test my abilities. I'm itching to go!"
"調査の進捗はどうだ？
支援品を割り当てておいたから
持っていくといい
今後の働きに期待してるぞ！","How is the progress of the investigation? I have allocated support items, so it would be good to bring them along. I am expecting great work from you in the future!"
"調査の成果が出始めているな
厳しい状況に変わりはないが
この調子で進めていこう","The results of the investigation are beginning to show,
but the situation remains severe.
Let's continue in this way."
"お前の隊もいつも頑張ってくれている
支援品を少し大目に持っていくといい
今後も期待してるぞ！","Your squad always does a great job, too.
You can take a little extra support supplies with you!
I'm looking forward to seeing more of you in the future!"
"ふむ、この調査隊の中でも
ずば抜けた動きをしているのが
お前の隊だろう！
さすがはジョゼフ様のお墨付きだ！","Hmmm, of all these survey teams, the one that stands out from the rest is yours!
That's what I'm talking about, Masters Joseph's endorsement!"
"走り回ればそれだけ消耗もしているだろう
支援品の割り当てを増やしておくから
遠慮せずに持っていってくれ","If you keep running around, you'll exhaust yourself even more. 
I'll increase the allocation of support items, so please don't hesitate to take them."
"それにしても、拠点にできるような
状態の良い洞窟を早々に発見できたのは
本当に幸運だったな！","Regardless, being able to quickly discover a cave in such a good condition, that could serve as a base was truly fortunate!"
"島の南の方にある洞窟を知っているか？
調査隊内では《不浄の掃き溜め》と
呼んでいる洞窟だ","Do you know about the cave located in the southern part of the island? Within our expedition team, we refer to it as the ""Cesspool of Filth""."
"実はあそこも、この洞窟と同時期に
発見していたんだが
ここと違って、内部が凄まじい状態でな","Actually, we also discovered that place around the same time as this cave.
But unlike here, the interior is in a terrible state."
"何らかの肉食獣が棲みついていたのか
そこら辺に腐った死肉が散乱して――
臭いもそれはひどいもんだった！","Some kind of predator was living in the area.
There was rotting dead meat scattered around--
and the smell was terrible!"
"奥に肉食獣が潜伏しているのを予感して
早期に封鎖しておいたんだが、
お前の実力があれば探索できそうだ","I had a hunch there was a predator lurking in the back,
so I sealed it off early.
I'm sure you could explore it if you're up to it."
"もし臭いが気にならない性質なら
内部を探索しに行ってみてくれ","If it's in your nature to not mind the smell, go and explore the interior."
"そういえば、ここから西に行ったところに
開けた土地があるんだが知っているか？
調査隊では《滝を臨む蝕地》と呼んでいるが――","By the way, do you know that there is an open piece of land if you go west from here? The survey team calls it ""Corrupted Ground Facing the Waterfall""."
"あそこには以前から
侵食ゴブリンどもがうろついていたんだが
最近、数が増えて大きな群れになっているようだ","There have been corruptions, infected goblins wandering around over there for a while, but recently, their number has increased and they seem to have formed a large herd."
"元がゴブリンとはいえ
侵食の作用で凶暴化している上に
数がいると中々厄介だぞ
侮って痛い目を見ないよう気を付けてくれ","Even though they are goblins, they become even more aggressive due to the corrupting effect, and it can be troublesome when there are many of them. Be careful not to underestimate them and suffer the consequences."
"ちょうどいいタイミングで来てくれた！
お前に頼みたいことがあってな","You came just in time!
I have a favor to ask you."
"この拠点から南西の方角の海岸沿いに
古い地下聖堂のような場所が見つかってな
封鎖されていたが、先日ようやく開けることができた","From this base, a place resembling an old underground cathedral was discovered along the southwestern coast. It had been sealed off, but was finally able to be opened the other day."
"中は水が流れていて静かな雰囲気だ――
俺たちは《せせらぎの地下聖堂》と呼んでいる
まぁ、実際に聖堂として使われていたのかは
定かではないが――","Inside, water is flowing, creating a serene atmosphere—
We call it the ""Crypt of Murmurs.""
Well, it's unclear whether it was actually used as a sanctuary—
but it has a holy land-like ambiance."
"この島には珍しく、文化的な造形物が
数多く残されているようだ
あそこを探ることで、何か得るものが
あるんじゃないかと思ってな","Unusually for this island, there seems to be a great number of cultural structures that have been preserved. I believe there may be something to gain by exploring there."
"だが、内部には危険度の高い
魔物が徘徊していて、
相応の戦力を持った者でないと
とても調査は任せられん","However, within, there are highly dangerous enemies wandering around, and unless one possesses sufficient fighting power, I cannot entrust the investigation to them."
"そこで、お前に頼みたいというわけだ
調査に向かうタイミングは任せよう
準備ができたら、また声をかけてくれ！","That's why I'm asking for your help.
I'll leave it to you to decide when to head out to investigate.
When you're ready, give me a call again!"
"各隊員の尽力によって
この島の調査も進みつつあるな！
中でもお前の隊の働きは格別だ！","Thanks to the efforts of each team member,
the investigation of this island is progressing!
Your team's work, in particular, is exceptional!"
"この状況では中々報いてやることもできないが
せめて支援品の割り当てだけでも
増やせるように手配しておこう！","In this situation, it may not be possible to retaliate right away, but let's at least make arrangements to increase the allocation of aid supplies!"
"この島に一つ、塔があるだろう
《聖遺の塔》と呼ばれているあそこだ
あの近くに古い井戸があってな","There should be one tower on this island, it's called the ""Sage Tower Ruins"". There is an old well near there."
