"old",""
"あら――
死と名誉、欲とロマンのザンドラ東部へようこそ
神殿付の真面目さん","Oh, the serious person from the temple-
Welcome to Eastern Zandora, a place of death and honor, desire and romance."
"私はナディア
このゾマ周辺のエリアマスターをしているの","My name is Nadia.
I am the Area Master of this area of Zoma."
"見てのとおり、ここは危険に満ちた土地
だからこそ強い人を惹きつけ
そして相応しい者をより輝かせる――","As you can see, this is a land filled with danger. And thus, it attracts strong individuals and makes those who are worthy shine even brighter-"
"もしくは、朽ちて彷徨う死者の１人にする――","Or make them one of the wandering dead -"
"貴方はどうかしらね？
さぁ、精一杯駆けまわって見せて","How about you?
Come on, let's see you run around as much as you can."
"諸々のご協力感謝するわ","I appreciate all of your assistance."
"貴方は面白い人だから
次からの支援品に色をつけてあげるわね
だから、もっといろいろして見せて頂戴――","You are an interesting person, so I will add some color to the next support goods for you.
Therefore, please show me more of your various talents."
"ねぇ。ザンドラ禁域へ続く《奇岩谷》の
ガレキが除去されて、通行可能になったわよ
それは良かったんだけど、道中に
気味の悪い魔物がはびこっているの","Hey. 
The debris in the ""Odd Rock Valley"" that leads to the forbidden zone of Zandora has been removed, making it passable. 
That's good news, but there are creepy enemies lurking along the way."
"どうしてかしら
あの辺りは、そういった魔物が湧きやすい
らしくてね","I wonder why that area is said to be prone to the emergence of such enemies."
"不快だし、ロマンの地には似つかわしくない
魔物だし――
見かけたら掃除しておいてくれないかしら","It's unpleasant and not suitable for a romantic place.
Because it's an enemy —
Could you please clean it up if you see it?"
"ザンドラでの冒険、慣れてきたようね","Adventure in Zandora, you seem to be getting used to it, don't you?"
"貴方にもっと輝いてもらうために
紹介したい人がいるの","To make you shine even more, There's someone I want to introduce to you."
"《オズワルドの店》に滞在している大剣豪
《ウォリアー》のジョブマスター、オリバーよ","To the esteemed Job Master of the Warrior, Oliver, staying at Oswald's Shop."
"あらゆるものを薙ぎ払い
打ち砕く剛き一撃――","Striking down and crushing everything with a mighty blow—"
"きっと貴方なら、その戦い方も
使いこなせると思うわ","I'm sure you'll be able to use that fighting style too!"
"――ふふ、弟子入りの順番待ちをしてる
ソーニャには悪いけどね","Hehe, I feel sorry for Sonia, who's waiting her turn to become an apprentice."
"《ウォリアー》として
さらなる輝きを得たければ、会ってみて","If you want to achieve even more brilliance as a Warrior, meet me and see for yourself."
"そうだわ
セラー湖の岸辺にある《禊の神殿　離殿》は
通ったことがあるかしら？","I see. 
Have you ever been to the Temple of Purification: South Chamber on the shores of Lake Cera?"
"あの建物には地下があってね――
《湖底連絡路》という、セラー湖の底を
巡るように繋がれた水路よ","In that building, there is an underground passage, called the ""Lakebottom Connecting Passage,"" which connects the bottom of Lake Cera like a canal."
"あまりに広く、探索にいって迷う人が
多いから封鎖していたのだけれど
もしかしたら変わった魔物や財宝が
眠ってる――かもしれないわね","Because so many people get lost when they go exploring, we've had it blocked off.
But there might be unique enemies and treasures that are sleeping there— maybe."
"入り口、入れるようにしておくわ
興味があったらご自由にどうぞ――ふふ","I will make sure to leave the entrance open for you.
Feel free to come in if you're interested―― hehe"
"すごい活躍ね
酒場でも貴方の噂をよく耳にするわ","You're doing great!
I often hear rumors about you at the Tavern."
"ここが活気づいてきたのも
貴方のお陰かしら","Is it thanks to you that this place has become lively?"
"支援品に色をつけてあげるわ
これからも頼むわね","I'll add some color to your support items.
Keep up the good work."
"そうだわ、ちょっと気になることがあってね
貴方の力をあてにさせてもらいたいの","Yes, I'm a little concerned about something and I'd like to count on your help."
"《東ザンドラ廃墟群》――
丘を少し登った遺跡街に
炎を纏ったゴーレムが現れたの","""East Zandora Ruins"" - As I approached the ancient city on top of the hill, a Golem clad in flames appeared."
"突然どうして現れたのかしら
誰かが遺跡にあった起動装置を
動かしでもしたのかしら","I wonder why it suddenly appeared. 
Did someone activate the power device that was in the ruins, perhaps?"
"で、そのゴーレムがどうもゾマの方へ
向かうそぶりを見せているらしいのよ
怖いわね――ふふ","And so, it seems that the Golem is showing signs of heading towards Zoma. 
How scary... hehe"
"というわけで、何とかしてくれないかしら
正式なお願いよ","So please do something about it.
It's a formal request."
"ねぇ、そういえば
この地の北にある《ザンドラ灯台》のことは
知ってる？","Hey, speaking of which, do you know about the Zandora Lighthouse located to the north of this area?"
"灯台で、バルバロイの一派が魔獣を
飼いはじめたようなの","It seems like the faction of Barbarians has started keeping magical beasts at the lighthouse."
"噂によれば、トサカと大きな黒い翼を
持つ魔物らしいわ","According to rumors, it seems to be an enemy with a crest and large black wings."
"灯台や廃墟群にいる間はいいけれど
野蛮なバルバロイ達がゾマにきたら厄介だわ","While I'm at the lighthouse or in the ruins, it's fine, but it would be troublesome if those barbarians come to Zoma."
"誰か強い人が――
何とかしてくれないかしら
ねぇ――？","Is there anyone strong-
Who could do something, I wonder?
Hey-?"
