"old",""
"おぉ～～！！
わたしは幸せ者でーす！","Oh my goodness!
I'm such a fortunate person!"
"ここで歌い、たたずむだけで、なんと！
聞くことができるのですから！","Just by singing and standing here, look!
You can hear it!"
"幾人もの覚者さまの
素晴らしい冒険譚の数々をッ！
詩にすべき英雄的浪漫の数々をッ！！","The wonderful adventures of many arisen
! The heroic romance that should be turned into poems
!!"
"あなたはご存知ですか？
伝承にある、白竜様と金色の竜の戦いを","Do you know? The battle between the White Dragon and the Golden Dragon, as told in legends
"
"あぁ、白竜様の銀翼が空を舞うお姿！
どれほど神々しく、どれほど感動的な
ことでしょう――！","Ah, the glorious sight of the White Dragon's silver wings dancing in the sky! How divine, how deeply moving it is!"
"しかし、気になりませんか？
白竜様に敗れ墜ちた金色の竜は
その後どうなったのでしょうね","But aren't you curious?
I wonder what happened to the golden dragon that was defeated and crashed by Master Hakuryu
after that?"
"良き旅には良き仲間、良き試練
そして良き歌を！","A good journey, good friends, good trials
and good songs!"
"ではあなたの為に一曲――","So let me sing a song for you—"
"ららら～
何かご用でも～？","La la la la~
What can I do for you?"
"おぉ～
なんという事でしょう～","Oh,
what a surprise!"
"あなたは今、他のミッションに参加予定ですね？
そちらを達成するか、予定を取り消してから
また来てくださ～い","You are now scheduled to participate in another mission?
Please come back to
after you have either accomplished that one or canceled your plans!"
