"old",""
"うむ――
かつては時を惜しんで術の探究に励んだ
ものだが、今やただ耐えて過ごすばかり","Indeed――
Once, I earnestly pursued the study of techniques, cherishing every moment.
But now, I merely endure and pass the time."
"我らはこれで良いのだろうか","Are we good with this?"
"覚者とは、竜とは何なのだろう
この世界の理、それがどういうものであるのか
あの男には見えていたのだろうか","What is an Arisen, and what is a dragon? 
The order of this world, what exactly is it? 
Could that man see it?"
"森の民エルフ――
竜力増幅のため、ゴルゴランに捧げられた
莫大な数、莫大な量の命――","Elf of the Forest ――
For the amplification of Dragon Force, 
Countless lives, an immense quantity,
Offered to Golgorran ――"
"溶命炉は、まさしく禁忌の技であったのだ","The Furnace of Life Dissolution was truly a forbidden technique."
"私にご用かな
友への呼びかけであれば、力添えをしよう","If it is a call to a friend, I will offer my assistance."
"護政区の礎からここに至るまでに
半壊した建物があっただろう","There must have been partially destroyed buildings along the path from the Imperial Quarter's Keystone to here."
"あの奥には《錬金研究室》があってな
合成用や研究用に選抜された魔物が
これまでに数回、暴走していたことがある","Behind that is the Alchemy Laboratory. 
Enemies selected for synthesis and research have gone out of control several times in the past."
"魔物を意のままに制御しようなど
もともと手を出してよい研究ではなかったのだ","It was never a permissible field of study to control enemies as one pleases."
"友へ呼びかけたいというのなら
私に任せてくれ
せめて最後まで力になりたいのだ","If you want to call out to a friend, leave it to me.
I want to at least be of help until the end."
"――ずっと後悔してきた
今ばかりは後悔の無い選択をしたい","I have been regretting things for a long time.
Now, I just want to make a choice without regrets."
"覚者、竜、理――
どれだけ研究を重ねても
私にはその存在に対し、理解が及ばなかった","Arisen, Dragon, Order――
No matter how much research I conducted, I could not comprehend the existence of the Arisen"
"己の命が、己の身体が滅んでも
この世の理というものは不変であると
そう信じてきたのだ――","Even if my life, even if my body were to be destroyed, I have believed that the order of this world remains unchanged-"
"だからこそあれほどまでに
研究に打ち込めたのだろうな","That's why I was able to immerse myself so much in my research."
