old,
"覚者さま、そういえばこのようなお話を
ご存知でしょうか？
《良質の装備品》、《珍しいアイテム》を持つ
魔物についてでございます","By the way, Arisen, have you ever heard such a story as this?
It tells of an enemy with ""good equipment"" and ""rare items""."
"エリアマスターの覚者アルフレドさまから
お聞きしたのですが、それぞれの地域には
《魔物警戒スポット》なる場所があるそうです","I heard from the Area Master, Alfredo
that there are
""Demon Alert Spots"" in each area!"
"そういったスポットに巣くう魔物は多くの
覚者と戦い、時として遺物かもしれぬ
装備やアイテムを落とすのだとか","The demons that lurk in such spots fight with many
learners and sometimes drop equipment or items that may be relics
"
"危険は大きいかもしれませんが
クラフトや購入以外で覚者さまの装備調達
手段となるかもしれません","The danger may be great, but it may be a way to acquire equipment for the Arisen other than by crafting or purchasing."
"詳しくは、各地のエリアマスターを
お訪ねくださいませ
そういった場所の多くは、エリアに
関わる中で明らかになるそうですよ","詳しくは、各地のArea Mastersを
お訪ねくださいませ
そういった場所の多くは、エリアに
関わる中で明らかになるそうですよ"
"必要な素材のいくらかは、クラフトルーム
にも備えております
奥にいるギリアムとマコーミックにご相談ください","Some of the materials you will need are also stocked in the Craft Room.
Please ask Gilliam and McCormick in the back."
"アイテム、武器防具、そしてジュエリー
あなたと共にある品を、私たちポーンが
製作致しましょう","Let us, the Pawn, create items, weapons, armor, and jewelry for you
, that you have
"
"いかなる品の製作をお望みでしょう？
望みを仰ってください、覚者さま","What kind of item would you like us to craft? Please tell us your wishes, Arisen
"
"ようこそ覚者さま
――あら、あなたさまはまだポーンとの契約を
交わしておられないようですね","Welcome, Arisen
―― Oh, it seems that you have not yet formed a contract with a Pawn
"
"クラフトの技はポーンの技
あなたさまがご自身のポーンをお持ちに
なられた時、再びお訪ねください","The skill of crafting lies within the Pawn
. When you acquire your own Pawn
, please visit us again"
"ようこそ覚者さま
創造と精錬の場、《クラフトルーム》へ
なんなりとご用命を","Welcome, Lord Arisen
to the place of creation and refinement, the Craft Room
Please feel free to make any requests"
