"old",""
"おう、そっちはどうだ？　その後","Hey, how's it going over there? What's been happening since then?"
"魔物を倒すだけが覚者の仕事じゃあねぇ
あぁ、お前もそのうち分かるぜ","Being able to defeat demons is not the only job of an Arisen, you know. Oh, you'll understand that soon."
"言い訳はなしだ、そんなもん考える前に
手と足を動かせよ","No excuses, move your hands and feet before thinking about that."
"よう、ちょっとした賭けを――
いや、やめとくわ","Hey, want to make a little bet?
Nah, forget it."
"金をためてキノザの原泉近くに屋敷を建てるのよ
それが俺の目下の夢だ","I'll save my money and build a mansion near Kinoza's spring. That's my current dream."
"ばかっ強い魔物と真っ向勝負して連戦連勝","A series of head-to-head battles with the strongest demons and a series of victories."
"覚者になった頃はそれでおもしろおかしく
暮らしていけたが、もう、飽きちまった
――これから、どうするよ","When I became an Arisen, I could live with that and have fun. But, I've grown tired now. What do I do from now on?"
"刺激だぜ、刺激
俺が欲しいのはそれだ――やっとわかった","It's exciting, so exciting. That's what I want―― I finally understand."
"俺はずっとはぐれ覚者のつもりでいたけどよ――
やっぱ、どっかで繋がってんだよな――ケッ！","I've always thought of myself as a lost Arisen, but in the end, I guess there's some connection somewhere. Damn it!"
"柄にもねえこと言っちまったぜ","I said something I shouldn't have."
"まあ、ボチボチやろうぜ
急ぐことはねえさ","Well, let's take it easy.
There's no rush."
"あんたの言うことにはなんだって従うつもりで
いるから賭け事禁止だけは言ってくれるなよ","I intend to obey whatever you say, but don't tell me to stop gambling."
"俺をウソつきにしたくなかったらよ","If you don't want to make a liar out of me"
"神殿にいる時くらい、いろんな奴と話しておけよ","You should at least talk to a lot of people when you're in the temple."
"俺の見たところ、あんたに話しかけられると
どいつもこいつもうれしそうな顔になる
さぞ名誉なことに違いねえ","From what I've seen, when you talk to them, everyone gets happy and they all have a delighted expression on their faces."
"ジョゼフのジジイは世の中がざわついている時の方が
いきいきして見えねえか？","Doesn't Joseph's old man look more alive when the world is in turmoil?"
"魔物の一種かもしれねえぞ","It might be a type of monster."
"はぁ――金がねえ――
負けた――","Huh... no money...
I'm screwed."
"あ？　なんだよ","Huh? What's up?"
"しかし――
なんだって俺が――","But--
what the hell am I--"
"俺も覚者の端くれだが
この場所は息が詰まるぜ","I'm a bit of an Arisen man myself, but this place is suffocating."
"言うまでもねえが、俺は単純にガシガシと
戦うのが好きだ","There's no need to say it, but I simply love a grueling fight."
