"old",""
"覚者よ！
今回の取り分はすでに受け取ったようだな！
次はさらに上を目指し、存分に暴れるがいい！
がははははは！！","Sentient!
You've already received your share this time!
Next time, aim even higher, and go wild to your heart's content!
Ha-ha-ha-ha!"
"ああ、今回の取り分は送っておいたぞ！
保管ボックスを確認するといい
次の出航が今から楽しみだ！
なぁ、覚者よ、そうだろう！？","Ah, I've sent you this time's reward! 
You should check the storage box. 
I'm really looking forward to the next voyage! 
Right, my Lord, isn't that right?!"
"おお！　丁度、戦果の集計がついたところだ
勇敢なる覚者よ、その戦果を評して
秘蔵のアビリティを送ろうではないか！
胸を張って受け取るがいい！","Oh!　We have just tallied the results of the war.
In recognition of your war achievements, valiant savants, we send you
a treasured ability!
Receive it with pride!"
"ふーむ、覚者よ
血気盛んなのは結構だが、他にエントリー中の
任務があるようだな
先にそちらにケリをつけてくるがいい！","Hmmm, wise one,
I appreciate your bloodlust, but I see you have another
mission you're entering
You can go finish that one first!"
"おお――、勇敢なる覚者よ
すまないが前回の出撃で現在洋撃船は修理中だ
準備が整うまで、今しばらく待っていてくれ！","Oh--, brave savant.
Sorry, but the Western blaster is currently being repaired after the last sortie.
Please wait a while now until it's ready!"
"がはははは！　船はまだ準備中だ
そう急くな！","Hahaha! The ship is still being prepared
. Don't rush!"
"沖合に浮かぶ孤島、《竜の巣》
別名、魔物のるつぼ","The isolated island floating offshore, known as ""Dragon's Nest""
. Also known as The Crucible of Demons"
"竜が死に、生まれいづる場所というが
本当の所は解らん","It is said to be the place where dragons die and are born, but no one knows for certain."
"なぁ、ロマンだろう？","Isn't it romantic, eh?"
"海流が激しくなり、ヒュージブルが現れ
外洋調査はここ300年できない状態だ","The currents have intensified, the fusibles have appeared
and open ocean research hasn't been possible for the last 300 years."
"だが、海の先にはさらに広大な
世界が広がっているように思わんか？
ロマンだろう！","But doesn't it seem like there is an even more vast
world beyond the sea?
Romantic, isn't it?"
"おお、覚者よ！
今回の《竜の巣》調査は終了したぞ
あいにく今渡せる報酬はないが、機会など
またすぐ巡ってこよう。がははは！","Oh, wise one!
This ""Dragon's Nest"" survey is over.
Unfortunately, I don't have a reward to give you now, but I will give you another chance
soon. I'll be back soon!"
"《竜の巣》はただの魔物の巣だと考える
者もいるが、それだけとは思えんなぁ","Some people consider the ""Dragon's Nest"" to be just an enemy nest, but I don't think it's that simple."
"エルダードラゴンや、さらに巨大な竜の化石も
古い岩盤には残っているというではないか","Elder Dragons and even the fossils of gigantic dragons
are said to remain in the ancient bedrock"
"レスタニアの大地の他、船で辿りつけるのは
つねに小さな孤島のみ
他にも大陸はあるのか、否か――謎だなぁ！","Other than the land of Lestania, you can only reach it by ship
There are always only small islands
I wonder if there are other continents or not—it's a mystery!"
"あまりに身近で忘れてるかもしれんが
《竜の礎》や《リムストーン》なんかも
いつ誰が造ったものかは分かっていないだろう","Arisen are too familiar with the
Dragon's Keystone and
Rift Crystal. I wonder if you have forgotten who made them."
"がははは！　分からんことだらけだがともあれ
《竜の巣》探査が外洋遠征任務の
要ということだ！","Ha-ha-ha!　I don't know a lot of things, but at any rate,
the exploration of the ""Dragon's Lair"" is the
cornerstone of the open-sea expedition mission!"
"おお、よく来たな
勇敢なる覚者よ！","Oh, you have come
brave Arisen!"
"どんな状況だろうと船は出してやる
あんたらの気持ち次第さ","No matter what the situation is, I will send you off
depending on your feelings."
"よう、冒険者たち
調子はどうだ？","Greetings, adventurers
How are you doing?"
