"old",""
"以前よりメルゴダを実質的に支配していたのは
残念な事にディアマンテスです","Unfortunately, Diamantes has been effectively dominating Mergoda more than before."
"かの者の力は強大で恐ろしく、そして鋭い
身体を封じたとはいえ、その支配力まで抑える
ことは私達にはできませんでした","The power of that person is immense and terrifying, and also sharp. 
Even though their body was sealed, we were unable to suppress their control."
"錬金の徒として、申し訳なく思います","As a student of alchemy, I apologize."
"テオドール様は地上にいらっしゃった時も
ディアマンテスの動向を常に注視しておられました","Lord Theodor always closely monitored Diamantes' movements, even when he was on the surface."
"しかしまさか、王を竜へ変じるなど――
そのような大それた事、私達の誰一人として
想像だにしなかったのです","However, none of us could have imagined something as outrageous as the king transforming into a dragon."
"覚者であり王であるゴルゴラン様が――
よもや、白竜様を裏切るなど――","Lord Golgorran, who is both an Arisen and a King—
Could it be that he would betray even the White Dragon—"
"今私達がこのように在るのは
人の理を持ち得て世の理を越えようとした
その罰なのかもしれませんね","The reason we exist like this now might be a punishment for trying to surpass the principles of humanity and the world's order."
"地上の覚者よ
よくぞいらしてくださいました","Arisen of the surface,
Thank you very much for coming."
"私は当地のエリアマスター
ベアトリクスと申します","I am the Area Master of this region. My name is Beatrix."
"当年、２７歳になるはずですが
この地の時間がどう流れたのかわからず
困惑しておりますが――","I should be turning 27 this year, but I am at a loss as to how time has passed on this surface."
"ともあれ、ひさしぶりの来訪者ゆえ
至らぬ点、あらかじめお詫びさせて頂きます","At any rate, I apologize in advance for any imperfections, as it has been a long time since we had a visitor."
"加えて、３２３年前――
メルゴダの大多数の住民は白竜様を思って
祈りを捧げたこと――","In addition, 323 years ago, the majority of Mergoda's residents prayed to the White Dragon."
"黄金の竜でもディアマンテスでもなく
白竜様のご無事を願ったこと――
それだけはどうかお知りおきください","Not the Golden Dragon, nor Diamantes, but prayers for the safety of the White Dragon, Lord.
Please know this, above all else."
"メルゴダでの滞在はいかがですか？","How about staying in Mergoda?"
"多少は力となれるよう
物資面で協力いたしましょう","We can be of some help with supplies."
"このメルゴダにはいくつか
ディアマンテスに与する者の住居が
残っています","In this Mergoda there remain several residences of those who gave to Diamantes."
"彼らの研究を凍結するため
封印している住居があるのですが
そこに何か、我らにとって有用なものが
あるかもしれません","There is a residence where their research has been frozen solidly sealed. There may be something useful to us there."
"住居の場所を教えましょう
そちらの方も、ぜひ探索を","Let me tell you the location of your residence. Please consider exploring it."
