old,
"ん？　もう報酬は受け取っただろう？
また次回の任務でな","Hmm? You've already received your reward, haven't you?
Another mission will be available next time."
"先の森の魔物討伐における報酬を
支給している
まだ受け取っていないなら
保管ボックスから受け取るといい","Rewards for defeating the forest monsters have been paid to

If you haven't received them yet, you can receive them from the storage box at
"
"先の戦闘の評価でお前の活躍は相当のものだった
追加報酬として
シークレットアビリティが送られることになった
これがその報酬だ","Your performance in the evaluation of the last battle was considerable
As an additional reward
you will be sent a Secret Ability
Here's the reward"
"解決してもすぐまた次の問題が湧いて出る
困ったものだ","Even if you solve it, another problem immediately emerges.
Troublesome indeed."
"――それにしても
少し前から《古の祭祀場》での魔物報告が
相次いでいる","――However, there have been frequent reports of enemies at the Ancient Place of Rituals since a while ago."
"竜力が淀みやすい場所だとは聞いていたが
こうも続くとは――
お互い気が抜けんな","I've heard it's a place where dragon power tends to stagnate.
I didn't think it would last this long--
We can't let up on each other."
"あまり話しかけてくれるなよ？
団には覚者を良く思わない者が多いからな","Don't talk to me too much, okay?
There are a lot of people in the group who don't take kindly to Arisen people."
"夜や雨天は、普段とは違う魔物が現れる
ま、外に出る時は天候も気をつけることだ","At night and in the rain, unusual demons appear.
Well, when you go outside, be aware of the weather too!"
"エントリーは歓迎するが、お前は先になすべき
ミッションがあるみたいだな
そちらを終わらせるか、取り消してから
あらためて顔を出してくれ","You're welcome to enter, but it looks like you have a mission to do first

finish that one or cancel it and then
show up again."
"さきほど入った《古の祭祀場》最新情報に
よれば魔物は今姿を晦ましているようだ
出現情報が入り次第、エントリー受付を再開する","According to the latest information from the
Ancient Place of Rituals, the enemies seem to have disappeared
. We will reopen the entry reception as soon as we receive information about their appearance"
"どうにか《古の祭祀場》の件は事なきを得た
――お前への報酬は今回出ていないが
エントの確認など、協力の噂は聞いていたぞ
次は力を借りることになりそうだな","Somehow we managed to get the ""Ancient Ritual Hall"" thing off the ground.
--No reward for you this time, but
I've heard rumors of cooperation, including confirmation of the Ent.
I guess I'll be asking for your help next time."
ん、どうした？,"Hm, what is it?"
"ふん――
レオが姿を消したと聞いてどうなることかと
思っていたが――","Hmm--
I was wondering what would happen when I heard Leo had disappeared
but--"
せいぜい、仲良くしようではないか,"Let's just get along, okay?"
"覚者になりたいと思うこともあったが
おまえを見ていてわかったよ","There were times I wanted to be a Arisen, but I knew it when I saw
you."
"集団の力を信じ、その一部であることに
喜びを感じるわたしは
覚者には向いていないようだ","I believe in the power of the collective and take pleasure
in being part of it, but I
don't think I'm cut out to be an Arisen person."
