"old",""
"ん――？
クランダンジョンについて、ですか？","Hm--?
About the clan dungeon?"
"はぁ――まだご紹介できるダンジョンはありませんね
ダンジョンは《手がかり》を
組み合わせることで見つかるんです","Huh--I don't have any dungeons to show you yet.
Dungeons can be found by combining 《clues》
"
"まずは《手がかり》を集めることを
おすすめしますよ――
何についても、情報は大切ですから","First of all, I recommend you to gather 《clues》 at
--
Information is important for everything!"
"今までに発見した《手がかり》は
このクラン拠点の隠し部屋で
確認できるはずですけど――","The ""clues"" we've found so far can be found at
and
in the hidden room of this clan base--but--I'm sure you'll be able to check them out."
"そうそう、《手がかり》は
クランメンバーで共有されています
――皆さんで手分けして探してみては？","Oh yeah, the 《Clue》 is shared by
clan members
-- maybe you guys should split up and look for it?"
"あ、覚者様――
何かご用ですか？","Ah, Lord Arisen――
Do you need something?"
"今、考えてるんです
この前手に入れた古い装飾品のことを――","I'm thinking now
about the old decoration I obtained the other day――"
"人が造り、手入れして、受け継ぎ
――あるいは隠し忘れ去られて
それからまたこの時代に現れた","Created and cared for by people, passed down
―― or forgotten and hidden
then appeared in this era again"
"そう――全ての骨董品は運命を背負い
そして運命に導かれてボクのところに
現れるんです","Yes――all antiques bear a fate
and they appear to me, guided by fate
"
"ボクは骨董品が好きなんですけどね
何もそれらをとにかく集められたら
いいってわけじゃありません","I like antiques, you see
but it's not necessarily good to collect as much of them as possible
"
"その品が、よりふさわしい誰かのところに
行きたがっているとしたら――","If that item wants to go to someone more deserving--
"
"喜んで送り出したいと思ってるんですよ
――そう、喜んでね","I'd be happy to send you on your way.
-- yes, gladly."
"骨董というものは、元々の価値だけでなく
時間や歴史の価値を纏って形作られているんです
時を経てこそ人の心に残る
そんな芸術と言いましょうか――","Antiques are not only of original value
but are also clothed in the value of time and history.
It is only with the passage of time that they remain in people's hearts.
I would say that they are such art..."
"だからこそ奥深く
いや、果てが無い――
――悩ましいものです","That's why it's so profound
No, it's endless--
--it's troubling."
"ん――？
覚者様、今別のことを
されているんじゃないですか？","Hmmm--?
Arisen, are you not busy with something else right now?"
"ボクは、ご紹介するダンジョンには
きっちり集中して
挑んでいただきたいんですよね――","I'd like you to
concentrate on the dungeon
that I'm going to introduce you to--I'd like you to concentrate on the dungeon--and not on the dungeon."
"うぅん――申し訳ないんですが
他のミッションを終わらせるか
辞退なさってから、もう一度
来ていただけるでしょうか――","Ummm--I'm sorry, but
can you finish your other mission or
decline and then come back
again--I'm sorry."
