"old",""
"テル周辺の事で相談か？
用件を伺おう","You want to talk to me about the Tel area?
Let's hear what you have to say."
"テルの西に振ってきた炎に包まれた何か――","Something engulfed in flames swung from the west of Tel--"
"黒い石の塊のようなものなのだが
不気味でしかたがない
その近くで異様な姿のゴブリンを
見たという者もいる――","It's like a block of black stone, but
it's just creepy.
Some people have seen strange-looking goblins
near it-- some say they've seen them-- and they're not sure what they're supposed to be."
"村に影響がなければいいのだが","As long as it doesn't affect the village, it's fine."
"わたしの役割はテルと白竜神殿との仲介だ
ハイデル平原で起こった問題について
聞きたければ、いつでも訪れてくれ","My role is to mediate between Tell and the White Dragon Temple
about the problems that have occurred in the Heidel Plains
If you want to ask me about it, you can visit me anytime."
"魔物の増加に資材の不足
そして何より村の病――
悩みの種はつきないものだ","More demons, lack of materials
and above all, the village's illnesses--
are a constant source of worry."
"一つでも多くの問題解決に、協力頂けると助かる
貴君のことは頼りにさせてもらう","I would appreciate your help in solving as many problems as possible.
I will be relying on you."
"おお、よく来てくれた
ちょうど貴君に伝えたいことがあってな！","Oh, thank you for coming.
I just had something I wanted to tell you!"
"このハイデル平原に設置された
《辺境の礎》が全て解放されたのだ！
これでハイデルの隅々まで足を運びやすくなるだろう","All of the
""Frontier Cornerstones"" set up here in the Heidel Plains have been released!
Now it will be easier to visit every corner of Heidel!"
"貴君も最近は覚者隊での地位を築き、
益々の活躍に忙しいと聞いている
効率の良い探索のためにも、ぜひ活用してくれ","I hear that you have recently established your position in the Sentinel Corps and are busy
increasing your activities.
Please make use of it for efficient search!"
"以前、テルの西に降ってきた黒い塊――
そう、《アーク》といったか
あの付近を新手の魔物が徘徊しはじめてな","That black mass that fell to the west of Tel--
""Ark"", was it?
There are new monsters roaming that area now."
"今のところ移動する気配は無いが
万が一、村に近寄ることがあれば
混乱は避けられないだろう","There are no signs of movement so far, but
if they start to approach the village,
there is sure to be trouble."
"付近の魔物の動向は把握しておきたいのだ
もし調査を頼めるのなら、
あらためてわたしに話しかけてほしい","I'd like to know what's going on with the monsters in the area.
If you can help investigate,
please come speak with me again."
"貴君が以前調査してきてくれた《アーク》だが
裏側にもう一つ出入り口があったのを知っているか？","That ""Ark"" that you investigated earlier--
Did you know there is another entrance at the back?"
"何かの罠である可能性を警戒して封鎖していたのだが
今の貴君であれば心配は無さそうだ
封鎖を解いておこう","Be wary of the possibility that it may be a trap and sealed it off.
But with your current status, there seems to be no need to worry.
Let's remove the seal."
"興味があれば中を調べてみるのも良いかもしれぬ
ただ、中に魔物がいることは確実だろう
調査の際は十分に注意しておくことだ","If you're interested, it may be good to investigate inside.
However, it is certain that there are enemies inside.
Be cautious during the investigation."
"――口うるさいと思わないでくれ
このテルの守り手を失いたくはないのだ","Please don't think I'm being annoying.
I don't want to lose my Protector of Tel."
"ああ、よいところに来てくれた
実は貴君に相談したいことがあったのだ","Ah, you've come at a good time.
I actually have something I want to discuss with you."
"以前調査してきてもらった《アーク》の付近から
最近、虫や小動物の姿が消えているのだ","From the vicinity of the 《Ark》 that you have previously surveyed for me
, insects and small animals have been disappearing lately."
"アークに変化が起こっているのかも知れん
そこで、貴君に内部を
調査してきてもらいたいのだが、頼めるだろうか","There may be a change in the arc
so I need you to go inside
and check it out, can you do that for me?"
"引き受けてくれるようであれば、
あらためてわたしに話しかけてくれ
わたしもアークの周囲を調べてわかったことがある
貴君に詳しく伝えよう","If you are willing to accept,
please talk to me again
I've been looking around ARC and found out some things
I'll tell you more about it."
"貴君の働きにはわたしも、テルの村人たちも
とても感謝しているのだ","I and the villagers of Tell are very grateful to you for your work
"
"今回、村人たちからの強い希望もあって
支援品としてさらに良いものを揃えることにした","This time, due to strong requests from the villagers,
we have decided to have an even better selection of support items."
"貴君への恩に報いるには足りぬが、
村のみなからの気持ちとして受け取ってくれ","It is not enough to repay your debt to me, but please accept it as a gesture from all of us in the
village."
"これからも、よろしく頼む
テルとハイデルの守り手であってくれ","Please keep up the good work.
Be a defender of Tell and Heidel."
"貴君がレオの信頼を得ているならば、
あるいは好奇心に身を任せるならば――","If you have Leo's trust,
or if you let your curiosity get the better of you--"
"それだけ多く、様々な地を
訪ねることになるだろう
そして、貴君の活躍を待つ者も多いだろう","So many, many places
will be visited
and many will be waiting to see you in action!"
