old,
"ミスリウ一帯の案件なら
私が預かっているわ","If you're looking for a case in the Misriu area,
I can take care of it."
"リンウッドは深部の森やその周辺とも
昔から交流があるの","Lynwood has a long history of contact
with the deep forest and its surroundings."
"ポーン郷のカミュ様やエメラダには
よくお世話になってるしね","Camus and Emerada of the Pawn Cathedral
have taken good care of me."
"洞窟や奥地に行く時は気を付けてね
トロールやエントと出くわしたら大変よ","Be careful when you travel to the caves and backcountry.
If you run into a troll or an ent, there will be trouble."
"森が危なくなって、木材の調達も
難しくなってきたわ","The forests have become more dangerous, 
and it's getting more difficult to gather wood."
"もう知ってるかもしれないけど
《辺境の礎》っていうのが各地に
設置されることになったでしょう","You may already know
that something called ""Cornerstone of the Frontier"" is going to be installed in various places
"
"今回、ミスリウの《辺境の礎》全てが
使えるようになったのよ
このことをぜひ貴方にも知らせておこうと思って！","This time, all of Misriu's ""frontier foundations"" are now available

I thought I'd let you know about this!"
"森の中は入り組んでいるから
迷いやすかったり移動に時間がかかりがちだけど
これで少しは楽になると思うわ","The woods are so convoluted that
it's easy to get lost or take a long time to get around.
I think this will make things a little easier."
"ちょうどいいところに来てくれたわ！
貴方に相談したいことがあったの","You've come just in time!
There's something I needed to speak with you about."
"リンウッドからミスリウ森林深部に行く
一本道があるでしょう
その途中に、“子攫いのメリーティア”と呼ばれる
ナイトメアが巣食ってしまったの","There's a single road that leads from Lynwood
to the depths of Mysree Grove.
A nightmare known as ""Maritia the Kidnapper""
has taken up residence along that road."
"ナイトメアの中でも凶悪な個体で
生半可な腕では近付くことすらできないのよ
お願い、貴方に退治を頼めないかしら","It's the most vicious of the nightmares and
with my lacking skill, I can't even get close to it.
Please, can you help me get rid of it?"
"退治してくれるなら出発前に
私に話しかけてちょうだい
くわしく説明するわ","If you want to exterminate them, talk to me before you leave

and I'll explain more."
"そうそう、貴方に伝えようと思っていたことがあるの
森の中にある遺跡《ミスリウ古墳墓》の封鎖を
解くことにしたのよ","That's right, I've been meaning to tell you.
I've decided to unseal those ruins in the forest,
the ""Mysree Ancient Burial Mound""."
"以前から歴史研究のために解放を
望む声があったんだけど、万が一のことを考えると
封鎖しておかざるをえなかったのよね","There have been continued calls
to release it for historical research,
but not knowing what could occur, we had to keep it sealed off."
"けど、今は貴方という頼もしい覚者さんが
ミスリウに寄ってくれることだし
この機会にと思ってね！","But now that a reliable Arisen such as yourself
will be stopping by Mysree,
I couldn't miss this opportunity!"
"うーん、覚者さん――
ちょっと相談してもいいかしら","Hmmm, Arisen--
Could I speak with you a moment?"
"実は、この前封鎖を解いた
《ミスリウ古墳墓》についてなんだけど
さっそく問題が起こっちゃって――","Actually, about the
Ancient Burial Mound that was unsealed recently,
a problem has occurred right away..."
"あの古墳墓に入った歴史家が
魔物に襲われたらしいんだけど
どんな魔物なのかすらわからないの","It seems that the historian who entered that ancient burial mound was attacked by
enemies, but
we don't even know what kind of enemies they are"
"このままじゃ謎を抱えたまま
あの古墳墓をもう一度
封鎖しないといけなくなるわ","If we leave it like this,
we will have to seal that ancient burial mound again
while still having this mystery"
"貴方の力で何とかならないかしら
調査を頼めるようなら、くわしく
説明するから、もう一度私に声をかけてね","I wonder if it's possible to solve this with your power?
If I can ask you to investigate,
I will explain in detail, so please talk to me again"
"いつもリンウッドを助けてくれてありがとう
この森の住人を代表してお礼を言うわ！","Thank you for always helping Lynnwood.
I thank you on behalf of all the residents of this forest!"
"私も、もっと貴方の力になりたいんだけど
物資での支援くらいしかできないから――","I'd like to help you more, too, but I can only help you with supplies at
"
"せめてもの気持ちとして、もっといいものを
揃えられるように手配しておいたの
役立ててくれると嬉しいわ","At the very least, I've arranged to have something better

I hope it helps!"
"リンウッドの皆がこうしてられるのも
貴方のお陰よね","Thanks to you, everyone in Lynwood is able to do this
"
"私にできることなんてたかが
知れてるだろうけど、何とか恩返しするわ！
だから、今後ともよろしくね","I know there's not much I can do
but I'll try to repay you somehow!
So keep up the good work!"
"貴方の活躍、噂になってるわよ！
はい、今回のお礼
ぜひまたお願いね！","Your achievements are being talked about!
Yes, as thanks this time
Please let me rely on you again!"
"村の仕事を手伝ってくれて、ありがとう
何かお礼しないとね","Thank you for helping with the village's work,
I have to thank you for something"
"来てくれてありがとう！
これ、リンウッドのみんなで少しずつ
出しあって買ったの","Thanks for coming!
We all paid a little
for this one."
みんなからの、日ごろの感謝の印よ,It's a symbol of our daily gratitude to everyone
"ねぇ、これ、貴方に使ってもらおうと
思ってとっといたの
少しは何かの役に立つかしら","Hey, I saved this for you to use

I hope it's of some use."
"こんにちは
私はエリアマスターのパトリシア
よろしくね","Hello
I'm Patricia, an Area Master
Nice to meet you"
"このミスリウ一帯は、木々が密生しているから
迷わないように注意してね
特に道から外れた時はカンに頼らず
かならず地図を確認するのよ","This area of Misliu is densely wooded
so be careful not to get lost
especially if you are off the path, don't rely on your instincts
always check the map!"
"それと、すこしミスリウ森林の
現状について共有しておくわね","Also, I'd like to share a bit about the current status of
in the Missouri Forest."
"白竜様の力が衰えてから
森のいたるところで魔物や獣たちが
凶暴化してきているの","Since Master Hakuryu's power waned,
demons and beasts everywhere in the forest have become
more ferocious."
"今は、各所で起こった異変に
順番に対処するしかないという状況よ
特に、洞窟や水辺には注意して","Right now, we're just dealing with the anomalies that have occurred in various places
in turn.
Be especially careful in caves and near water!"
"あと、あなたが信頼できる人だって
分かったら紹介したい人もいるんだけど――
それは、あなたの活躍を見てからに
させてもらうわ","I also have some people I'd like to introduce you to if I find out
that you're someone I can trust--
I'll let you do that
after I see how well you're doing."
"あ、そうだ
これ使って、大した物じゃないけど","Oh, yeah.
Use this. It's not much, but..."
村の仕事を手伝ってくれて、ありがとう,Thank you for helping with the village's work.
"あなたのサポートができるよう
物資面で支援するわね","I'll be happy to assist you with supplies at
so that we can support you."
"さっそくだけど、問題発生よ
リンウッドの北東にフォレストゴブリン達の
集落があるのは知ってる？","Quickly, we have a problem.
Did you know there is a
settlement of forest goblins northeast of Lynnwood?"
"その《森小人の集落》で、連中の首領を
見かけたって報告があったの","I got a report that I saw the head of them
in that ""forest dwarves' settlement""."
"森小人の長、《緑鬼グリッガ》
前はもっと森の奥地にいたはずなのに","Chief of the Forest Dwarfs, ""Griga the Green Demon""
He used to be in a more secluded part of the forest."
"もし見かけたら、先手を打てないかしら
貴方にも気をつけておいてほしいの","If I see you, I'll see if I can get a head start.
I want you to keep an eye out too."
"良い所に来たわね！
《西ミスリウ橋》の修繕がようやく終わったの","You've come to the right place!
The repairs to the West Misriu Bridge are finally finished."
"これも、あなたが村の問題解決を
手伝ってくれたお陰よ
ポーン郷との行き来が楽になるんじゃないかしら","This is all thanks to you helping
solve the village's problems
I'm sure it will make it easier to get to and from Pawnee Township."
"橋さえ通れれば、わざわざリム転移を
使うほどの距離でもなくなるからね","If you can cross the bridge, you won't have to use Rift Teleport
for such a distance"
"貴方に言おうと思ってたことがあったの
村の北東、川沿いに《リンウッド地下水路》
っていう旧時代の水路があるのよ","I was going to tell you about something
there is an old time waterway along the river northeast of the village called the Lynnwood Underground Canal
"
"リザードマンが多くて危険だから、
入口を閉鎖してたんだけど、どういうわけか
行商人が入ってしまって――","There are so many Lizardmen that it's dangerous,
we had to close the entrance, but somehow
the peddlers got in and--"
"私が掛けていた鍵が、市販品だった
からかしら――","I think it was from
where the lock I was hanging was a commercial one--I don't know."
"救援要請があってすぐ水路に向かったん
だけど、もう姿が見えなくてね
もしかしたら近くに居るかもしれないから
少し気にしておいてほしいの","I went to the canal as soon as I got the call for help
but I can't see him anymore
so maybe he's around
I just want you to keep an eye out for him."
結局彼ら、どうなったのかしら――,I wonder what happened to them in the end?
"貴方の活躍、噂になってるわよ！
これからもお願いね！","Word is getting out about your success!
Keep up the good work!"
"物資の支援くらいしか報いられないから
私の方でも別の品が手に入らないか
当たってみたの
少しでも助けになればいいんだけど","I can only repay with support for supplies
When I’m not other stuff in my own way
I tried hitting it
If I can help even a little bit"
"そうだわ！
ちょうど貴方に紹介したい人がいるのよ","Yes!
I have someone I want to introduce to you"
"その人の名はエメラダ
リンウッドの南、《森の一軒家》にいる女性よ","Her name is Emerada
She is a woman in the south of Lynwood, in the ""Lone House in the Forest"""
"彼女は私の友人なんだけど
実は、彼女は神殿では非公式の職
《ソーサラー》の師でもあるの","She is my friend
Actually, she is an unofficial job in the cathedral
She is also a teacher of the ""Sorcerer"""
"私が見込みがあると思った覚者を
たまに紹介しているの
貴方なら、きっと魔術を良い事に使ってくれる
――そう思ってね","I occasionally introduce an Arisen person that I think has potential
I'm sure you'll use your magic for good
I'm sure you'll use your magic for good
--that's what I'm thinking!"
"話は通しておくから、その気があれば
エメラダと会ってみて
彼女の家の場所が分からなければ
《スポット情報》で確認するといいわ","I'll talk you through it, and if you're so inclined, you can meet with Emelada at

If you don't know where her house is, you can check it out at
《Spot Information》."
"ちょっとまずい状況になったの
森に、腐肉が散乱する廃屋がいくつか
あるのは知ってるかしら","I'm in a bit of a bad situation
I wonder if you know that there are some abandoned houses in the forest
that are littered with carrion."
"あそこはそれぞれ、凶暴なエイプ達の縄張りに
なっててね――
だいぶ前に追い払ったのだけど
いつの間にか戻ってきたらしいのよ","Each of those places has become the turf of the vicious apes
--
we chased them away a long time ago, but
they've been back for some time now."
