"old",""
"やぁ、君がいるクランの活躍は
聞いてるよ！","Hey, I've heard about the success of the clan you're in!"
"さらに仲間との冒険が楽しくなるように
わたしからの贈り物だ
受け取っておくれ！","To make your adventures with your friends even more enjoyable, here is my gift to you. Please accept it!"
"《クラン》について聞きたけりゃ
何でも答えてあげよう
冒険がより華やかになること請け合いさ","If you want to ask me about Clans,
I'll be happy to answer any questions you have.
I'm sure your adventures will be more colorful than ever."
"同じ目的のもと、仲間と旅し共に歩む
うーん、素晴らしいじゃないか","Within alchemy, there are techniques that apply the logic of the craft as skills for battle. It is the art of generating, transforming, and rearranging substances by using one's own life force as a medium."
"ここでは、《クラン》の設立・加入手続きや
入団の斡旋をしているよ
興味があるかい？","Here, we handle the establishment and joining procedures of Clans, and also facilitate the matchmaking for new members. Are you interested?"
"覚者さん、自身の情報は《覚者プロフィール》
でも確認できるんだよ","Arisen, you can check your own information in the ""Arisen Profile""."
"仲間のプロフィールを見せてもらうのも
面白いんじゃないかな","It might be interesting to take a look at your comrades' profiles."
"仲間の人となり、強さ、旅の記録なんかも
垣間見れるからね","You'll get a glimpse of your friends' personalities, their strength, and the record of their journeys."
"《クラン酒場》へようこそ！
何かご用かな？","Welcome to The Clan Tavern!
What can I do for you?"
"そうそう、覚者さんにも伝えとかないと！
今回、《クラン》の仲間と使える
《クラン拠点》を手配したんだ
――なんて、もう知っていたかな？","Yeah, that's right! I should tell you as well! This time, I've arranged for a 《Clan Base》that you can use with your 《Clan》 friends.
--Did you already know about it?"
"覚者さんもぜひ使ってみておくれ
仲間だけでワイワイやるのも楽しそうだろ？","Arisen, please give it a try as well. It seems fun to do it together with friends, isn't it?"
"《クラン酒場》へようこそ！
大変な時こそ、助け合う仲間が必要じゃないか？","Welcome to the Clan Tavern! In times of trouble, don't we all need friends to help each other out?"
"《滅びの渦》に《黒剣》、《黒竜》ね――
この酒場にいるといろいろな噂を聞くが
これほどまでに“ただの噂”であってほしいと
願ったことはないよ","In the ""Vortex of Ruin,"" there is the ""Black Sword"" and the ""Black Dragon""... When you are in this tavern, you hear various rumors, But I have never wished for them to be more than ""just rumors."""
"まいったな、悩み深き青少年じゃあるまいし
この年になって「明日が来るか」なんて
考えることになるとはね","I'm at a loss, I'm not a deeply troubled youth. It's surprising to start thinking about whether ""tomorrow will come"" at this age."
"仲間と共にある喜びを
少しでも広められたなら――","If even a little joy could be spread together with comrades—"
