old,new
"ミスリウ森林深部に
ほとんど人はおりません",
"私はここで一人、静かな森に身を任せ
祠を守っております",
"岸辺の小屋には立ち寄られましたか？
イヴァンという狩人が暮らしております",
"あの方は少し会話が不器用ですが
素晴らしい弓の名手
きっと覚者さまの力となってくれるでしょう",
"この森には、古き民――
エルフに縁ある遺跡が点在しています
優しく美しい、今なお息吹ある建物です",
"中に入った者いわく
ところどころに、不思議な青い床石があり
その意味を理解しなければ
先に進むことができないのだとか――",
"このような祠でも、旅の疲れを取るくらいなら
できましょう、辺境ゆえ<VAL PRICE_INN>ほど
ご負担いただきますが",
はい,Yes
いいえ,No
"このような木々の迷路――
そのまた奥までご苦労さまです
よくぞ迷わずにいらっしゃいました
それとも――迷ったあげくにここへ？",
"いずれにしても
私が貴方さまのお役に立てましょう",
"私はクリスティーヌ
ミスリウの、深き森のエリアマスターで
ございます",
"ミスリウ深部には――
イニアス湖を中心として、エルフに由来する
遺跡が数多くあります
お時間が許すならば、どうぞお訪ねください",
"しかし森はかつてないほど騒がしく
また獣たちも騒いでおります
場合によっては、覚者さまを頼りと
させていただくこともあるでしょう",
"どうか、それをお心に留めおきください
森はいつでも貴方さまを歓迎いたします",
"ささやかながら、貴方さまの
来訪時にお納めできる
品を用意いたしました",
"これからもどうかこの地へ
お立ち寄りください",
"覚者さま、イニアス湖北のほとりに
《密猟者のキャンプ》があるのは
ご存知でしょうか",
"そこに出入りする者達は、獣のみならず
人をも狩りの対象にする、悪しき者達です",
"どうぞ周囲を散策する時は
ご注意ください",
"覚者さま、お願いがございます
エルフの遺跡の一つ
通称《蒼葉のテラス》についてなのですが――",
"あの遺跡は手つかずの姿を保つため
入り口を封じていたのです",
"しかし、その一角にグリフィンが住みつき
周囲を狩り場にするようになってしまいました",
"そのせいで、ディナン深層林へ続く山道の
ガレキ撤去作業も滞っているようなのです",
"入り口は開放いたします
どうか、その対処を頼めないでしょうか",
"覚者さま
湖の西側、《イニアス湿地帯》にて
ブルーニュート達の中に、より強力で
人を脅かす者が現れたそうです",
"コバルト色の電光を纏ったトカゲ――
イヴァンも注意するよう言っておりました",
"どうか、近くを通る時は警戒を
そして可能であれば退治をお願いいたします",
"覚者さま
かような深き森にある私どもへのお心遣い
感謝しきれるものではありません
ありがとうございます",
"また、ささやかではございますが
お納めできる品を良質なものに
させて頂きました",
どうか、今後ともよろしくお願いいたします,
"覚者さま、エルフの地《ディナン深層林》に
続く山道が開通いたしました",
"覚者さまが、魔物を退治してくださったお陰で
ガレキ撤去作業の進捗が
良くなったそうです",
私から、あらためてお礼申し上げます,
"さらに深き森、エルフ達の故郷を
どうぞご自身の目で確かめて来て下さい
ディナン山道は森林の最南部にございます",
"覚者さま
イニアス湖東北にある《名もなき廃村》にて
おそろしき恨みの声を聞いたと
イヴァンから報せがありました",
"あの方は、魔物や獣にはお強いのですが
幽霊、亡霊の類は大変苦手のご様子――",
"どうか、イヴァンに代わり
亡者の類がさまよい出ることあらば
浄化いただけないでしょうか",
"覚者さま
この森にとって、あなたはすでに大事な方",
そして、私にとっても――,
"あなたの尊き行いが
レスタニアのすべてに行きわたりますよう",
"私も、可能な限りの支援にて
あなたのお役に立ちたいと思います
どうぞこれからも、この森へおいで下さい",
"覚者さま、少し前
この森に白きキメラが姿を現したのです",
"おそらく、あれは森小人達が聖獣と
崇める恐ろしの魔獣
《白獅子アルバス》――",
"放置したならば、この森のみならず
リンウッドにまで被害をもたらす
かもしれません",
"森の奥から姿を現したかの獣を
幸いにもイヴァンが撃退してくれました",
"そして今獣が居るのは、《霊泉のテラス》奥
――《聖獣の間》
そこで力を蓄えている様子",
"貴方さまにも魔獣の封じ込めに
ご助力いただけないでしょうか",
"覚者さま、急いでお伝えしなければ
ならないことがあるのです",
"ディナン山道の手前、森の南部にて
恐るべき巨人が姿を現したのです",
"その巨人の名は《ヨトン》
ハンターを襲い、多くの覚者を亡きものにした
残忍なモルトロールです",
"森のため、《ヨトン》の討伐を――！
どうかわたしからのこの依頼
お聞き入れくださいませ",
