"MsgJp","MsgEn"
"<COL ff7575><KCT ATTACK2></COL>でブラストビットだ。魔法弾で敵を３回攻撃してみろ！","<COL ff7575><KCT ATTACK2></COL> is Blast Bit. 
Attack the enemy 3 times with magick bolts!"
"ボタン長押しで溜めて放てば魔法弾の数や威力が上がるぞ","Hold the button to charge and release,
increasing the number and power of magic bolts."
"<COL ff7575><KCT ATTACK1></COL>でヒールオーラだ。回復陣を展開し、仲間と自身の傷を回復するんだ！","<COL ff7575><KCT ATTACK1></COL> is Heal Aura. 
Deploy a healing aura to restore health 
for allies and yourself!"
"<COL ff7575><KCT SKILL_NORMAL1></COL>でセイントオーラだ。聖撃陣を展開し、敵を攻撃だ！","<COL ff7575><KCT SKILL_NORMAL1></COL> is Holy Aura. 
Deploy a holy strike aura to attack the enemy!"
"よし、最後の仕上げだ。祠の奥へ向かい、そこにいる敵をブラストビットやセイントオーラで倒すんだ！ヒールオーラで回復も忘れるなよ","Now, the final step. Head deeper into the chapel &
defeat the enemies there with Blast Bit and
Holy Aura. Don't forget to heal with Heal Aura!"
"試練完了、よくやったな！奥にある＜浄化の証＞を受け取り、神殿のレンテンに報告するがいい","Trial complete, well done! 
Take the <Priest's Mark> in the back 
and report to Renton at the temple."
"おめでとう、覚者よ
これにて戦術試練は完了だ！","Congratulations, Arisen.
The tactical trial is now complete!"
"今覚えたプリーストの戦い方を
振り返りたい時は、《チュートリアルガイド》の
《ジョブの操作と役割》からプリーストの戦法や
戦術的役割を確認するんだ","To review the Priest's combat style
you just learned, check 《Tutorial》→
《Job Roles》for tactics and duties."
"お前なら、より巨大な魔物へ挑むための
試練も達成できるだろう
さらなる挑戦を待っているぞ","You might even be able to conquer trials
for larger beasts. Greater challenges await!"
"あらためてよろしく、俺はレンテン","Good to see you again, I'm Renton!"
"あんたには、特別試練ってやつを受けてもらうよ
ほら、プリーストの基礎心得ってやつ？","You'll take on a special trial. 
The basics of being a Priest, got it?"
"こいつは一人でやらなきゃならない
ジョブ――自分の役割ってのを理解するためさ","This task must be done alone...
to fully understand your Job's role."
"試練は《修練の祠》ってところでやるんだ
神殿を出て左手の崖沿いに進んだら
案内人の騎士団員がいるから話を聞くといい","The trial takes place at the 'Training Chapel'. 
Exit the temple, follow the left cliff, and
speak to the guide from the Knight's Order"
"来たか、覚者
試練を行う《修練の祠》は、この崖の上だ
ここからよじ登って行ける","You've come, Ser Arisen. 
The 'Training Chapel' for the trial
is atop this cliff. Climb up from here."
"しっかりやれよ
お前たち覚者が頼りないと、こっちも困るからな","Do your best. 
We rely on you Arisen...don't let us down."
"お、どうだった？　試練の成果は
そうか、うまくいったかぁ！
ジョブの奥深さを知るいい経験になっただろ？","Oh, how was it? The trial's results.
I see, it went well!
A good experience to grasp
your Job's depth, right?"
"もし別のジョブに転職することがあったら
また挑戦してみてくれよな","If you ever move on to another job,
give it another shot."
"どうした？
《修練の祠》は崖の上だ、はやく登って行け","What's wrong? 
The 'Training Chapel' is atop the cliff.
Hurry and get up there."
"覚者とは試練に臆することなく立ち向かい
その使命を全うする者のことだ","An Arisen faces a trial without fear
and fulfills their duty no matter what."
"与えられた試練を全てこなせた者のみ
《浄化の証》を得ることができる","Only those who complete all trials
may obtain the 《Priest's Mark.》"
"各試練のやり方について
わからなければ、今までに得た知識を
確認しながら臨むがいい","If you're unsure about any trial.
Review the information for the trial
you've gained so far before proceeding."
"技や動きの参考のため
一人、共闘の兵をつけておこう
課題をこなす中で戦技を身に刻め！","For reference, I'll assign a Pawn 
to fight alongside you. Etch these combat skills
into your mind during the trial!"
"与えられた試練を全てこなせた者のみ
《浄化の証》を得ることができる","Only those who complete all trials
may obtain the 《Priest's Mark.》"
"各試練のやり方について
わからなければ今までの得た知識を
確認しながら臨むがいい","If you're unsure about any trial.
Review the information for the trial
you've gained so far before proceeding."
"また立ちはだかる魔物が
課題中にすべていなくなったら
再度出直してくるがいい","If all of the enemies in the trial vanish,
leave then return later to try again."
"さあ、準備が整ったら
《修練の祠》へ行ってくれよ
神殿の外を左手に進んで、案内人と話すんだ","Now, when you're ready, please go to
the 'Training Chapel'. Go outside the
temple to the left and talk to the guide."
"《浄化の証》、よくぞ得た！
今後は実戦にてその戦技を鍛錬するのだ
神殿に戻りレンテンに報告するがいい、覚者よ！","A 'Priest's Mark'...well earned! 
Hone these skills in real battle.
Return to the temple and report to Renton, Arisen."
