"MsgJp","MsgEn"
"今度の試練は、強敵に挑むなら
必ず会得しておきたい基本戦術について、だ","This trial is about basic tactics one must master
before facing a strong enemy."
"ファイターがいかに攻撃を決めるかが
最大の勝敗要因だからな！","How and when a Fighter decides to attack
is the biggest deciding factor in any battle!"
"あんたの想像通り、この試練もまた
一人で挑んでもらうことになる
気を引き締めてくれよ","As you might've guessed this trial must be
faced alone, steel yourself!"
"じゃあ《修練の祠》に向かってくれ
場所はもう、わかるだろう","Now, head to the 'Training Chapel.'
I believe you know its location."
"お！？　なんか表情が違うぞ、さっきと
ひとまわり成長したって感じだな！","Oh!? Your expression is different than before.
It looks like you've grown in strength a bit!"
"ジョブの試練は、いつでも受け付けているから
転職したときは挑戦してほしい","Job trials can be accepted any time,
try them out when you switch jobs."
"あんたの活躍、俺も応援してるからさ！","I'll be rooting for your success!"
"試練は《修練の祠》で行う
さあ、向かってくれ","The trial takes place at the 'Training Chapel.'
Head over there now."
"まずは祠の奥へ向かい、大型敵と対峙するんだ！","You must first face the large monster
deep within the chapel!"
"そして<COL ff7575><KCT TOUCH></COL>でヤツにしがみつけ！","Now use <COL ff7575><KCT TOUCH></COL> to climb onto it!"
"その状態で<COL ff7575><KCT ATTACK1></COL>でえぐり突きだ！","While clinging, use <COL ff7575><KCT ATTACK1></COL>
to gouge the beast!"
"しがみつき中に黄色いマークが出たら、<COL ff7575><KCT TOUCH>長押し</COL>で耐えろ！成功するまで何度もやってみるんだ","If a yellow mark appears while climbing,
hold <COL ff7575><KCT TOUCH></COL> to endure.
Keep trying until you succeed."
"しがみつき中に赤いマークが出たら危険だ！<COL ff7575><KCT JUMP></COL>でジャンプし、すぐ離脱しろ！","A red mark when climbing means danger!
Jump with <COL ff7575><KCT JUMP></COL> to retreat quickly!"
"攻撃し、ヤツを怒らせるんだ。怒った敵は体が赤く輝くぞ！","As you attack, you'll gain its ire.
An angry enemy's body glows red!"
"覚者とは試練に臆することなく立ち向かい
その使命を全うする者のことだ","An Arisen is one who faces trials
and fulfills their duty without fear."
"今度は大型敵との戦いに挑む試練だ
その大型敵を倒した者のみ
《破攻の証》を得ることができる――","This trial challenges you to fight a large enemy.
Only those who defeat it can gain
the Proof of Might..."
"知識として《大型敵との戦い》について教えておく
やり方がわからなければ確認して臨むといい","I'll teach you about 'Fighting Large Enemies.'
Review the information before you head out."
"共闘の兵とともに行くがいい
証を手にするのだ、覚者よ！","Go now with your allied soldiers.
Claim the proof, Arisen!"
"<COL ff7575><KCT TOUCH></COL>でヤツにしがみつき、","Use <COL ff7575><KCT TOUCH></COL> to climb onto the enemy!"
"<COL ff7575><KCT CLIMB_JOLT></COL>で揺さぶり、疲れさせろ！敵スタミナゲージを減らすんだ","Shake with <COL ff7575><KCT CLIMB_JOLT></COL>
to reduce its stamina gauge."
"よし、その調子だ。一気に仕留めてしまえ！敵が怒ったら疲れさせ、ダウンを奪うんだ。覚えておけよ！","Good, that's it! Let's finish it off! 
When it's angry, exhaust it to knock it down.
Remember that!"
"今度は大型敵との戦いに挑む試練だ
その大型敵を倒した者のみ
《破攻の証》を得ることができる――","This trial challenges you to fight a large enemy.
Only those who defeat it can gain
the Proof of Might..."
"知識として《大型敵との戦い》について教えておく
やり方がわからなければ確認して臨むといい","I'll teach you about 'Fighting Large Enemies.'
Review the information before you head out."
"試練は始まっている
臆せず深部を目指せ、覚者よ！","The trial has begun.
Go forth without fear, Arisen!"
"試練完了、よくやったな！奥にある＜破攻の証＞を受け取り、神殿のレンテンに報告するがいい","Trial complete well done!
Take the 'Proof of Might' inside
and report to Renton at the temple."
"おめでとう、覚者よ
これにて戦術試練は完了だ！","Congratulations, Arisen.
The tactical trial is now complete!"
"今覚えた大型敵との戦い方を
振り返りたい時は、《チュートリアルガイド》の
《冒険の基礎知識》から《大型敵との戦い》
を確認するんだ","To review how to fight large monsters, find
'Adventuring Basics' > 'Fighting Large Enemies'
in the 'Tutorial.'"
"あとは場数をこなして実力をつけるだけだな
がんばれよ","Now just gain experience through practice.
Good luck!"
"《破攻の証》、よくぞ得た！
強大な敵に怯まぬ戦技、勇気とともに活かすのだ
神殿に戻りレンテンに報告するがいい、覚者よ！","A well-earned 'Proof of Might!'
Wield these skills against your foes with courage.
Return to the Temple and report to Renton, Arisen!"
