"MsgJp","MsgEn"
"<COL ff7575><KCT ATTACK1></COL>でアルケムだ！錬成物質を付着させた敵は、お前への敵意が上がるぞ！","<COL ff7575><KCT ATTACK1></COL> is Alchemy! 
Foes imbued with alchemical compounds 
will prioritize you as prey!"
"錬成物質のついていない敵を狙うがいい！","Focus fire on enemies
without alchemical compounds!"
"<COL ff7575><KCT ATTACK2></COL>でクラスターだ！","<COL ff7575><KCT ATTACK2></COL> is Cluster!"
"錬成物質のついていない敵を狙うがいい！","Focus fire on enemies
without alchemical compounds!"
"錬成物質は錬金術の攻撃媒体にもなる。覚えておくんだ","Alchemical compounds can also serve
as an offensive medium. Remember this well."
"アルケムやクラスターで攻撃するほど、錬成物質は多く付着する！それに応じて敵の注意の強さや、解放時の攻撃力が上がるのだ！","The more you attack with Alchemy or Cluster, 
the more alchemical compounds attach! 
This increases the enemy's aggression level 
and the power of the Release attack!"
"敵が攻撃する瞬間に<COL ff7575><KCT AVOID></COL>でアルケム・フーガだ！","Now's the time for Alchemical Fuga! 
Dodge with <COL ff7575><KCT AVOID></COL> when the
enemy attacks!"
"敵の攻撃を回避しつつ、錬成物質を放て！","Dodge enemy attacks while 
unleashing alchemical compounds!"
"アルケムやクラスターで攻撃し、２体以上の敵へ新たに錬成物質を付着させるのだ！","Attack with Alchemy or Cluster to attach 
alchemical compounds to two or more enemies!"
"敵に付着した錬成物質は放置してると消えるから注意だ","Applied alchemical compounds
dissipate over time. Act fast!"
"<COL ff7575><KCT SKILL_NORMAL1></COL>でエリクシル！","<COL ff7575><KCT SKILL_NORMAL1></COL> is Elixir!"
"付着させた錬成物質を開放し、エリクシルの属性攻撃に変換するのだ！","The alchemical compounds attached to it is 
unleashed and converted into an attack of 
the Elixir's attribute!"
"付着させた錬成物質が多いほど、威力も強くなるぞ！","The more alchemical compounds attached, 
the stronger the attack!"
"よし、では祠の奥へ向かい大型敵と対峙だ！大型敵の<COL ff7575>＜怒り状態＞</COL>に注意しろ！","Alright, head deeper into the chapel to face a Large enemy! Watch for its <COL ff7575>＜Anger state＞</COL>!"
"そして<COL ff7575><KCT TOUCH></COL>でヤツにしがみつけ！","Now use <COL ff7575><KCT TOUCH></COL> to climb onto it!"
"その状態で<COL ff7575><KCT ATTACK1></COL>でコンクラスターだ！","While in that state, <COL ff7575><KCT ATTACK1></COL> becomes Concluster!"
"では大型敵の<COL ff7575>＜怒り状態＞</COL>に注意してヤツを仕留めるんだ！","Now watch the Large enemy's <COL ff7575>＜Anger state＞</COL> and take it down!"
"揺さぶり、疲れさせてチャンスを作るんだぞ！","Shake it, wear it down, and create an opening!"
"試練完了、よくやったな！奥にある＜錬金の証＞を受け取り、神殿のレンテンに報告するがいい","Trial finished, well done! 
Take the <Alchemist's Mark> in the back 
and report to Renton at the temple."
"おめでとう、覚者よ
これにて戦術試練は完了だ！","Congratulations, Arisen.
The tactical trial is now complete!"
"今覚えたアルケミストの戦い方を
振り返りたい時は、《チュートリアルガイド》の
《ジョブの操作と役割》からアルケミストの戦法や
戦術的役割を確認するんだ","To review the Alchemist's combat style
you just learned, check 《Tutorial》→
《Job Roles》for tactics and duties."
"まさか神殿で錬金の技を訓練する日がこようとは
つくづくお前には驚かされてばかりだよ
錬金術が、今度こそ白竜のよき剣となることを
願っている","To think the day would come when
alchemy would be practiced in the temple...
You constantly amaze me. 
May alchemy become the White Dragon's
greatest sword this time."
"覚者とは試練に臆することなく立ち向かい
その使命を全うする者のことだ","An Arisen faces trials without fear and fulfills their duty"
"与えられた試練を全てこなせた者のみ
《魔弓の証》を得ることができる","Only those who complete all trials
may obtain the 《Element Archer's Mark.》"
"各試練のやり方について
わからなければ今までの得た知識を
確認しながら臨むがいい","If unsure about any trial, review the knowledge you've gained so far"
"技や動きの参考のため
一人、共闘の兵をつけておこう
課題をこなす中で戦技を身に刻め！","For reference, I'll assign a Pawn to fight alongside you. Master combat skills during the trial!"
"さあ、《修練の祠》へ行くんだ
案内人は神殿を出て左手を進めば、崖の上さ","Now, go to the Training Chapel.
The guide is on your left as you 
exit the temple, at the top of the cliff."
"よぉ！　よく来たな
今回はアルケミストの基礎試練だ
またしっかりこなして覚えてきてくれよ","Hey! Good to see you.
This time it's the Alchemist's
basic trial. Make sure you
complete and learn it well!"
"言うまでもないかもしれないけど
挑むのは一人だ
ポーンや仲間の手助けはなしな","It may go without saying, but you
must challenge it alone. 
No help from Pawns or companions"
"受ける準備ができたら《修練の祠》に
向かってくれよ
神殿を出て左手の崖沿いに進み
祠内に騎士団員がいるからさ","When ready, head to the
《Training Chapel.》 Exit the
temple and follow the left
cliffside. A knight awaits inside."
"今回の試練、うまくいったか？
アルケミストなんてすごいよなぁ！
訓練案内してる俺も、実は全然知らないんだけど","Did the trial go well?
Alchemists are amazing, right?
I'm guiding your training,
but honestly, I don't know much!"
"また転職したら、いつでも来いよ
実戦前にまずは訓練だぜ","If you switch jobs again, drop by whenever. 
Training comes before actual battle."
"覚者とは試練に臆することなく立ち向かい
その使命を全うする者のことだ","An Arisen faces trials without fear and fulfills their duty"
"与えられた試練を全てこなせた者のみ
《錬金の証》を得ることができる","Only those who finish every
given trial can receive
the 《Alchemist's Mark.》"
"各試練のやり方について
わからなければ今までの得た知識を
確認しながら臨むがいい","If unsure about any trial, review the knowledge you've gained so far"
"技や動きの参考のため
一人、共闘の兵をつけておこう
課題をこなす中で戦技を身に刻め！","For reference, I'll assign a Pawn to fight alongside you. Master combat skills during the trial!"
"与えられた試練を全てこなせた者のみ
《錬金の証》を得ることができる","Only those who finish every
given trial can receive
the 《Alchemist's Mark.》"
"各試練のやり方について
わからなければ、今までに得た知識を
確認しながら臨むがいい","If unsure about any trial, review the knowledge you've gained so far"
"また立ちはだかる魔物が
課題中にすべていなくなったら
再度出直してくるがいい","If all fiends in the trial vanish, return and try again later"
"さあ、《修練の祠》へ行くんだ
案内人は神殿を出て左手を進めば
崖の上の祠にいるよ","Now go to the Training Chapel.
Your guide is up the cliff -
leave the temple and head left."
"《錬金の証》、よくぞ得た！
ジョブについての理解も、さらに深まったようだな
神殿に戻りレンテンに報告するがいい、覚者よ！","You've obtained the Alchemist's Mark! 
Your understanding
of the job has deepened.
Return to the temple and
report to Renton, Arisen!"
