old,new
"いいか――
覚者の初陣には白竜の特別な加護がある","Listen carefully.
The Arisen are blessed by the White Dragon for
their first battle."
"だから、実力以上の戦いができるはずだ
思う存分暴れてくれ","Your strength will be far greater
than normal. Let loose and don't hold
anything back."
砦の守備隊は、ヴァネッサをはじめ精鋭ぞろい,"The fort's troops are Vanessa's
handpicked elite!"
救援要請なんて、もしかして初めてかも？,"To even call for reinforcements...
Have they ever done that?"
"ここまでオークに押し込まれることなど
この３００年、なかったことだ","For 300 years, the Orcs haven't
managed to advance this far... until now."
情勢はこの上なく深刻――さあ、急ぐぞ！,"'Tis more than a dire situation.
Now, advance!"
武器、用意！　構えろ！,"Weapons ready!
Steel yourselves!"
走れ～！,Forward!
"隙あらば掴みかかるんだ
デカイ敵はよじ登って戦え","Find an opportunity to grab them.
Climb onto larger foes and strike!"
体力減ったら回復アイテム！　自己責任だぞ！,"Use a recovery item should you falter!
That's your responsibility!"
ほら、砦へ急いで！,"Quickly, to the fortress!"
立派立派、まだ生きてる！　やるねえ！,"Splendid, splendid! Still
alive! Alriiight!"
あのね――わたしの心配より自分の心配！,"Hey now, your concerns are greater than mine!"
ここはまだ演習のようなもの――さあ、砦へ急げ！,"'Tis just as we practiced!
Now, to the fort!"
"バタバタしてるが、動きは悪くない
自信を持って戦え！","A bit gaudy, but your movements
are good. Fight with confidence!"
さあ、砦へ突入だ！,さあ、砦へ突入だ！
おい、どこへいく！,"Hey, where are you going!"
そっちじゃないぞ！,Not that way!
こっちへ来い！,Come this way!
おい、回復しておけ！,"Ser, mind your condition!"
回復アイテムを使うんだ！,Make use of recovery items!
もっと体力に気を配れ！,Be mindful of your limits!
くそ――回復してくれ,Blast! I need healing!
すまん――自力回復できん,My apologies... I am unable to heal myself.
俺を見殺しにする気か！,You mean to let me die?!
そっちじゃないって！,Not over there!
ちゃんとついてきてよ！,Come along now!
どこいく気！？,Where are you off to!?
ほら、回復しなさい、回復！,"Ah, please aid! Heal me!"
死にたいの？　いやなら回復！,"Do you wish me to die? If not, heal me!"
回復しなさいってば！,Someone heal me already!
わたし、回復してほしいんだけど,I would appreciate some healing.
こっち見て――回復して――,Over here... help...
お願い――見捨てないで――,Please... don't abandon me...
"戦場の咆哮が聞こえるか？　
扉の先は、おそらく敵味方入り交じる混戦状態――","Hear the roar of the battleground?
'Tis a mix of both friend and foe clashing forces."
"さあ、やっちゃって！
今日のあんたには白竜の加護があるんだから！","Alright, charge!
The White Dragon will protect you!"
さあ！　全てのオークどもを切り倒せ！,"Okay! Cut down every one of
these foul Orcs!"
"ぷんぷん臭ってくるね
ああ、腹立つ！　許さないから！","What an intense odor.
Oh, I'm mad now! No mercy!"
次から次へと来るぞ！　体力に気をつけろ,"'Tis one after the other! Heed
your stamina!"
ひとりで全部倒してしまえ！　遠慮は無用だ！,"Fell them all with reckless
abandon!"
いいぞ！　その調子だ！,Good! Keep it up!
ほら、来てるよ！　やっちゃえ！,"There, more of them! Charge!"
もう、鼻が曲がる～！　さっさと終わらせよう！,"Ah, my poor nose...! Let's finish
this quickly!"
いいねえ！　あとはまかせちゃおうかな,Nice! I owe you one!
いい調子だぞ！,We're doing good!
敵は残り少ないぞ！　押せ！,Their numbers dwindle! Finish it!
追い風に乗れ！,Make use of our advantage!
くそっ！　敵、増兵だ！,Blast! Enemy reinforcements!
増援だ！　気を引きしめろ！,Reinforcements! Steel yourself!
まだいたのか！,There are more still!
もう少しだよ！,Just a bit more!
いい感じ！　このまま！,Good! Like that!
優勢優勢！,Strength! Power!
まだいたか！　くう～！,More of them!? Grrr!
残念、敵が増えちゃった！,I'm afraid they've grown in number!
あーあ、敵、増援だ！,Oh no... Enemy reinforcements!
頼りにしてるぞ、新人！,"You're up, newcomer!"
ここまで攻め込まれるとは――不覚！,They were foolish to invade this far!
"オークはまだまだいる！
一匹残らず倒すぞ！","Orcs still remain!
Fell them to the very last!"
"さすが、レオ隊長が見込んだ新人だな！
このまま砦を掃除するぞ！","Leo was right to about you, as ever!
We'll clean the fort in no time!"
敵には<COL ff7575><KCT ATTACK1>／<KCT ATTACK2></COL>で基本攻撃！,"Use <COL ff7575><KCT ATTACK1>/
<KCT ATTACK2></COL> to attack enemies!"
さらに<COL ff7575><PADM><KCT WEAPON_SUB>を押しながら</PADM><KEYM><KCT SKILL_CUSTOM3></COL>か</KEYM>,"さらに<COL ff7575><PADM><KCT
WEAPON_SUB>を押しながら</PADM><KEYM><KCT
SKILL_CUSTOM3></COL>か</KEYM>"
<COL ff7575><PADM><KCT ATTACK1></PADM><KEYM><KCT SKILL_CUSTOM1></KEYM></COL>でカスタムスキルだ！,"Use <COL ff7575><PADM><KCT
ATTACK1></PADM><KEYM><KCT
SKILL_CUSTOM1></KEYM></COL>
to perform custom skills!"
<COL ff7575><PADM><KCT WEAPON_MAIN>を押しながら</PADM><KEYM><KCT SKILL_CUSTOM4></KEYM></COL>でもOKだ！,"<COL ff7575><PADM><KCT
WEAPON_MAIN>を押しながら</PADM><KEYM><KCT
SKILL_CUSTOM4></KEYM></COL>でもOKだ！"
技は画面右下のガイドで確認してくれ！,"Your skills are shown at the bottom
right of your screen!"
オークや大型の敵には近づき、<COL ff7575><KCT TOUCH></COL>でしがみついて攻撃だ！,"To grab your enemies, press <COL ff7575><KCT
TOUCH></COL>,
which can even be used to climb Orcs and
other larger foes!"
走る時は<COL ff7575><PADM>移動方向に<KEYN L_STICK>を倒しながら押し込み<KEYM>初期設定の場合、同じ移動キー２回押し</KEYM></COL>でダッシュだ！,"While running, <COL ff7575><PADM>press down on
the<KEYN L_STICK>while pushing in a
direction<KEYM>with the default setting,
tap the same directional key twice</KEYM></COL>
to sprint!"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
