"Jp","En"
"よぉ！　早速だが
あんたに受けてもらいたい特別な試練があるんだ
シーカーのいろはについてのさ","Hey! Straight to the point.
I have a special trial for you to take.
It's about the basics of being a Seeker."
"ポーンの助けなしで、一人で行くんだ
これは、ジョブについて深く知るためだからな","You'll go alone, without the help of Pawns.
This is to learn more about the Job."
"場所は《修練の祠》だ
神殿の外の左手、崖沿いに進むといい
祠内にいる騎士団員から話を聞いてくれ","The location is the 《Training Chapel》.
Head forward along the cliff outside the
temple. Speak with the Knight's Order
member inside the chapel."
"よっ、どうだった？　試練の成果は
そうか、うまくいったかぁ！
ジョブの奥深さを知るいい経験になっただろう","Oh, how was it? The trial's results.
I see, it went well!
A good experience to grasp
your Job's depth, right?"
"もし別のジョブに転職することがあったら
また挑戦してみてくれ","If you ever move on to another job,
give it another shot."
"<COL ff7575><KCT ATTACK1></COL>の連斬で敵を攻撃するんだ！連続して押せば３連斬だ！","Attack the enemy with Carve using <COL ff7575><KCT ATTACK1></COL>! 
If you press it consecutively, it's a triple slash!"
"<COL ff7575><KCT ATTACK2></COL>の百裂斬りで敵を攻撃するんだ！","<COL ff7575><KCT ATTACK2></COL> attacks the enemy with Scarlet Kisses!"
"<COL ff7575><KCT ROLLING></COL>で転身だ。敵の攻撃を回避しろ！","Dodge enemy attacks with <COL ff7575><KCT ROLLING></COL>!"
"<COL ff7575><PADM><KCT WEAPON_SUB></COL>でロープを構え","Ready your rope with <COL ff7575><PADM><KCT WEAPON_SUB></COL>."
"その状態で<COL ff7575><KCT THROW_ROPE></COL>でロープ投げだ。敵との距離を縮めろ！","In that state, throw the rope with <COL ff7575><KCT THROW_ROPE></COL>. 
Close the gap!"
"よし、では祠の奥へ向かい大型敵と対峙だ！大型敵の<COL ff7575>＜怒り状態＞</COL>に注意しろ！","Alright! Head deeper into
the shrine and face the
large enemy! Beware its
<COL ff7575>enraged state</COL>!"
"そして<COL ff7575><KCT TOUCH></COL>でヤツにしがみつけ！","Now use <COL ff7575><KCT TOUCH></COL> to climb onto it!"
"その状態で<COL ff7575><KCT ATTACK1></COL>で乱斬りだ！","While clinging, use <COL ff7575><KCT ATTACK1></COL>
to perform Scarlet Slashes!"
"では大型敵の<COL ff7575>＜怒り状態＞</COL>に注意してヤツを仕留めるんだ！","Be wary of the large enemy's <COL ff7575>enraged state</COL>
and take it out!"
"揺さぶり、疲れさせてチャンスを作るんだぞ！","Shake it, wear it down, and create an opening!"
"試練完了、よくやったな！奥にある＜旋風の証＞を受け取り、神殿のレンテンに報告するがいい","Trial complete, well done! 
Take the <Seekers's Mark> in the back 
and report to Renton at the temple."
"おめでとう、覚者よ
これにて戦術試練は完了だ！","Congratulations, Arisen.
The tactical trial is now complete!"
"今覚えたシーカーの戦い方を
振り返りたい時は、《チュートリアルガイド》の
《ジョブの操作と役割》からシーカーの戦法や
戦術的役割を確認するんだ","To review the Seeker's combat style
you just learned, check 《Tutorial》→
《Job Roles》for tactics and duties."
"聞くところによるとシーカーの達人は
ほとんど地に足をつけず、飛ぶように戦えるらしい
我々では無理だが、お前にならできるかもな","I hear the Seeker masters can fight almost
without touching the ground, as if flying.
It's impossible for me, but you might manage."
"覚者とは試練に臆することなく立ち向かい
その使命を全うする者のことだ","An Arisen faces a trial without fear
and fulfills their duty no matter what."
"与えられた試練を全てこなせた者のみ
《旋風の証》を得ることができる","Only those who complete all trials
may obtain the 《Seekers's Mark.》"
"各試練のやり方について
わからなければ、今までに得た知識を
確認しながら臨むがいい","If you're unsure about any trial.
Review the information for the trial
you've gained so far before proceeding."
"技や動きの参考のため
一人、共闘の兵をつけておこう
課題をこなす中で戦技を身に刻め！","For reference, I'll assign a Pawn 
to fight alongside you. Etch these combat skills
into your mind during the trial!"
"与えられた試練を全てこなせた者のみ
《旋風の証》を得ることができる","Only those who complete all trials
may obtain the 《Seekers's Mark.》"
"各試練のやり方について
わからなければ今までの得た知識を
確認しながら臨むがいい","If you're unsure about any trial.
Review the information for the trial
you've gained so far before proceeding."
"また立ちはだかる魔物が
課題中にすべていなくなったら
再度出直してくるがいい","If all of the enemies in the trial vanish,
leave then return later to try again."
"さあ、準備が整ったら
《修練の祠》へ行ってくれよ
神殿の外を左手に進んで、
祠内にいる案内人と話すんだ","Now, when you're ready, please go to
the 'Training Chapel'. Go to the left outside the
temple and speak with the
guide inside the chapel."
"《旋風の証》、よくぞ得た！
今後は実戦にてその戦技を鍛錬するのだ
神殿に戻りレンテンに報告するがいい、覚者よ！","A 'Seekers's Mark'...well earned! 
Hone these skills in real battle.
Return to the temple and report to Renton, Arisen."
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
