"MsgJp","MsgEn"
"試練完了、よくやったな！奥にある＜魔盾の証＞を受け取り、神殿のレンテンに報告するがいい","Trial complete, well done! 
Take the <Shield Sage's Mark> in the back 
and report to Renton at the temple."
"おめでとう、覚者よ
これにて戦術試練は完了だ！","Congratulations, Arisen.
The tactical trial is now complete!"
"今覚えたシールドセージの戦い方を
振り返りたい時は、《チュートリアルガイド》の
《ジョブの操作と役割》からシールドセージの戦法や
戦術的役割を確認するんだ","To review the Shield Sage's combat style
you just learned, check 《Tutorial》→
《Job Roles》for tactics and duties."
"お前なら、より巨大な魔物へ挑むための
試練も達成できるだろう
さらなる挑戦を待っているぞ","You might even be able to conquer trials
for larger beasts. Greater challenges await!"
"俺はレンテン、あらためてよろしくな！","I'm Renton. Good to meet you again!"
"早速やってみないか？
そう――特別試練
シールドセージの初歩戦術についてさ","Why not give it a try right away?
That's right—a special trial
about the basic tactics of the Shield Sage."
"覚悟しておけよぉ、これは一人で挑むんだ
ジョブの特性を理解するためにな","Prepare yourself, this is a solo challenge. 
It's to help you understand 
the job's characteristics."
"心構えができたら《修練の祠》へ向かうんだ
神殿を出て左手の崖沿いに進めばいいよ
案内人の騎士団員がいるから、話を聞いてくれ","Once you're ready, head to the <raining Chapel. 
Leave the temple and follow the cliff on the left. 
A guide from the Knight's Order will be there, 
so talk to them."
"来たか、覚者
試練を行う《修練の祠》は、この崖の上だ
ここからよじ登って行ける","You've come, Ser Arisen. 
The 'Training Chapel' for the trial
is atop this cliff. Climb up from here."
"しっかりやれよ
お前たち覚者が頼りないと、こっちも困るからな","Do your best. 
We rely on you Arisen...don't let us down."
"試練の成果は？
そうか、うまくいったか
ジョブの奥深さを知るいい経験になっただろう","The trial's outcome?
Success, I see. You've
gained true insight into
your job's essence."
"もし別のジョブに転職することがあったら
また挑戦してみてくれ","If you ever move on to another job,
give it another shot."
"どうした？
《修練の祠》は崖の上だ、はやく登って行け","What's wrong? 
The 'Training Chapel' is atop the cliff.
Hurry and get up there."
"覚者とは試練に臆することなく立ち向かい
その使命を全うする者のことだ","An Arisen faces a trial without fear
and fulfills their duty no matter what."
"与えられた試練を全てこなせた者のみ
《魔盾の証》を得ることができる","Only those who complete all trials
may obtain the 《Shield Sage's Mark.》"
"各試練のやり方について
わからなければ今までの得た知識を
確認しながら臨むがいい","If you're unsure about any trial.
Review the information for the trial
you've gained so far before proceeding."
"技や動きの参考のため
一人、共闘の兵をつけておこう
課題をこなす中で戦技を身に刻め！","For reference, I'll assign a Pawn 
to fight alongside you. Etch these combat skills
into your mind during the trial!"
"与えられた試練を全てこなせた者のみ
《魔盾の証》を得ることができる","Only those who complete all trials
may obtain the 《Shield Sage's Mark.》"
"各試練のやり方について
わからなければ、今までに得た知識を
確認しながら臨むがいい","If you're unsure about any trial.
Review the information for the trial
you've gained so far before proceeding."
"また立ちはだかる魔物が
課題中にすべていなくなったら
再度出直してくるがいい","If all of the enemies in the trial vanish,
leave then return later to try again."
"さあ、準備が整ったら
《修練の祠》へ行ってくれ
神殿の外を左手に進んで、案内人と話すんだ","Now, when you're ready, go to
the 'Training Chapel'. Go to the left outside the
temple and talk to the guide."
"《魔盾の証》、よくぞ得た！
今後は実戦にてその戦技を鍛錬するのだ
神殿に戻りレンテンに報告するがいい、覚者よ！","A 'Shield Sage's Mark'...well earned! 
Hone these skills in real battle.
Return to the temple and report to Renton, Arisen!"
"<COL ff7575><KCT ATTACK1></COL>のシールドブロウで敵を攻撃するんだ！","<COL ff7575><KCT ATTACK1></COL> Attacks enemies with Shield Blow!"
"自分の属性を炎から氷か雷に変えてみろ！","Try changing your attribute to fire, ice or lightning!"
"<COL ff7575><KCT ATTACK2>後、<PADM><KEYN L_STICK></PADM><KEYM>マウス</KEYM>で属性選択し、<KCT ATTACK2></COL>で決定だ","After <COL ff7575><KCT ATTACK2>, <PADM><KEYN L_STICK></PADM><KEYM>,</KEYM> to select an attribute, then confirm with <KCT ATTACK2></COL>"
"<COL ff7575><KCT WEAPON_MAIN></COL>で、アトラクト！敵の注意を引け！","Use <COL ff7575><KCT WEAPON_MAIN></COL> for Attract!
To draw the enemy's attention!"
"武器を構えていればオートガードだ！敵の攻撃を受ければ、体力ゲージの下にあるフォースゲージが溜まるぞ","If your weapon is drawn, auto-guard is active! Taking enemy damage fills the Force Gauge below your health bar."
"<COL ff7575><KCT WEAPON_SUB>長押し</COL>でシールドロックだ！防御姿勢で受ければフォースゲージがより溜まるぞ","Hold <COL ff7575><KCT WEAPON_SUB></COL> for Shield Lock! Blocking in this stance fills the Force Gauge faster."
"フォースゲージが溜まったら、<COL ff7575><KCT SKILL_NORMAL2></COL>でフォースバーストだ。属性攻撃で敵を撃て！","Once the Force Gauge is full.
Use <COL ff7575><KCT SKILL_NORMAL2></COL> for Force Burst
to strike enemies with you elemental attribute!"
"再度フォースゲージを溜めて、<COL ff7575><KCT SKILL_NORMAL1></COL>で自分や仲間にフォースエンチャントだ！","Fill the Force Gauge again and use <COL ff7575><KCT SKILL_NORMAL1></COL> 
for Force Enchant on yourself and allies!"
"よし、最後の仕上げだ。祠の奥へ向かい、そこにいる敵をシールドブロウやフォースバーストで倒すんだ！ガードも忘れるなよ","Alright, the final step. Head to the back of the chapel and defeat the enemies there with Shield Blow or Force Burst! Don't forget to guard!"
