"old","new"
"やあ、元気にしていたかな？
今年もご機嫌なハッピーハロウィンがやってきたぞ
皆で仮装をして、子供たちにお菓子を配って――
大いに楽しもうじゃないか","Hey, hello, how's it going?
Happy Halloween! It's time again for everyone to 
dress up in costumes, 
hand out candy to the kids――
and have a lot of fun!"
"と、思ったんだが
配るべき範囲に誤算があって――
お菓子が！　これまた全く足りん！
このままでは子供たち全員にお菓子を配れないッ！","But I miscalculated the extent to which they 
would be handed out--
Sweets!　We're running out of candy! 
At this rate, we won't be able to distribute 
candy to all the children!"
"頼む、子供たちの笑顔のため
お菓子を見つけてきてくれ！
子供たちを悲しませるわけにはいかない！
君もそう思うだろう！？","Please, for the children's smiles, 
find some sweets for them! 
We can't let the children be sad! 
You feel the same, right!?"
"――実は、このことが発覚してから
シェリーちゃんがご機嫌ナナメで
俺と喋る前、必ず溜息を吐いてくるのだ
これはとってもマズい兆候だッ！","――In truth, since this came to light, 
Ms. Shelly's been quite upset. 
She always sighs before talking to me. 
This is a terrible omen!"
"ん、どこで調達するのか、だと？
我々もレベル1のゴブリンと死闘を繰り広げ
なんとか倒した末に、魔物たちが持っている
お菓子を奪取できたのだ","Hmm, where did we get it from, you ask? 
We fought a fierce battle with a Level 1 Goblin, 
and after finally defeating it, 
we managed to seize the 
sweets from the monster."
"しかしほら、我々は戦闘向きではないから
魔物の寝込みをこっそり襲うだけでは
とてもたくさんは回収しきれないのだよ
君ならアレだろ、一瞬でバシー！　ガツー！って","But you see, we're not made for battle, 
so sneaking up on sleeping monsters 
only lets us gather a little. 
But you, you'd be all, bam! Slash! In no time!"
"君なら強いから、魔物をバシー！　っと一網打尽
そしてお菓子をガッサー！　と採ってこられるだろう
うんうん、君にお願いすれば間違いないッ！","You're strong, 
so you'd wipe out the monsters in one go, 
then gather up all the sweets in no time. 
Yes, yes, asking you is the right choice!"
"まずは一つだけでもいいからお菓子を奪っ――
いや、用意して、そして俺に見せてくれ
期待しているぞ！","First, even just one piece of candy will do. 
Steal it― 
no, I mean, find it, then show it to me. 
I'm counting on you!"
"おお、もう見付けてきたのか
いやはや流石だな
よし、ではこれを集めよう
すべては子供たちとシェリーちゃんの笑顔のため！","Oh, you've found it already? 
Well done, as expected of you! 
Alright, let's gather the rest. 
It's all for Ms. Shelly and the kids' smiles!"
"あ、もちろん、君にだけ集めさせようだなんて
都合のいいことは思ってないぞ！
ちゃんと我々も集めに行くからな
二手に分かれたほうが早く集まるだろう","Oh, of course, I don’t expect you to gather 
everything by yourself! 
We’ll also be collecting. 
It should be faster if we split into two groups."
"だが、レベル１ゴブリンを倒すのに
シェリーちゃんと二人で半日がかりだ
我々のことは期待しないでくれッ！！","But it took Ms. Shelly and me half a day 
to take down a level 1 goblin. 
Don’t expect too much from us!!"
"そうそう、我々と同じコスチュームで
ハロウィン気分を盛り上げれば
魔物が落とすお菓子をたくさん見つけられるかもな！
お祭りムードは大切だぞ！","Yes, yes, if you match our costumes and 
get into the Halloween spirit, 
you might find more treats dropped by monsters! 
The festival atmosphere is important!"
"我々二人も引き続きお菓子を集めるから
君もこのお菓子をできるだけ
たくさん持ってきてくれ！
よろしく頼んだぞッ","We’ll keep gathering treats too, 
so make sure to bring back 
as many of these candies as you can! 
I’m relying on you!"
"そうそう、我々と同じコスチュームで
ハロウィン気分を盛り上げれば
魔物が落とすお菓子をたくさん見つけられるかもな！
「お祭りは気から」だ！","That's right! If we all wear the same 
costumes and embrace the Halloween spirit, 
we might find plenty of sweets dropped by 
the monsters!
""Festivals are all about spirit!"""
"おお！　こんなにたくさん！！
我々も君の半分――いや、三分の一？
くらいは集められたぞ！","Oh! So many! 
We have gathered at least half— 
no, maybe a third? 
Just about that much!"
"さて、これだけ集めてくれたのはありがたいが
まだまだ足りないんだな～、実は！
細々と魔物から奪うんじゃなくて
一気にガサッと集められる場所はないものか――","Well, I’m grateful for how much you’ve gathered, 
but it’s still not enough! Instead of gathering bit 
by bit from the monsters, isn’t there a place 
to collect everything at once?"
"お菓子をたくさん隠し持っている
魔物がいる場所があればなぁ――
誰か、そういう情報を知っていそうな人に
心当たりはないかね？","If only there were monsters 
that hoard lots of sweets! 
Does anyone know someone 
who might have information 
about such a place?"
