"Jp","En"
"【ヒント：カスタムスキルの付け方】","【Hint: How to assign Custom Skills】"
"①アーチボルトに話し、会話メニューから
　《転職/戦技の付替え》を選択","① Talk to Archibald and select
《Vocation / Arts Support》from the chat menu"
"②メニューで《スキル》を選択","②Select 《Skills》 from the menu."
"③《カスタムスキル》からつけたいスキルを選び
　右のボタン割り当てにセット","③Select a skill from 《Custom Skill》
and assign it to the key combination on the right."
"【ヒント：クエスト報酬アイテムの受け取り】","【Hint: How to receive Quest Reward items】"
"①クエストクリア後、保管ボックスを調べる","①After clearing the quest, check your Storage Box."
"②メニューで《報酬受け取り》を選択","②Select 《Rewards Received》 from the menu."
"③クエスト名を選び、その報酬を受け取る
※受け取った報酬は保管ボックスの
　アイテム欄に送られます","③Choose the quest name and receive its reward.
※Received rewards will be sent to the
item section of the Storage Box."
"【ヒント：クエスト進行】","【Hint: Quest Progression】"
"ボードクエストをクリアしました
白竜神殿に戻りファビオに報告しましょう","You have completed the Board Quest.
Let's return to the White Dragon Temple
and report the results to Fabio."
"【ヒント：覚者の成長について】","【Hint: Growth of the Arisen】"
"神殿内の＜宿場区＞にいるアーチボルトとレンテンは
戦闘で強くなるために重要な人物です","To help you become stronger in battle,
Archibald and Renton are important allies to visit
in the ＜Relay Station District＞ of the Temple."
"自分にあったジョブに転職も可能なので
さっそく会いにいきましょう","You can switch to a Vocation that fits you better,
so let's go see them right away."
"宿場区の宿屋へ行って
アーチボルトと話すんだ","Head to the Inn in the Relay Station District
and talk to Archibald."
"俺はここで待っているから
終わったら、声をかけてくれ","I'll be right here,
so give me a shout once you're done."
"俺は白衛騎士団のアーチボルトだ
戦技――スキルの習得や付替え
転職の補佐をしている","I am Archibald of the White Knights.
Skill acquisition, skill changes,
and job transitions, that's all me."
"――強くなるためにはどうすればいいか？
それはいたってシンプルだ！","How does one grow in strength?
It's very simple!"
"敵と戦い己を鍛え、クエストに取り組め！
その経験から得た《ジョブポイント》を使い
新たな戦技――つまり、スキルやアビリティを
獲得できるというわけだ","Fight foes, train yourself, and take on Quests!
The experience you gain earns you《Job Points》
to unlock new combat techniques;
namely Skills, Augments, the works.
That's how you get 'em."
"うむ？　スキル、アビリティに関しても
簡単に説明をしておいたほうが良さそうだな","Hm, caught your interest?
I'll give you a quick rundown
of Skills and Augments."
"スキルとは、すなわちジョブ固有の技！
特にカスタムスキルという様々な技を
習得することで、お前の身ごなしや
戦いの幅は大きく広がるだろう！","Skills define each Vocation's unique edge!
By learning Custom Skills in particular,
you'll have more movement and combat options!"
"次に、アビリティとは能力を引き出す心得――
職により獲得できるアビリティは異なるが
どの職であろうと活かすことができるぞ","Next up, Augments. Unlock your true potential.
Augments differ depending on the Vocation,
though you can use any of them
regardless of your current Vocation."
"まぁ、まずは何事もやってみることだ
実際にカスタムスキルをセットしてゆけ","Well, go ahead.
Set those Custom Skills up yourself."
"俺に話しかけ、《転職／戦技の付替え》から
《スキル》を選び試してみるがいい","Talk to me, pick 《Vocation / Arts Support》
then 《Skills》 to give it a try."
"さぁ、まずは何事もやってみることだ
実際にカスタムスキルをセットしてゆけ","Now, go ahead.
Set those Custom Skills up yourself."
"俺に話しかけ、《転職／戦技の付替え》から
《スキル》を選び試してみるがいい","Talk to me, pick 《Vocation / Arts Support》
then 《Skills》 to give it a try."
"よし、それでいい！
カスタムスキルを身に付けることが
できたようだな","Good, that's it!
You've got yourself a Custom Skill now."
"そうだな、後は――
今のジョブが合わないと感じたら
転職してみることを勧めよう
きっとお前にあったジョブが見つかるはずだ","Now, one more thing.
If the Vocation you've got now doesn't feel right,
I recommend trying a different one.
You'll find one that fits you, no doubt about it."
"――ではな
ともに精進しよう、新たな覚者よ
白竜様のために！","Off you go, Newly Arisen.
We'll hone our strength together.
For the White Dragon!"
"どうだ、鍛えているか？
戦技や転職についてであれば
いつでも相談にのるぞ
遠慮は無用だ","How's it going? Been training?
If you've got any questions about changing
Skills or Vocations, I'll be right here.
There's no need to be shy."
"よぉ！　覚者隊の新入りだよな？
俺は白衛騎士団のレンテンだ、よろしくな
――へへ、実は俺もまだ見習いでさ","Yo! You're the new to the Arisen Corps, right?
I'm Renton of the White Knights, nice to meet ya.
Hehe, I'm still a trainee myself, y'know."
"各ジョブに必要な役割と基本的な動き
スキルの使い方について教習してるんだ
ほら、教えるのも勉強の内って言うだろ？","I'll be showing you different combatant roles,
basic movements, and how to master your skills.
Hey, they say teaching is learning too, right?"
"ジョブの基礎訓練をしたければ
いつでも声を掛けてくれよ！
《修練の祠》へ案内するからさ","Whenever you need a refresher
on Vocation basics, just say the word!
I'll guide you to the 《Training Chapel》."
