"MsgJp","MsgEn"
"<COL ff7575><KCT ATTACK1></COL>の破斬で敵を攻撃するんだ！","<COL ff7575><KCT ATTACK1></COL> attacks the enemy with Hack!"
"ジャンプ中に<COL ff7575><KCT ATTACK1></COL>で空破斬だ。敵を頭上から攻撃するんだ！","Press <COL ff7575><KCT ATTACK1></COL> mid-jump for Aerial Hack. 
Strike enemies from above!"
"敵をダウンさせやすいので追撃に効果的だぞ！","It easily downs enemies, 
making it great for follow-ups!"
"<COL ff7575><KCT ATTACK2></COL>で魔人斬りだ！渾身の一撃を叩きこめ！","Use <COL ff7575><KCT ATTACK2></COL> for Arc of Might! 
Deliver a mighty blow!"
"空破斬で敵をダウンさせた状態で行うと当てやすいぞ！","It's easier to hit when you do it while 
the enemy is downed from an Aerial Hack!"
"今度は、魔人斬りをジャストタイミングで叩き込め！ゲージが満ち光る瞬間が、最も破壊力が高まるその時だ！","Now, time Savage Lash perfectly! 
The gauge glows brightest at peak power!"
"<COL ff7575><KCT AVOID></COL>で耐魔の身構えだ！","Press <COL ff7575><KCT AVOID></COL> for Brace!"
"敵からのダメージを最小限にしつつ、効果的にリベンジゲージを溜めれるぞ！","Keep enemy damage to a minimum while 
efficiently building up the Revenge gauge!"
"リベンジゲージは左上の体力ゲージ下にあるから蓄積量を確認しろ！","The Revenge Gauge is in the upper left corner, 
below the health bar, 
so check the amount you've accumulated!"
"リベンジゲージを溜めた後、魔人斬りをもう一度敵に叩き込め！ゲージを消費するが威力が格段に上がるぞ！","After filling the Revenge gauge, 
unleash Savage Lash again! 
It consumes gauge, but boosts power!"
"よし、では祠の奥へ向かい大型敵と対峙だ！大型敵の<COL ff7575>＜怒り状態＞</COL>に注意しろ！","Alright, head deeper into the chapel to face a Large enemy! Watch for its <COL ff7575>＜Anger state＞</COL>!"
"そして<COL ff7575><KCT TOUCH></COL>でヤツにしがみつけ！","Now use <COL ff7575><KCT TOUCH></COL> to climb onto it!"
"その状態で<COL ff7575><KCT ATTACK1></COL>で魔倒斬りだ！","While clinging, use <COL ff7575><KCT ATTACK1></COL>
to perform an Inverse Slash!"
"では大型敵の<COL ff7575>＜怒り状態＞</COL>に注意してヤツを仕留めるんだ！","Now watch the Large enemy's <COL ff7575>＜Anger state＞</COL> and take it down!"
"揺さぶり、疲れさせてチャンスを作るんだぞ！","Shake it, wear it down, and create an opening!"
"試練完了、よくやったな！奥にある＜剛剣の証＞を受け取り、神殿のレンテンに報告するがいい","Trial complete, well done! 
Take the <Warrior's Mark> in the back 
and report to Renton at the temple"
"おめでとう、覚者よ
これにて戦術試練は完了だ！","Congratulations, Arisen.
The tactical trial is now complete!"
"今覚えたウォリアーの戦い方を
振り返りたい時は、《チュートリアルガイド》の
《ジョブの操作と役割》からウォリアーの戦法や
戦術的役割を確認するんだ","To review the Warrior's combat style
you just learned, check 《Tutorial》→
《Job Roles》for tactics and duties."
"ウォリアーの技は己を削り、敵を砕くものだという
くれぐれも無理はしすぎるなよ","Warrior skills grind down both
yourself and enemies.
Don't overdo it, understand?"
"よぉよぉ、また来たな！！","Hey hey, you're back!!"
"ウォリアーとはなにか――
この挑戦はその答えを導くものかも知れない！
なんてな！","The warrior's essence -
this trial might uncover it!
...Maybe!"
"試練は決まりとして
今回も一人で挑んでもらうことになる","As a rule, trials must be faced alone.
This time will be no exception."
"準備ができたら神殿を出て、左手の崖を伝って行け
場所はまた《修練の祠》さ
まず祠内の案内人、騎士団員と話すんだぞ","Once prepared, exit the temple
and take the left cliff path.
It's the Training Chapel once again.
Begin by talking to the
knight within."
"今回の試練、うまくいったんだって？
やっぱりさすがだなぁ！
ウォリアーか、俺もいつかはやってみたいな","Trial went well? You're
as skilled as ever! Makes
me wanna try the warrior life!"
"また転職したら、いつでも来いよ
っていうかそのうち俺にも、あんた流
戦いのコツとか教えてくれよな","If you change jobs again, come any time.
Actually, teach me your fighting tips
one of these days, will you?"
"覚者とは試練に臆することなく立ち向かい
その使命を全うする者のことだ","An Arisen faces trials without fear and fulfills their duty"
"与えられた試練を全てこなせた者のみ
《剛剣の証》を得ることができる","Only those who finish every
given trial can receive
the 《Warrior's Mark.》"
"各試練のやり方について
わからなければ、今までに得た知識を
確認しながら臨むがいい","If unsure about any trial, review the knowledge you've gained so far"
"技や動きの参考のため
一人、共闘の兵をつけておこう
課題をこなす中で戦技を身に刻め！","For reference, I'll assign a Pawn to fight alongside you. Master combat skills during the trial!"
"与えられた試練を全てこなせた者のみ
《剛剣の証》を得ることができる","Only those who finish every
given trial can receive
the 《Warrior's Mark.》"
"各試練のやり方について
わからなければ今までの得た知識を
確認しながら臨むがいい","If unsure about any trial, review the knowledge you've gained so far"
"また立ちはだかる魔物が
課題中にすべていなくなったら
再度出直してくるがいい","If all fiends in the trial vanish, return and try again later"
"さあ、《修練の祠》へ行くんだ
案内人は神殿を出て左手を進めば、崖の上さ","Now, go to the Training Chapel.
The guide is on your left as you 
exit the temple, at the top of the cliff."
"《剛剣の証》、よくぞ得た！
ジョブについての理解も、さらに深まったようだな
神殿に戻りレンテンに報告するがいい、覚者よ！","You've obtained the Warrior's Mark! 
Your understanding of the job has deepened.
Return to the temple and
report to Renton, Arisen!"
