"MsgJp","MsgEn"
"よぉ！　珍しい戦術試練を始めたんだ
ハイセプターの基礎戦術についてさ","Yo! I've started a rare tactical trial.
It's about the basics for High Scepter."
"まだあまり知られてないジョブだからこそ
訓練し甲斐もあるだろ？
もちろん、今回も一人で挑戦しなきゃならない
ポーンや仲間の手助けは無しな","Being a lesser-known job
makes training worthwhile,
right? Of course, you'll
face this trial alone again.
No help from Pawns or allies."
"《修練の祠》の場所はわかるよな？
神殿を出て左手、崖沿いにある
その中にいる騎士団員が案内人だ","You know where the 《Training Chapel》 is, right?
Leave the temple and head left, along the cliff.
The Knight's Order member inside is your guide."
"さあ、《修練の祠》へ行くんだ
案内人は神殿を出て左手を進めば
崖の上の祠にいるよ","Now go to the Training Chapel.
Your guide is up the cliff -
leave the temple and head left."
"与えられた試練を全てこなせた者のみ
《魔剣の証》を得ることができる","Only those who complete all trials
may obtain the 《High Scepter's Mark.》"
"各試練のやり方について
わからなければ、今までに得た知識を
確認しながら臨むがいい","If you're unsure about any trial.
Review the information for the trial
you've gained so far before proceeding."
"技や動きの参考のため
一人、共闘の者をつけておこう
――身元は不明だが、腕と人柄が
確かであることは保証する","For reference in techniques and movement,
I'll assign one companion to fight alongside you.
Their identity is unknown, but I guarantee
both their skill and character are proven."
"覚者とは試練に臆することなく立ち向かい
その使命を全うする者のことだ","An Arisen faces a trial without fear
and fulfills their duty no matter what."
"与えられた試練を全てこなせた者のみ
《魔剣の証》を得ることができる","Only those who complete all trials
may obtain the 《High Scepter's Mark.》"
"各試練のやり方について
わからなければ今までの得た知識を
確認しながら臨むがいい","If you're unsure about any trial.
Review the information for the trial
you've gained so far before proceeding."
"それから、立ちはだかる魔物が
課題中にすべていなくなったら
再度出直してくるがいい","If all of the enemies in the trial vanish,
leave then return to try again."
"《魔剣の証》、よくぞ得た！
ジョブについての理解も、さらに深まったようだな
神殿に戻りレンテンに報告するがいい、覚者よ！","You've obtained the High Scepter's Mark! 
Your understanding
of the job has deepened.
Return to the temple and
report to Renton, Arisen!"
"今回の試練、うまくいったみたいでよかったよな！
しかし、違う国のジョブにまで手を出すなんて
本当にすごいよなぁ！
ハイセプターって響きも何かかっこいいしな！","Looks like this trial went well, that's great!
However, reaching out to jobs in other countries
is really something else! That High Scepter name
has a cool ring to it too, ha!"
"また転職したら、いつでも来いよ
なんだかんだで基本は大事だぜ！","Come back anytime you change jobs.
Fundamentals matter more than you'd think!"
"基本的な立ち回りは理解できたでしょう
戦術試練とやらはこれで終了です
奥にある＜魔剣の証＞を受け取り
神殿へ戻ってください","You've grasped the basic maneuvers.
The tactics trial ends here.
Take the 'High Scepter's Mark' inside
and return to the temple."
"またお会いしましたね","Nice to see you again."
"さて、まずは基本の四連斬、<COL ff7575><KCT ATTACK1></COL>で敵を斬り付けます","First use <COL ff7575><KCT ATTACK1></COL>
to slash the enemy with a four-hit combo."
"次は敵に魔印を施してみましょう","Next try marking the enemy with a sigil."
"<COL ff7575><KCT WEAPON_SUB>を押しながら<KCT MARK_SHOT></COL>でウィル・マーカー","Hold <COL ff7575><KCT WEAPON_SUB></COL> and press <COL ff7575><KCT MARK_SHOT></COL>
to cast Will Marker."
"<COL ff7575><KCT ATTACK2></COL>でルイン・ショット！　魔弾、つまり敵に向かう魔力の弾丸です――連打も可能ですよ","Use <COL ff7575><KCT ATTACK2></COL> for Ruin Shot!
A magic bullet that homes in on the enemy―
you can rapid-fire it too!"
"敵の攻撃を受けそうになったら<COL ff7575><KCT ROLLING></COL>で避翻斬です！　攻撃を避けながら、魔剣で攻撃できます","When an enemy attack is about to hit, 
use <COL ff7575><KCT ROLLING></COL> for a Dodge Counter Slash! 
You can evade the attack and counter with the sword."
"敵に密着した状態から<COL ff7575><KCT SKILL_NORMAL1></COL>でバック・リープ！　高速で後方に移動します","When the enemy gets too close, 
press <COL ff7575><KCT SKILL_NORMAL1></COL> for Back Leap,
a quick backward dash!"
"ただし、魔力を１ゲージ消費します――魔力の状態は常に把握しておくように","But it consumes 1 gauge of magick―
always keep an eye on your magick reserves."
"魔力が１スタック以上溜まってきたら<COL ff7575><KCT OVER_BRADE></COL>でルイン・ブレード！","With at at least 1 stack of magic,
use <COL ff7575><KCT OVER_BRADE></COL> for Ruin Blade!"
"バック・リープを発動後に再度<COL ff7575><KCT SKILL_NORMAL1></COL>を押すことで、今度は敵に高速で接近することもできます","After Back Leap, press 
<COL ff7575><KCT SKILL_NORMAL1></COL> again to dash toward the enemy at high speed."
"それでは、最後の仕上げとして大型敵を倒してきなさい","Now, go finish up by taking out the large enemy."
"今教えた通り、敵に魔印を刻み、魔力を吸い取り、その魔力を使って戦うのです","As I just taught you, set the magick sigil into the enemy, 
siphon their magick, and use that magick to fight."
"敵に近付くのを恐れてはいけません――吹き飛ばされたら<COL ff7575><KCT JUMP></COL>で受け身を取るといいでしょう","Don't fear closing in― if knocked back,
press <COL ff7575><KCT JUMP></COL> to recover."
"基本的な立ち回りは理解できたでしょう
戦術試練とやらはこれで終了です
奥にある＜魔剣の証＞を受け取り
神殿へ戻ってください","You've grasped the basic maneuvers.
The tactics trial ends here.
Take the 'High Scepter's Mark' inside
and return to the temple."
"魔印を施した敵を攻撃することで、魔印が成長し、敵から得られる魔力が多くなっていきます","Attacking enemies marked with magick seals causes 
the seals to grow, increasing the amount of 
magick obtained from enemies."
"奥の大型敵でそれを試してみてください","Try that with the big enemy in the back."
"今までに教えたことを試し、魔力を一定値まで溜めてもらいましょうか","Test what you've learned so far
and accumulate enough magick."
