"MsgJp","MsgEn"
"よぉ！　珍しい戦術試練を始めたよ
エレメントアーチャーの基礎戦術についてさ","Yo! I've started exclusive trial
on basic tactics for Element Archers."
"まだあまり知られてないジョブだからこそ
訓練し甲斐もあるだろ？
もちろん今回も一人で挑戦しなきゃならない","Being a lesser-known job
makes training worthwhile,
right? Of course, you'll
face this trial alone again."
"《修練の祠》の場所はわかるよな？
神殿を出て左手、崖沿いさ
その中にいる案内人の騎士団員と話すんだ","You know where the 
《Training Chapel》 is, right?
Leave the temple and head left, 
along the cliff.
Speak with the Knight's Order member inside."
"今回の試練、うまくいったんだってな！
いやぁほんと色々なジョブやってるみたいで
尊敬するよホント","Heard your trial went great!
You're sampling every job out there.
Gotta admire that."
"また転職したら、いつでも来いよな
なんだかんだで基本は大事だぜ！","Come back anytime you change jobs.
Fundamentals matter more than you'd think!"
"<COL ff7575><PADM><KCT WEAPON_SUB><KEYM><KCT HOLD_BOW></KEYM></COL>で闘波の構えよ！","Use <COL ff7575><PADM><KCT WEAPON_SUB><KEYM><KCT HOLD_BOW></KEYM></COL> for Seeker Stance!"
"構えたまま<COL ff7575><PADM>右スティック<KEYM>マウス移動</KEYM></COL>で闘波の魔眼！複数の敵を狙って！","Hold and use <COL ff7575><PADM>right stick<KEYM>mouse</KEYM></COL>
for Magick Eye: Seeker. 
Target multiple foes!"
"闘波の魔眼で敵を捉えたら、<COL ff7575><KCT SHOOT></COL>で闘波の矢を撃って！","Once you've locked the enemy with 
Magick Eye: Seeker, fire a Seeker Arrow with 
<COL ff7575><KCT SHOOT></COL>!"
"闘波の魔眼で最適距離から敵を捉えて。集中力の高まりが早くなる距離があるはずよ","Use Magick Eye: Seeker to lock
onto enemies from optimal range.
There's a sweet spot where
Concentration builds fastest."
"その距離から敵を３秒以上補足し、攻撃するのよ！","From that distance, track the enemy for three
seconds or more and attack!"
"闘波の魔眼で敵を捉え続け、集中力を最大まで高めるの。矢の威力が最大まで高まるわ！","Keep the enemy in sight with Magick Eye: Seeker 
and maximize your Concentration. 
Your arrows power will reach its peak!"
"<COL ff7575><PADM><KCT WEAPON_MAIN><KEYM>初期設定の場合、<KCT HOLD_BOW>で構え、マウスホイール後</KEYM></COL>で助真の構えよ！","<COL ff7575><PADM><KCT WEAPON_MAIN><KEYM>With default settings, hold <KCT HOLD_BOW> and use Mouse Wheel</KEYM></COL> to ready the bow!"
"構えたまま<COL ff7575><PADM>右スティック<KEYM>マウス移動</KEYM></COL>で助真の魔眼！複数の味方を捉えられるわ","Hold and use <COL ff7575><PADM>Right Stick<KEYM>mouse</KEYM></COL>
for Magick Eye: True Aid. 
You can target multiple allies."
"助真の魔眼で味方を捉えたら、<COL ff7575><KCT SHOOT></COL>で助真の矢を撃ち、回復よ！","Once you've locked an ally with 
Magick Eye: True Aid, fire a True Aid Arrow with 
<COL ff7575><KCT SHOOT></COL> to heal them!"
"<COL ff7575><KCT CHANGE_ARROW></COL>で癒しの装よ。自分の体力を回復して！","Use <COL ff7575><KCT CHANGE_ARROW></COL> for Healing Shroud.
Restore your strength!"
"<COL ff7575><KCT ATTACK1></COL>で前蹴りよ！敵を蹴って距離をとって！","Use <COL ff7575><KCT ATTACK1></COL> for Front Kick!
Create distance by kicking foes!"
"よし、では祠の奥へ向かい大型敵と対峙よ！大型敵の<COL ff7575>＜怒り状態＞</COL>に注意して！","Alright! Head deeper into
the shrine and face the
large enemy! Beware its
<COL ff7575>enraged state</COL>!"
"そして<COL ff7575><KCT TOUCH></COL>でヤツにしがみついて！","Now use <COL ff7575><KCT TOUCH></COL> to climb onto it!"
"その状態で<COL ff7575><KCT ATTACK1></COL>で奮わせ直魔矢よ！","While clinging, use <COL ff7575><KCT ATTACK1></COL>
for Invigorating Magick Arrow!"
"怒り状態の敵を、助真の構えで捉えて！見るだけでシークレットコアを暴きだせるわ！","Target an enemy in the enraged state with the 
True Aid Stance! 
Just looking at it exposes the Secret Core!"
"では大型敵の<COL ff7575>＜怒り状態＞</COL>に注意してヤツを仕留めるの！","Be wary of the large enemy's <COL ff7575>enraged state</COL>
and take it out!"
"シークレットコアを攻撃したり、揺さぶり、疲れさせてチャンスを作って！","Attack the Secret Core, shake them,
or wear them down for openings!"
"試練完了ね！奥にある＜魔弓の証＞を受け取り、神殿のレンテンに報告してね","Trial complete! 
Take the <Element Archer's Mark> in the back
and report to Renton at the temple."
"おめでとうございます
これにて戦術試練は完了ですね！","Congratulations. 
The tactics trial
is now complete!"
"今覚えたエレメントアーチャ―の戦い方を
振り返りたい時は、《チュートリアルガイド》の
《ジョブの操作と役割》からエレメントアーチャ―の
戦法や戦術的役割を確認してください","To review the Element Archer's combat style
you just learned, check 《Tutorial》→
《Job Roles》for tactics and duties."
"エレメントアーチャーは、ヒーラーとアタッカー
二つの面をもつ特異なジョブです
立ち回り方は、私にとっても研究課題です","The Elemental Archer is
a unique job blending both
healer and attacker roles.
Even I'm still researching
optimal strategies."
"覚者とは試練に臆することなく立ち向かい
その使命を全うする者のことだ","An Arisen faces trials without fear and fulfills their duty"
"与えられた試練を全てこなせた者のみ
《魔弓の証》を得ることができる","Only those who complete all trials
may obtain the 《Element Archer's Mark.》"
"各試練のやり方について
わからなければ、今までに得た知識を
確認しながら臨むがいい","If unsure about any trial, review the knowledge you've gained so far"
"技や動きの参考のため
一人、共闘の仲間に来てもらってる
課題をこなす中で戦技を身に刻め！","To study techniques and forms,
I brought a comrade for joint
training. Engrave these combat
arts into your body through
practice!"
"与えられた試練を全てこなせた者のみ
《魔弓の証》を得ることができる","Only those who complete all trials
may obtain the 《Element Archer's Mark.》"
