0,,"では、こちらをお持ちください
貴方様の旅に、理の導きがありますよう","Please bring this with you.
May the guidance of order be with you on your
journey, Ser.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,2
0,,"ようこそ覚者様、果てたる地へ
祠の守番として貴方様にお力添えを
いたしましょう","Welcome, Ser Arisen, to the land's end.
As the guardian of the shrine, I shall offer you
my assistance.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,3
0,,"《ザンドラ禁域》は閉ざされた忌まわしき地
ゆめゆめそのこと、忘れられますな","The ""Zandora Wastelands"" is a forbidden, accursed
land.
Never forget that fact.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,4
0,,"覚者様のご活躍ぶり
この祠よりリムを通じて拝見しております","I have been observing your valiant deeds, Arisen,
through the Rift, from this shrine.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,5
0,,"こちらをどうぞ
貴方様のため、僅かであれ力添えとなれば
良いのですが","Please take this.
If it can be of even a little assistance to you,
then it is good.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,6
0,,"《クエストボード》にある
神殿からの令書をご確認ください
中には重要なる件もございますゆえ","Please review the decrees from the Temple on the
""Quest Board.""
There are some matters of great importance within.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,7
0,,"覚者様のお働き、お見事でございます
こちらをどうぞ
神殿からの報償でございます","Master Arisen, your labor is truly commendable.
Please accept this as a token of gratitude from
the Temple.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,8
0,,"私は古き世のポーン
我が主はかつてこの地を訪れ、命を落としました","I am a Pawn from a bygone era.
My master once visited this land and lost their
life.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,9
0,,"それからは神殿と覚者様の標として
この祠を守り続けております","From then on, as a symbol of the Temple and the
Arisen, I have continued to protect this shrine.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,10
0,,"覚者様
どうぞ、こちらの品をお持ちください","Ser Arisen, here, take this with you.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,11
0,,"本来ならば貴方を主とし
ポーンとしてお仕えしたいところでは
ありますが、ままなりませんゆえ
せめてもの奉仕にございます――","In truth, I would prefer to serve you as your
pawn, but it is not possible.
I can only offer what assistance I can--",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,12
0,,険しき旅にある貴方様に、これを,"To you, noble traveler on a perilous journey, I
present this.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,13
0,,"ここから私めにできる奉仕は
このくらいのことでございますゆえ","This is the extent of the assistance I can
provide from here.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,14
0,,"わざわざのお立ち寄り、感謝いたします
どうぞこれを――
旅のお役に立ててください","I appreciate your visit here, going out of your
way.
Please, take this... May it find use on your
journey.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,15
0,,"休憩でしたら規定にて
<VAL PRICE_INN>をお支払いいただきますが
よろしいでしょうか","If it's for resting, according to regulations,
<VAL PRICE_INN> will be required as payment.
Is that acceptable?",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,16
0,,はい,Yes,ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,17
0,,いいえ,No,ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,18
0,,"ここはかつてレスタニアの都であり
黄金郷と呼ばれたメルゴダが栄えた地――","This is the former capital of Lestania, where
Mergoda, once called the Golden Lands, flourished.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,19
0,,私は――,I am...,ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,20
0,,"今はザンドラ禁域と呼ばれるこの地の
エリアマスターを拝命しております
ダイオンと申します","I am currently serving as the Area Master of this
land, now known as the Zandora Wastelands.
My name is Dian.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,21
0,,"お気づきかどうか――
私はポーン――
遠き昔に、主をなくしたポーンです","Whether you've noticed or not—
I am a pawn—
a pawn who lost my master in a distant past.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,22
0,,"我が主はこの禁域にて古き知識を求め
戦い、そして命を奪われてしまいました――
メルゴダが残した忌まわしき遺物によって","My master sought ancient knowledge in this
forbidden wasteland, fought, and had their life
taken—
by the accursed relics left behind by Mergoda.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,23
0,,"主の無念と遺志を継ぎ
また、白竜様と神殿の命を伝えるべく
ご奉仕させて頂いております","Carrying on the legacy of my former master, I am
honored to serve once more, to convey Lord White
Dragon and the Temple's will.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,24
0,,"理を歪めしメルゴダが、再び同じ災禍を
レスタニアにもたらさぬよう――","In order to prevent the twisted Mergoda from
bringing the same calamity to Lestania once
again...",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,25
0,,どうか、よろしくお願い致します,"Pray, I'm counting on you.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,26
0,,覚者様のお働き、お見事でございます,"Master Arisen, your work is truly magnificent.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,27
0,,"神殿からの補給物資にて
支援いたしましょう","We shall provide support with supplies from the
temple.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,28
0,,これからもどうぞ、任務にお励みください,Please continue to do your best in your mission.,ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,29
0,,"覚者様、亡都メルゴダを守る
古き錬魔の一団が、《双輪の谷》にて
いまだ徘徊しているようでございます","Ser Arisen, it appears that a group of ancient
alchemists, guardians of the fallen capital
Mergoda, are still roaming in the ""Twin Wheel
Valley.""",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,30
0,,付近を通行の際は、どうぞご注意を――,Please be careful when passing through the area.,ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,31
0,,覚者様のお働き、お見事でございます,"Master Arisen, your work is truly magnificent.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,32
0,,"神殿からの補給物資にて
支援いたしましょう","We shall provide support with supplies from the
temple.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,33
0,,これからもどうぞ、任務にお励みください,Please continue to do your best in your mission.,ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,34
0,,"覚者様、かつてセラー湖より都へと
水を運んだ大地下水路――
《メルゴダ大水網》という場所がございます","Lord Arisen, there is a place called the Mergoda
Flood Channels, which is a great underground
waterway that once transported water from Lake
Cera to the capital--",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,35
0,,"かの水路は、わが主が命を落とした場所
長らく封鎖しておりましたが
貴方様であれば、あの場所の探索も
可能かもしれませぬ――","That watercourse is where my master met their end.
It has been closed off for many years, but
perhaps with you, exploration may be nigh
feasible.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,36
0,,"入り口の封印を解いておきましょう
ただし、探索されるかの判断は
貴方様ご自身で――","Let me unseal the entrance for you.
However, whether to proceed with the exploration
is a decision for you to make yourself.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,37
0,,"覚者様、とりいそぎ対処を
お願いしたき儀がございます","Ser Arisen, there is an urgent matter that
requires your immediate attention.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,38
0,,"フロックヴァルト大橋へと至る道に
《バンデッドホーント》という蛮族の
関所がございます","On the road leading to Flocwald Bridge, there is
a checkpoint called ""Banded Haunt"" that belongs to
a barbaric tribe.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,39
0,,"そこに出現した古の巨人兵を
破壊いただきたいのです
これは神殿よりの重要な任務――","I would like you to destroy the ancient giant
warriors that have appeared there.
This is a crucial mission from the Temple.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,40
0,,"では、準備ができましたらあらためて
私にお声掛けください","Once you are ready, please talk to me again.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,41
0,,"覚者様、ザンドラの南部
セラー湖の岸辺にオークの残党が
宿営しているようでございます","Ser Arisen, it seems that remnant Orcs are
encamped on the shores of Lake Cera in southern
Zandora.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,42
0,,"それも、モゴックめに近いオークの将が
率いている様子――","It also appears to be led by an Orc General with
ties to Mogok.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,43
0,,"オークは長らく、そして今も
レスタニアにとっての脅威そのもの","Orcs have long been, and still are, a threat to
Lestania itself.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,44
0,,"彼らが再び勢いを取り戻す前に
手を打たれるが得策かと存じます","I think it would be a good idea to take action
before they regain momentum.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,45
0,,"覚者様のご活躍ぶり
この祠よりリムを通じて拝見しております","I have been observing your valiant deeds, Arisen,
through the Rift, from this shrine.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,46
0,,"補給物資をさらに良きものと
なるよう、手配をいたしました","We have made arrangements to further improve the
quality of the supplies.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,47
0,,"すでに戦いを共にできぬこの身を
歯がゆく思います","I'm already feeling a bit bitter that I cannot
see battle with you.",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,48
0,,"覚者様、ここより南東
東部ザンドラへ至る道中《南メルゴダ遺跡群》
を根城にするヒトの一団をご存知でしょうか","Ser Arisen, do you know of a group of individuals
who have established their base in the ""South
Mergoda Ruins,"" along the path to the Eastern
Zandora?",ui\00_message\npc\base\n4507.gmd,\npc\n4507.arc,n4507.arc,49
