#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex,,
0,,スィヤバードジャケット,Shahabad Jacket,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14866
0,,アッカリアバデット,Acrean Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14867
0,,アッカリアバデット,Acrean Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14868
0,,アッカリアバデット,Acrean Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14869
0,,アッカリアバデット,Acrean Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14870
0,,アッカリアバデット,Acrean Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14871
0,,栄光のチャンピオンベルト【Ⅰ】,Champion Belt of Glory (I),ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14872
0,,栄光のチャンピオンベルト【Ⅱ】,Champion Belt of Glory (II),ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14873
0,,栄光のチャンピオンベルト【Ⅲ】,Champion Belt of Glory (III),ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14874
0,,カーレッジバデット,Courage Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14875
0,,カーレッジバデット,Courage Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14876
0,,カーレッジバデット,Courage Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14877
0,,カーレッジバデット,Courage Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14878
0,,カーレッジバデット,Courage Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14879
0,,エミーネプレート,Emine Plate,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14880
0,,エミーネプレート,Emine Plate,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14881
0,,エミーネプレート,Emine Plate,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14882
0,,エミーネプレート,Emine Plate,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14883
0,,エミーネプレート,Emine Plate,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14884
0,,ドゥールズアーマー,Dools Armor,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14885
0,,ドゥールズアーマー,Dools Armor,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14886
0,,ドゥールズアーマー,Dools Armor,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14887
0,,ドゥールズアーマー,Dools Armor,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14888
0,,ドゥールズアーマー,Dools Armor,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14889
0,,マグナスローブ,Magnus Robe,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14890
0,,マグナスローブ,Magnus Robe,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14891
0,,マグナスローブ,Magnus Robe,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14892
0,,マグナスローブ,Magnus Robe,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14893
0,,マグナスローブ,Magnus Robe,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14894
0,,光明のバンデッドコート,Banded Coat of Hope,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14895
0,,光明のバンデッドコート,Banded Coat of Hope,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14896
0,,光明のバンデッドコート,Banded Coat of Hope,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14897
0,,光明のバンデッドコート,Banded Coat of Hope,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14898
0,,光明のバンデッドコート,Banded Coat of Hope,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14899
0,,ドゥールズローブ,Dools Robe,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14900
0,,ドゥールズローブ,Dools Robe,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14901
0,,ドゥールズローブ,Dools Robe,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14902
0,,ドゥールズローブ,Dools Robe,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14903
0,,ドゥールズローブ,Dools Robe,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14904
0,,ケルススラメラー,Kelsus Lamellar,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14905
0,,ケルススラメラー,Kelsus Lamellar,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14906
0,,ケルススラメラー,Kelsus Lamellar,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14907
0,,ケルススラメラー,Kelsus Lamellar,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14908
0,,ケルススラメラー,Kelsus Lamellar,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14909
0,,キアージャケット,Kier Jacket,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14910
0,,キアージャケット,Kier Jacket,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14911
0,,キアージャケット,Kier Jacket,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14912
0,,キアージャケット,Kier Jacket,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14913
0,,キアージャケット,Kier Jacket,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14914
0,,ドゥールズコート,Dools Coat,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14915
0,,ドゥールズコート,Dools Coat,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14916
0,,ドゥールズコート,Dools Coat,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14917
0,,ドゥールズコート,Dools Coat,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14918
0,,ドゥールズコート,Dools Coat,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14919
0,,アウラジャケット,Aura Jacket,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14920
0,,アウラジャケット,Aura Jacket,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14921
0,,アウラジャケット,Aura Jacket,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14922
0,,アウラジャケット,Aura Jacket,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14923
0,,アウラジャケット,Aura Jacket,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14924
0,,ニルーファルパデット,Niloufar Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14925
0,,ニルーファルパデット,Niloufar Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14926
0,,ニルーファルパデット,Niloufar Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14927
0,,ニルーファルパデット,Niloufar Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14928
0,,ニルーファルパデット,Niloufar Padding,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14929
0,,ドゥールズベスト,Dools Vest,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14930
0,,ドゥールズベスト,Dools Vest,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14931
0,,ドゥールズベスト,Dools Vest,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,14932
