"0","","蛮勇のスナイプベスト","Savage Courage Snipe vest","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15226"
"0","","孤高のスナイプベスト","Solitary's Snipe Vest","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15227"
"0","","孤高のスナイプベスト","Solitary's Snipe Vest","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15228"
"0","","孤高のスナイプベスト","Solitary's Snipe Vest","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15229"
"0","","孤高のスナイプベスト","Solitary's Snipe Vest","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15230"
"0","","孤高のスナイプベスト","Solitary's Snipe Vest","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15231"
"0","","英傑のスナイプジャケット","Hero's Snipe Jacket","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15232"
"0","","英傑のスナイプジャケット","Hero's Snipe Jacket","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15233"
"0","","英傑のスナイプジャケット","Hero's Snipe Jacket","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15234"
"0","","英傑のスナイプジャケット","Hero's Snipe Jacket","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15235"
"0","","英傑のスナイプジャケット","Hero's Snipe Jacket","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15236"
"0","","蛮勇のマジックローブ","Savage Courage Magic Robe","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15237"
"0","","蛮勇のマジックローブ","Savage Courage Magic Robe","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15238"
"0","","蛮勇のマジックローブ","Savage Courage Magic Robe","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15239"
"0","","蛮勇のマジックローブ","Savage Courage Magic Robe","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15240"
"0","","蛮勇のマジックローブ","Savage Courage Magic Robe","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15241"
"0","","孤高のマジックジャケット","Solitary Magic Jacket","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15242"
"0","","孤高のマジックジャケット","Solitary Magic Jacket","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15243"
"0","","孤高のマジックジャケット","Solitary Magic Jacket","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15244"
"0","","孤高のマジックジャケット","Solitary Magic Jacket","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15245"
"0","","孤高のマジックジャケット","Solitary Magic Jacket","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15246"
"0","","英傑のマジックブレスト","Hero's Magic Breast","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15247"
"0","","英傑のマジックブレスト","Hero's Magic Breast","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15248"
"0","","英傑のマジックブレスト","Hero's Magic Breast","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15249"
"0","","英傑のマジックブレスト","Hero's Magic Breast","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15250"
"0","","英傑のマジックブレスト","Hero's Magic Breast","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15251"
"0","","蛮勇のレンジャーアーマー","Savage Courage Ranger Armor","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15252"
"0","","蛮勇のレンジャーアーマー","Savage Courage Ranger Armor","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15253"
"0","","蛮勇のレンジャーアーマー","Savage Courage Ranger Armor","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15254"
"0","","蛮勇のレンジャーアーマー","Savage Courage Ranger Armor","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15255"
"0","","蛮勇のレンジャーアーマー","Savage Courage Ranger Armor","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15256"
"0","","孤高のレンジャーローブ","Solitary Ranger's Robe","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","15257"
