"#Index","Key","MsgJp","MsgEn","GmdPath","ArcPath","ArcName","ReadIndex","",""
"0","","ネド王子はまだ見つからないよ","Prince Nedo hasn't been found yet.","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","0","",""
"0","","しかし、ここに来た形跡はあるな","However, there are traces of him coming here.","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","1","",""
"0","","形跡って――何？","What do you mean by traces?","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","2","",""
"0","","ここには古くより王家に伝わる
竜骨の笛が祀られていた","This place has long enshrined a dragon bone flute
that has been passed down through the royal family.","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","3","",""
"0","","原初の竜の骨で作ったと言われているが
真偽はわからん","It is said to be made from the bones 
of the primordial dragon,
but the truth is unknown.","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","4","",""
"0","","その笛がなくなっているということは――
王子はここに来たのだろうよ","The fact that that flute is missing...
I'm sure the prince has been here.","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","5","",""
"0","","その笛にはどんな意味があるんです？","What is the meaning of that flute?","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","6","",""
"0","","重要な意味がある――
我々が竜に挑むための秘策そのものだ","It carries vital significance...
It is the very key to our strategy 
against the dragon.","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","7","",""
"0","","――竜から覚者への竜力の継承は
竜骨の笛の音に乗せて行われるのだ","...The dragon’s power is passed to the Arisen
through the sound of the dragon bone flute.","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","8","",""
"0","","悪しき竜の正体が我らの火竜様の血肉と
竜力だと考えれば――","If we consider that the true nature of the Evil Dragon
is the blood and power of our Fire Dragon...","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","9","",""
"0","","ネド王子が笛の音の力を借りて
竜力を継承できる可能性が高い","There is a strong possibility that Prince Nedo
can inherit the Dragon Force through with the flute.","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","10","",""
"0","","竜力を奪ってしまえば、悪しき竜は
竜のかたちをした魔物に過ぎない","If you take away the Dragon Force, the Evil Dragon
is just a monster, in the shape of a dragon.","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","11","",""
"0","","あとは我らが総力を結集して
その魔物を倒せばよい","After that, we can gather all our strength 
and defeat that monster.","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","12","",""
"0","","メガドを奪回した夜も
王子には、再度ご説明申し上げた","The night we took back Megado,
I made sure to explain it to the Prince again.","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","13","",""
"0","","それを知った上で王子は単独行動を選んだ――
わからないな――","Knowing that, the Prince chose to act alone...
It’s unclear why...","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","14","",""
"0","","あんまり悠長にしている時間はねえぞ","We don't have much time to waste.","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","15","",""
"0","","次に王子が向かう先を考えようぜ","Let's figure out where the Prince is headed next.","ui\00_message\event\st0465\ev000.gmd","\event\st0465\st0465ev000.arc","st0465ev000.arc","16","",""
"0","","グウゥッ！！！","Grrr!!!","ui\00_message\event\st0467\ev000.gmd","\event\st0467\st0467ev000.arc","st0467ev000.arc","0","",""
"0","","見事だ、白竜の覚者よ――","Impressive, Arisen of the White Dragon—","ui\00_message\event\st0467\ev000.gmd","\event\st0467\st0467ev000.arc","st0467ev000.arc","1","",""
"0","","だが、我を滅ぼすことはこの世から闇を消すに等しい","However, destroying me is akin to 
erasing the darkness from this world.","ui\00_message\event\st0467\ev000.gmd","\event\st0467\st0467ev000.arc","st0467ev000.arc","2","",""
"0","","静かになりましたね","It's quieter now.","ui\00_message\event\st0468\ev005.gmd","\event\st0468\st0468ev005.arc","st0468ev005.arc","0","",""
"0","","戦の将は討ち果たしたぞ！","The War Master has been defeated!","ui\00_message\event\st0468\ev005.gmd","\event\st0468\st0468ev005.arc","st0468ev005.arc","1","",""
"0","","ああ、大きな勝ち星だ","Yes, a great victory.","ui\00_message\event\st0468\ev005.gmd","\event\st0468\st0468ev005.arc","st0468ev005.arc","2","",""
"0","","勝った！　オークたちが撤退して行く！","We won! The orcs are retreating!","ui\00_message\event\st0468\ev005.gmd","\event\st0468\st0468ev005.arc","st0468ev005.arc","3","",""
"0","","やった！","We did it!","ui\00_message\event\st0468\ev005.gmd","\event\st0468\st0468ev005.arc","st0468ev005.arc","4","",""
"0","","レスタニアの覚者らよ
おぬしらの力あっての勝利！","Arisen of Lestania,
your might brought us this triumph!","ui\00_message\event\st0468\ev005.gmd","\event\st0468\st0468ev005.arc","st0468ev005.arc","5","",""
