key,old,new,format
SPOT_NAME_,ラスニテ山麓,Rathnite Foothills,
SPOT_NAME_,ラスニテ山麓　湖畔部,Rathnite Foothills Lakeside,
SPOT_NAME_,隠れ村ピレモス,Hidden Village Piremoth,
SPOT_NAME_,ティネス砦,Fort Thines,{'proper': True}
SPOT_NAME_,ロスギル,Rothgill,{'proper': True}
SPOT_NAME_,ベルタ盗賊団のアジト,Bertha's Bandit Group Hideout,{'proper': True}
SPOT_NAME_,小鬼の物見台,Goblin Lookout,
SPOT_NAME_,遠吠えの前線,The Howling Front,{'new': 'Howling Front'}
SPOT_NAME_,廃村デニスィル,Deserted Village of Denisyr,
SPOT_NAME_,休憩所跡地,Former Rest Station,
SPOT_NAME_,落露の大穴,Dewdrop Crater,
SPOT_NAME_,フェルヤナ関所前,Feryana Border Checkpoint,
SPOT_NAME_,魔軍戦車駐留地,Demon Army War Machine Garrison,
SPOT_NAME_,魔軍緊急野営地,Demon Army Camp,
SPOT_NAME_,獣将の園生,Beastmaster's Garden,
SPOT_NAME_,冥府下りの洞穴,Cave of Hell's Descent,
SPOT_NAME_,ラスニテ地下水路,Rathnite Underground Waterway,
SPOT_NAME_,湖畔の洞窟,Lakeside Grotto,
SPOT_NAME_,イミズディット遺跡,Yimidhitt Ruins,
SPOT_NAME_,ウルタ古水路,Ulta Ancient Watercourse,
SPOT_NAME_,英霊眠りし道　ラスニテ山麓,Heroic Spirit Sleeping Path: Rathnite Foothills,
SPOT_NAME_,ラスニテ納骨廟,Rathnite Columbarium,
