0,,トモスコロモス,Tomos Chromos,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5357,
0,,ブラックマター,Black Matter,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5358,
0,,ブラックマター,Black Matter,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5359,
0,,ブラックマター,Black Matter,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5360,
0,,ブラックマター,Black Matter,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5361,
0,,ブラックマター,Black Matter,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5362,
0,,オリュンポス,Olympus,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5363,
0,,オリュンポス,Olympus,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5364,
0,,オリュンポス,Olympus,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5365,
0,,オリュンポス,Olympus,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5366,
0,,オリュンポス,Olympus,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5367,
0,,ゴルディオン,Gordion,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5368,
0,,ゴルディオン,Gordion,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5369,
0,,ゴルディオン,Gordion,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5370,
0,,ゴルディオン,Gordion,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5371,
0,,ゴルディオン,Gordion,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5372,
0,,トライヘッド,Tri-Head,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5373,
0,,トライヘッド,Tri-Head,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5374,
0,,トライヘッド,Tri-Head,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5375,
0,,トライヘッド,Tri-Head,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5376,
0,,トライヘッド,Tri-Head,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5377,
0,,ギルガメッシュランス,Gilgamesh Lance,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5378,
0,,ギルガメッシュランス,Gilgamesh Lance,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5379,
0,,ギルガメッシュランス,Gilgamesh Lance,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5380,
0,,ギルガメッシュランス,Gilgamesh Lance,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5381,
0,,ギルガメッシュランス,Gilgamesh Lance,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5382,
0,,ハーテンクリンガ,Hartenklinger,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5383,
0,,ハーテンクリンガ,Hartenklinger,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5384,
0,,ハーテンクリンガ,Hartenklinger,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5385,
