0,,グリプスマント,Gryphus Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19663
0,,白翼のマント,White Wings Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19664
0,,白翼のマント,White Wings Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19665
0,,白翼のマント,White Wings Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19666
0,,白翼のマント,White Wings Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19667
0,,白翼のマント,White Wings Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19668
0,,ワイズマンクローク,Arisen's Cloak,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19669
0,,ワイズマンクローク,Arisen's Cloak,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19670
0,,ワイズマンクローク,Arisen's Cloak,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19671
0,,ワイズマンクローク,Arisen's Cloak,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19672
0,,ワイズマンクローク,Arisen's Cloak,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19673
0,,ポールドロン,Pauldron,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19674
0,,ポールドロン,Pauldron,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19675
0,,ポールドロン,Pauldron,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19676
0,,ポールドロン,Pauldron,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19677
0,,ポールドロン,Pauldron,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19678
0,,イーグルマント,Eagle Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19679
0,,イーグルマント,Eagle Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19680
0,,イーグルマント,Eagle Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19681
0,,イーグルマント,Eagle Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19682
0,,イーグルマント,Eagle Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19683
0,,サバイバーズケープ,Survivor's Cape,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19684
0,,サバイバーズケープ,Survivor's Cape,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19685
0,,サバイバーズケープ,Survivor's Cape,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19686
0,,サバイバーズケープ,Survivor's Cape,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19687
0,,サバイバーズケープ,Survivor's Cape,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19688
0,,望郷のクローク,Cloak of Nostalgia,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19689
0,,望郷のクローク,Cloak of Nostalgia,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19690
0,,望郷のクローク,Cloak of Nostalgia,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19691
0,,望郷のクローク,Cloak of Nostalgia,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19692
0,,望郷のクローク,Cloak of Nostalgia,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19693
0,,サージェントクローク,Sergeant's Cloak,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19694
