key,old,new,format
SPOT_NAME_,ザンドラ東部,Eastern Zandora,{'proper': True}
SPOT_NAME_,ゾマ,Zoma,{'proper': True}
SPOT_NAME_,奇岩谷,Odd Rock Valley,
SPOT_NAME_,東ザンドラ廃墟群,East Zandora Ruins,
SPOT_NAME_,ザンドラ灯台,Zandora Lighthouse,
SPOT_NAME_,呪詛の庭,Garden of Curses,
SPOT_NAME_,死王の迷宮,Dead Lord's Labyrinth,
SPOT_NAME_,屍のすすり泣く地,Weeping Corpse Ground,
SPOT_NAME_,禊の神殿　離殿,Temple of Purification: South Chamber,
SPOT_NAME_,啼き井戸,Keening Well,
SPOT_NAME_,東ザンドラ廃墟群,East Zandora Ruins,
SPOT_NAME_,灯台の地下倉庫,Lighthouse Underground Stores,
SPOT_NAME_,怨嗟の祠,Shrine of Resentment,
SPOT_NAME_,虚ろの小堂,Empty Chapel,
SPOT_NAME_,湖底連絡路,Lakebottom Connecting Passage,
SPOT_NAME_,幽玄の霊堂,Mysterious Mausoleum,
