key,old,new,format
SPOT_NAME_,ファーラナ平原,Farana Plains,
SPOT_NAME_,聖域,Sacred Grounds,
SPOT_NAME_,ダナ,Dana,{'proper': True}
SPOT_NAME_,武霊の庵,Spirit Arts Hut,
SPOT_NAME_,マヌンの集落,Manun Village,
SPOT_NAME_,始まりの洞　集いの間,Hollow of Beginnings: Gathering Area,
SPOT_NAME_,始まりの洞,Hollow of Beginnings,
SPOT_NAME_,古住居遺跡,Old Residence Ruins,
SPOT_NAME_,旧闘技場跡地,Former Arena,
SPOT_NAME_,ニュートの巣穴,Newt Den,
SPOT_NAME_,鎧幽の巨岩,Dark Armor Crag,
SPOT_NAME_,甲竜の湿原,Shell Dragon's Bog,
SPOT_NAME_,大翼の谷,Great Wings Valley,
SPOT_NAME_,ファーラナ中央洲,Central Farana Sandbank,
SPOT_NAME_,ダナウィンの挑堂,Dunhain's Hall of Trials,{'proper': True}
SPOT_NAME_,ダナンデール洞窟,Danandell Cave,
SPOT_NAME_,ファーラナ遺跡,Farana Ruins,
SPOT_NAME_,マグサス古水路,Magusas Ancient Watercourse,
SPOT_NAME_,ヴェイガサス回廊,Vegasa Corridor,
SPOT_NAME_,ヴァルテブル・ホール,Valtable Hall,
SPOT_NAME_,タラーテ集水路,Thalati Waterway,
SPOT_NAME_,精霊竜のねぐら,Spirit Dragon's Roost,
SPOT_NAME_,聖河の遺跡,Sacred River Ruins,
SPOT_NAME_,知恵の小塔,Small Tower of Wisdom,
SPOT_NAME_,タリーエの小塔,Tarie Small Tower,
