key,old,new,format
SPOT_NAME_,魔赤島,Bloodbane Isle,{'proper': True}
SPOT_NAME_,魔赤島・絶崖,Bloodbane Isle Precipice,
SPOT_NAME_,魔赤島・山頂,Bloodbane Isle Summit,
SPOT_NAME_,調査隊駐屯地,Expedition Garrison,
SPOT_NAME_,滝を臨む蝕地,Corrupted Ground Facing the Waterfall,
SPOT_NAME_,捕食者たちの低地,Predators' Lowland,
SPOT_NAME_,翼風高原,Wing Wind Plateau,
SPOT_NAME_,侵食魔の巣窟,Infected Den,
SPOT_NAME_,氷気の遺路,Frigid Ancient Passage,
SPOT_NAME_,群像の岩屋,Picturesque Grotto,
SPOT_NAME_,不浄の掃き溜め,Cesspool of Filth,
SPOT_NAME_,陽射す地下洞,Sunlit Underground Cave,
SPOT_NAME_,せせらぎの地下聖堂,Crypt of Murmurs,
SPOT_NAME_,小塔傍の枯れ井戸,Dried Well by the Tower,
SPOT_NAME_,侵食魔の巣窟　奥底,Infected Den Depths,
SPOT_NAME_,橋向かいの坑道,The Tunnel across the Bridge,{'new': 'Tunnel across the Bridge'}
SPOT_NAME_,滝鳴洞穴,Waterfall Echo Cavern,
SPOT_NAME_,菌糸の襲窟,Fungal Colony Caves,
SPOT_NAME_,水声の瞑堂,Gurgling Meditation Temple,
SPOT_NAME_,聖遺の塔,Sage Tower Ruins,
