key,old,new,,
ACHIEVEMENT_NAME_450,横たわる神,The Slumbering God,,
ACHIEVEMENT_NAME_519,異界の戦士,Soldiers of the Rift,,
ACHIEVEMENT_NAME_520,湯煙の館,The House of Steam,,
ACHIEVEMENT_NAME_521,神の目覚め,The God's Awakening,,
ACHIEVEMENT_NAME_522,闇を纏う娘,The Girl Clad in Darkness,,
ACHIEVEMENT_NAME_523,命の行方,The Course of Life,,
ACHIEVEMENT_NAME_524,束の間の休息,A Brief Respite,,
ACHIEVEMENT_NAME_525,託された未来,The Entrusted Future,,
ACHIEVEMENT_NAME_526,戦士たちの困惑,The Quandary of Soldiers,,
ACHIEVEMENT_NAME_527,偉大なる錬金術師,The Great Alchemist,,
ACHIEVEMENT_NAME_528,新兵の心,The Heart of a Recruit,,
ACHIEVEMENT_NAME_529,討伐請け負います,Contract Elimination,,
ACHIEVEMENT_NAME_530,バウンティ・ハンター,Bounty Hunter,,
ACHIEVEMENT_NAME_531,バトルエリート,Battle Elite,,
ACHIEVEMENT_NAME_532,ザ・処刑人,The Executioner,,
ACHIEVEMENT_NAME_533,確実に,Reliable,,
ACHIEVEMENT_NAME_534,確実且つ丁寧に,Reliable and Polite,,
ACHIEVEMENT_NAME_535,確実且つ丁寧且つ迅速に,"Reliable, Polite and Prompt",,
ACHIEVEMENT_NAME_536,確実且つ丁寧且つ迅速且つ笑顔で,"Reliable, Polite, Prompt and with a Smile",,
ACHIEVEMENT_NAME_537,確実且つ丁寧且つ迅速且つ笑顔で紳士的,"Reliable, Polite, Prompt, with a Smile and Gentlemanly",,
ACHIEVEMENT_NAME_538,ストレンジャー,Stranger,,
ACHIEVEMENT_NAME_539,ミステリーハンター,Mystery Hunter,,
ACHIEVEMENT_NAME_540,ワールドウォッチャー,World Watcher,,
ACHIEVEMENT_NAME_541,ニュース見ました,Read the News,,
ACHIEVEMENT_NAME_542,ニュース愛読者,News Subscriber,,
ACHIEVEMENT_NAME_543,世界の情報通,World Information Gatherer,,
ACHIEVEMENT_NAME_544,真相目撃人,Witness of the Truth,,
ACHIEVEMENT_NAME_582,百戦錬磨,100 War Veteran,,
ACHIEVEMENT_NAME_583,三百撃破,300 Defeats,,
ACHIEVEMENT_NAME_584,一騎当千,The Unmatched Warrior,,
ACHIEVEMENT_NAME_585,万夫不当,A Match for Thousands,,
