0,TUTORIAL_STEP_686,"カスタムメイド工房での<COL ffdc78>《武具のリミット解除》</COL>は
下記の２つを揃えることで
何度でも行うことができます

　①★４まで強化された武器や防具
　②素材やリムなどの必要な費用

また、付与される性能は
<COL ffdc78>リミット解除を試すたびに上書きされる</COL>ため
成功時に付与される性能例を
確認しながら行いましょう","In the <COL ffdc78> ""Limit Breaking Arms"" </COL> at the Custom-Made Workshop, you can perform it as many times as you want by obtaining the following two things:

① Weapons and armor enhanced up to ★4
② Required costs such as materials and Rift Crystals

Also, the <COL ffdc78>granted abilities are overwritten every time you attempt the Limit Break</COL>, so let's proceed while confirming examples of granted abilities upon success.",ui\00_message\tutorial_guide\steps\tutorial_guide_step384.gmd,\tguide\tutorial_guide_384.arc,tutorial_guide_384.arc,0
0,TUTORIAL_STEP_687,"カスタムメイド工房内にある<COL ffdc78>武具の極限合成</COL>は
下記の２つを揃えることで
何度でも行うことができます

　①★４まで強化された<COL ffdc78>特定の武器</COL>
　　（プリズムアイコンのもの：画像参照）
　②素材やリムなどの必要な費用
","Within the Custom-Made Workshop, the <COL ffdc78>Ultimate Synthesis of Arms</COL> is available. 
By obtaining the following two items, you can perform it as many times as you want:

① A <COL ffdc78>specific weapon</COL> strengthened up to ★4 
 (Refer to the image for weapons with a prism icon)
② The required materials and Rift Crystals
",ui\00_message\tutorial_guide\steps\tutorial_guide_step385.gmd,\tguide\tutorial_guide_385.arc,tutorial_guide_385.arc,0
1,TUTORIAL_STEP_691,"極限合成は通常の強化とは異なり
大幅に攻撃性能を高めることができます

各武器につき、最初の１回目は
必要な素材とリムで極限合成することができます

すでに極限合成を試したことのある武具に
<COL ffdc78>ふたたび極限合成を試みる場合は
リムではなく《黄金石》が必要です</COL>","Ultimate synthesis is different from regular enhancement, as it significantly boosts attack performance.

For each weapon, the first synthesis can be done using the required materials and Rift Crystals.

If you want to attempt ultimate synthesis again on equipment that has already undergone it, you will need <COL ffdc78>Golden Gemstones instead of Rift Crystals.</COL>",ui\00_message\tutorial_guide\steps\tutorial_guide_step385.gmd,\tguide\tutorial_guide_385.arc,tutorial_guide_385.arc,1
2,TUTORIAL_STEP_692,"また、何度も極限合成を試みる場合は
そのたびに<COL ffdc78>性能が上書きされるため</COL>
成功時に付与される性能例を
しっかりと確認しながら行いましょう","In addition, if you attempt the Ultimate Synthesis multiple times, <COL ffdc78>the performance will be overwritten each time</COL>, so
let's perform it while thoroughly confirming the results granted upon success.",ui\00_message\tutorial_guide\steps\tutorial_guide_step385.gmd,\tguide\tutorial_guide_385.arc,tutorial_guide_385.arc,2
0,TUTORIAL_STEP_700,"白竜神殿に設置されている
<COL ffdc78>《スペシャルクエストボード》</COL>は
高難易度かつ高報酬の依頼が掲示されている
特殊なクエストボードです

また、すべての依頼をこなすと
依頼内容がリロードされるという特徴があります

※1日でリロードされる回数には上限があります","The <COL ffdc78>《Special Quest Board》</COL>located in the White Dragon Temple is a special quest board where requests of high difficulty and high reward are posted.

In addition, when all requests are completed, the requests are reloaded

*There is a limit to the number of times they can be reloaded in one day.",ui\00_message\tutorial_guide\steps\tutorial_guide_step386.gmd,\tguide\tutorial_guide_386.arc,tutorial_guide_386.arc,0
1,TUTORIAL_STEP_701,"通常のボードクエストと同じく
黄金石を使って一括クリアすることも可能です

※一括クリアしても依頼内容はリロードされますが
　一括クリアするごとに、次に必要な黄金石の量が
　増えていきます","Just like regular board quests, it is also possible to use Golden Gemstones to clear them all at once.

*Even if you clear them all at once, the request content will be reloaded. However, with each bulk clearance, the amount of Golden Gemstones required will increase.",ui\00_message\tutorial_guide\steps\tutorial_guide_step386.gmd,\tguide\tutorial_guide_386.arc,tutorial_guide_386.arc,1
0,TUTORIAL_STEP_721,"ハイセプターは、魔道剣による攻撃と
魔印を付与することで敵から魔力を奪い、
多彩な魔法へと転換しながら戦う
剣と魔法の使い手です

＜基本操作＞
　【<KC ATTACK1>】 四連斬（剣による連続攻撃）
　【<KC ATTACK2>】 ルイン・ショット（魔法弾）","High Scepter is a wielder of the Magick Sword, using it to launch consecutive attacks and imbue enemies with magical seals, stealing their magic power and converting it into various forms of magic. 
They are skilled users of both sword and magic.

<Basic Controls>
- <KC ATTACK1>[Quadruple Slash]: Consecutive slashes with the sword.
- <KC ATTACK2>[Ruin Shot]: Magic bullets.",ui\00_message\tutorial_guide\steps\tutorial_guide_step388.gmd,\tguide\tutorial_guide_388.arc,tutorial_guide_388.arc,0
1,TUTORIAL_STEP_731,"<COL ffdc78>ウィル・マーカー</COL>は１体の敵に
魔印を付与することができます

　【<KC WEAPON_SUB>+<KC MARK_SHOT>】 ウィル・マーカー
　　　　　　　　（魔力を吸収する魔印を付与する）

<COL ffdc78>魔印を付与した敵を魔道剣で攻撃すると
魔印が成長し、魔力の吸収量が増加します</COL>

また、魔印が最大まで成長すると一部のスキル性能が
上がるなどの恩恵もあります","<COL ffdc78>Will Marker</COL> can apply a curse to one enemy.

【<KC WEAPON_SUB>+<KC MARK_SHOT>】 Will Marker
(Apply a curse that absorbs magical power)

<COL ffdc78>Attacking an enemy with a cursed mark using a Magick Sword will cause the curse to grow, increasing the amount of magical power absorbed.</COL>

Additionally, when the curse reaches its maximum growth, there are also benefits such as an increase in certain skill performance.",ui\00_message\tutorial_guide\steps\tutorial_guide_step388.gmd,\tguide\tutorial_guide_388.arc,tutorial_guide_388.arc,1
2,TUTORIAL_STEP_780,"ただし、魔印は継続して攻撃をしていないと
徐々に減退し、魔力吸収量も減ってしまいます
また、ダメージを受けて体勢を崩された際も
減退しやすい性質を持っています

魔印を付与した敵を倒した時には
魔力を多く得られメリットもあるため
敵の攻撃をかわしつつ
積極的に魔印を付与した敵を狙っていきましょう","However, if the curse mark is not continuously used for attack, it will gradually weaken, and the amount of magic absorption will also decrease.
Additionally, when you are damaged and the posture is disrupted, it is more prone to weakening.

When defeating an enemy with the curse mark applied, you can obtain a lot of magic power and there are also other benefits, so let's actively target enemies with the curse mark while avoiding their attacks.",ui\00_message\tutorial_guide\steps\tutorial_guide_step388.gmd,\tguide\tutorial_guide_388.arc,tutorial_guide_388.arc,2
0,TUTORIAL_STEP_722,"敵から魔力を吸収すると、<COL ffdc78>《魔力ゲージ》</COL>が溜まり
１本ゲージが溜まるごとに<COL ffdc78>《魔力スタック》</COL>が
１つ増加します

溜めた魔力は以下の２種の魔法として使用します
<COL ffdc78>《純魔法》</COL>　…魔力スタックを消費する高威力の魔法
<COL ffdc78>《補助魔法》</COL>　…魔力ゲージを消費するサポート魔法","When you absorb magic power from an enemy, your <COL ffdc78>""Magick Gauge""</COL> fills up.
For each filled gauge, your <COL ffdc78>""Magick Stack""</COL> increases by one.

You can use the accumulated magic power to cast two types of magic:
<COL ffdc78>""Pure Magic""</COL>: A high-power magic that consumes Magick Stacks.
<COL ffdc78>""Support Magic""</COL>: A support magic that consumes Magick Gauge.",ui\00_message\tutorial_guide\steps\tutorial_guide_step389.gmd,\tguide\tutorial_guide_389.arc,tutorial_guide_389.arc,0
1,TUTORIAL_STEP_732,"【<KC OVER_BRADE>】ルイン・ブレード
　　　　　　　（魔力を込めた剣を放つ純魔法）
【<KC SKILL_NORMAL1>】 バック・リープ
　　　　　　　（後方に高速で移動する補助魔法）
【<KC SKILL_NORMAL1>】 リターン・シフト
　　　　　　　（高速で敵に接近する）

※バック・リープは敵に密着した状態で使用すると
　発動し、次にリターン・シフトに切り替わります","[<KC OVER_BRADE>] Ruin Blade
(pure magic that fires a sword filled with magic power)
[<KC SKILL_NORMAL1>] Back Leap
(auxiliary magic that moves backward at high speed)
[<KC SKILL_NORMAL1>] Return Shift
(approaches the enemy at high speed)

*Back Leap activates when used while in close contact with the enemy, then switches to Return Shift.",ui\00_message\tutorial_guide\steps\tutorial_guide_step389.gmd,\tguide\tutorial_guide_389.arc,tutorial_guide_389.arc,1
2,TUTORIAL_STEP_794,"補助魔法を使い、敵との間合いを近距離と遠距離で
即座に切り替えられる点も
ハイセプターの強みと言えるでしょう",The ability to use auxiliary magic and switch between close and far range with the enemy instantly is also a strength of the high scepter!,ui\00_message\tutorial_guide\steps\tutorial_guide_step389.gmd,\tguide\tutorial_guide_389.arc,tutorial_guide_389.arc,2
0,TUTORIAL_STEP_33,"画面右上の<COL ffdc78>《ミニマップ》</COL>で
「プレイヤーの位置」と「敵の位置」が
すぐに確認できます

<COL ffdc78>中央緑のカーソルがあなたの現在地
小さな丸が敵の位置です</COL>

倒すべき敵の位置を把握しましょう","On the upper-right corner of the screen you will find
the <COL ffdc78>""Mini Map""</COL>. Here you can quickly see
your position and the position of enemies.

<COL ffdc78>The green circle at the center is your current location,
and small circles represent enemies</COL>

Use it to decide who to attack.",ui\00_message\tutorial_guide\steps\tutorial_guide_step39.gmd,\tguide\tutorial_guide_39.arc,tutorial_guide_39.arc,0
1,TUTORIAL_STEP_32,"ミニマップのサイズや縮尺はいつでも変更できます
状況に合わせて切替えましょう

＜サイズ変更＞
　【<KC UI_MINIMAP>】＋【<KC UI_MINIMAP_SCALING>】で切替
＜縮尺変更＞
　【<KC UI_MINIMAP>】+【<KC UI_MAP_ZOOM_IN>／<KC UI_MAP_ZOOM_OUT>】で変更
＜位置固定＞
　【<KC UI_MINIMAP>】+【<KC UI_MINIMAP_LOCK>】で固定","You can change the size and zoom of the ""Mini Map""
at any time. Change it according to the situation.

""Resizing""
Change Size with [<KC UI_MINIMAP>]+[<KC UI_MINIMAP_SCALING>]
""Zooming""
Change Zoom with [<KC UI_MINIMAP>]+[<KC UI_MAP_ZOOM_IN>／<KC UI_MAP_ZOOM_OUT>]
""Fixing Position""
Fix the Mini Map with [<KC UI_MINIMAP>]+[<KC UI_MINIMAP_LOCK>]",ui\00_message\tutorial_guide\steps\tutorial_guide_step39.gmd,\tguide\tutorial_guide_39.arc,tutorial_guide_39.arc,1
0,TUTORIAL_STEP_723,"ハイセプターは、
剣による近距離戦と魔法による遠距離戦の
両方をこなせるバランスに優れたアタッカーです

魔力を消費することで発動できる純魔法は強力なので
適切なタイミングを見極めて使用しましょう

魔力がない時には、性能を十分に発揮できないので
ゲージの管理には気を付けて立ち回りましょう","The High Scepter is an excellent attacker with a balanced ability to handle both close combat with a sword and long-range combat with magic. 
The pure magic that can be activated by consuming mana is powerful, so use it at the appropriate timing. 

When there is no mana, the performance cannot be fully displayed, so be careful in managing the gauge.",ui\00_message\tutorial_guide\steps\tutorial_guide_step390.gmd,\tguide\tutorial_guide_390.arc,tutorial_guide_390.arc,0
