0,,"す、すみません
てっきり、神殿からお知らせが
いっているかと思い込んでいて――","I-I'm sorry.
I thought the Temple had sent you a notice
already――",ui\00_message\npc\base\n1048.gmd,\npc\n1048.arc,n1048.arc,12
0,,"それでは、冒険手帳について
くわしくご説明させていただきますね",Let me explain more about the Adventure Notebook.,ui\00_message\npc\base\n1048.gmd,\npc\n1048.arc,n1048.arc,13
0,,"覚者様！
今日は良いお知らせがありますよ！","Arisen!
I have good news for you today!",ui\00_message\npc\base\n1048.gmd,\npc\n1048.arc,n1048.arc,14
0,,"神殿より、いつもレスタニアのため
働いてくださっている覚者様へと
特別褒賞が届いたんです","The Temple has sent
a special reward to those who have always worked
for Lestania!",ui\00_message\npc\base\n1048.gmd,\npc\n1048.arc,n1048.arc,15
0,,"受け取れるように手続きしておきましたので
あとで冒険手帳を開いてくださいね","I have made the procedures for you to receive it,
so please open your adventure notebook later, Lord
",ui\00_message\npc\base\n1048.gmd,\npc\n1048.arc,n1048.arc,16
0,,"あら？
もしかして――
自己紹介、まだでしたか？","Oh?
Could it be that...
Introductions, you haven't done it yet?",ui\00_message\npc\base\n1048.gmd,\npc\n1048.arc,n1048.arc,17
0,,"わたくし、冒険手帳の窓口係として参りました
リサと申します","My name is Lisa and I am the contact person for
the Adventure Handbook at
",ui\00_message\npc\base\n1048.gmd,\npc\n1048.arc,n1048.arc,18
0,,"冒険手帳に関することは
なんでもお申し付けくださいね","If you have any questions about the Adventure
Notebook, please contact us at
We're happy to help you with anything!",ui\00_message\npc\base\n1048.gmd,\npc\n1048.arc,n1048.arc,19
0,,"覚者様は、お部屋に帰られたら
何をなさるんですか？
くつろぎの時間に持つ、趣味と言いますか――","What do you do when you go back to 
your room?
I'd say it's a hobby that I have during 
my relaxation time...",ui\00_message\npc\base\n1048.gmd,\npc\n1048.arc,n1048.arc,20
0,,"わたしはレスタニアワインの利き酒が好きですね
定番はテルの辺りのものですけど
たまに手に入るリンウッド産のものも
野性味が強くて良いんですよ！","I like to taste Lestania wines
The standard ones are from the Tell area but 
the occasional Lynwood ones you can get 
are also good with a strong wild flavor!",ui\00_message\npc\base\n1048.gmd,\npc\n1048.arc,n1048.arc,21
0,,"お出かけになられた先でも
冒険手帳を使ってわたしにご連絡いただければ
クラフト指示やバザー出品を代行いたします","Even when you are away, you can contact me 
using your Adventure Notebook and I will be 
happy to give you craft instructions and 
bazaar items on your behalf.",ui\00_message\npc\base\n1048.gmd,\npc\n1048.arc,n1048.arc,22
