#Index,ArcName,ArcPath,GmdPath,Key,MsgEn,MsgJp,ReadIndex
104,systemFlow.arc,\systemFlow.arc,ui\00_message\ui\common_message.gmd,common_percent,%,%,104
57,systemFlow.arc,\systemFlow.arc,ui\00_message\ui\common_message.gmd,common_date_format,%Y/%m/%d,%Y/%m/%d,57
34,systemFlow.arc,\systemFlow.arc,ui\00_message\ui\common_message.gmd,common_open_bracket,(,(,34
35,systemFlow.arc,\systemFlow.arc,ui\00_message\ui\common_message.gmd,common_close_bracket,),),35
42,systemFlow.arc,\systemFlow.arc,ui\00_message\ui\common_message.gmd,common_plus,+,+,42
41,systemFlow.arc,\systemFlow.arc,ui\00_message\ui\common_message.gmd,common_hyphen,-,-,41
145,systemFlow.arc,\systemFlow.arc,ui\00_message\ui\common_message.gmd,common_slash,/,/,145
3,MyRoom.arc,\MyRoom.arc,ui\00_message\ui\weather_forecast.gmd,weather_rainy,<COL 8ff4ff>Rainy</COL>,<COL 8ff4ff>＜雨＞</COL>,3
9,MyRoom.arc,\MyRoom.arc,ui\00_message\ui\myroom.gmd,myroom_edit_alert,"<COL AA1414>Final Confirmation</COL>

When changing to the original hairstyle or
another hairstyle, it has to be changed at
the Beauty Salon (paid).

Are you sure you want to change it?","<COL AA1414>最終確認</COL>

元の髪型や、別の髪型に変更する場合は、
美容院（有償）で変更する必要があります。

本当に変更しますか？",9
0,game_common.arc,\game_common.arc,ui\00_message\pw\pwtlk02.gmd,,<COL B6FF01>《Harden》This attack will be with all the force I can muster!</COL>,<COL B6FF01>《剛化》ありったけの力で――攻撃します！</COL>,107
0,game_common.arc,\game_common.arc,ui\00_message\pw\pwtlk08.gmd,,<COL B6FF01>《Harden》I'll go harder than usual!</COL>,<COL B6FF01>《剛化》いつもより強めに行くわね！</COL>,107
0,game_common.arc,\game_common.arc,ui\00_message\pw\pwtlk08.gmd,,"<COL B6FF01>《Harden》This attack, I will carve it into your body!</COL>",<COL B6FF01>《剛化》この攻撃、その身に刻んであげる！</COL>,106
0,game_common.arc,\game_common.arc,ui\00_message\pw\pwtlk05.gmd,,"<COL B6FF01>This attack, you may burn it into your body!</COL>",<COL B6FF01>《剛化》この攻撃、その身に焼き付けるといい！</COL>,106
0,game_common.arc,\game_common.arc,ui\00_message\pw\pwtlk03.gmd,,<COL B6FF01>《Harden》This the power of the whole body!</COL>,<COL B6FF01>《剛化》この攻撃、どこまで耐えられるかな！</COL>,106
0,game_common.arc,\game_common.arc,ui\00_message\pw\pwtlk07.gmd,,<COL B6FF01>《Harden》This the power of the whole body!</COL>,<COL B6FF01>《剛化》この渾身の力、受けてみやがれ！</COL>,106
0,game_common.arc,\game_common.arc,ui\00_message\pw\pwtlk01.gmd,,<COL B6FF01>《Harden》 I will take away your stamina in one go!</COL>,<COL B6FF01>《剛化》一気に体力を奪ってみせます！</COL>,106
0,game_common.arc,\game_common.arc,ui\00_message\pw\pwtlk07.gmd,,<COL B6FF01>《Harden》Bust them down with all your might!</COL>,<COL B6FF01>《剛化》全力でぶっ潰す！</COL>,107
0,game_common.arc,\game_common.arc,ui\00_message\pw\pwtlk06.gmd,,<COL B6FF01>《Harden》I'm going to go all out to beat them!</COL>,<COL B6FF01>《剛化》全力で叩きにいくよっ！</COL>,107
0,game_common.arc,\game_common.arc,ui\00_message\pw\pwtlk03.gmd,,<COL B6FF01>《Harden》Bust them down with all your might!</COL>,<COL B6FF01>《剛化》力を示す！　いくぞ！</COL>,107
0,game_common.arc,\game_common.arc,ui\00_message\pw\pwtlk05.gmd,,<COL B6FF01>You should know how helpless you are!</COL>,<COL B6FF01>《剛化》己の無力さを知るといい！</COL>,107
