4,NORMAL_SKILL_COMMAND_11_167,<KC ATTACK2>を押す,Press <KC ATTACK2>.,ui\00_message\skill\normal_skill_command_11.gmd,\skill\normal_skill_data_11.arc,normal_skill_data_11.arc,4
7,NORMAL_SKILL_COMMAND_11_168,<KC WEAPON_SUB>を押しながら<KC MARK_SHOT>を押す,"Hold <KC WEAPON_SUB>, then press <KC MARK_SHOT>.",ui\00_message\skill\normal_skill_command_11.gmd,\skill\normal_skill_data_11.arc,normal_skill_data_11.arc,7
6,NORMAL_SKILL_COMMAND_11_169,<KC WEAPON_SUB>を押す,Press <KC WEAPON_SUB>.,ui\00_message\skill\normal_skill_command_11.gmd,\skill\normal_skill_data_11.arc,normal_skill_data_11.arc,6
9,NORMAL_SKILL_COMMAND_11_170,バックリープ発動後に<KC SKILL_NORMAL1>を押す,"After activating Back Leap, press <KC
SKILL_NORMAL1>.",ui\00_message\skill\normal_skill_command_11.gmd,\skill\normal_skill_data_11.arc,normal_skill_data_11.arc,9
5,NORMAL_SKILL_COMMAND_11_171,<KC ROLLING>を押す,Press <KC ROLLING>.,ui\00_message\skill\normal_skill_command_11.gmd,\skill\normal_skill_data_11.arc,normal_skill_data_11.arc,5
8,NORMAL_SKILL_COMMAND_11_172,"<KC SKILL_NORMAL1>を押す
　カテゴリ：補助魔法
　魔力１ゲージ消費で発動可能","Press <KC SKILL_NORMAL1>.
Category: Support Magick.
Consumes 1 magick gauge on activation.",ui\00_message\skill\normal_skill_command_11.gmd,\skill\normal_skill_data_11.arc,normal_skill_data_11.arc,8
10,NORMAL_SKILL_COMMAND_11_173,"<KC OVER_BRADE>を押す
　カテゴリ：純魔法
　魔力１スタック消費で発動可能","Press <KC OVER_BRADE>.
Category: Pure Magick.
Consumes 1 magick stack on activation.",ui\00_message\skill\normal_skill_command_11.gmd,\skill\normal_skill_data_11.arc,normal_skill_data_11.arc,10
3,NORMAL_SKILL_COMMAND_11_174,<PADM>空中で左スティックを倒しながら<KC ATTACK1>を押す<KEYM>空中で移動キーを押しながら<KC ATTACK1>を押す</KEYM>,"While in the air, press <PADM><KC ATTACK1> while
moving the left stick<KEYM><KC ATTACK1> while
holding movement keys</KEYM>.",ui\00_message\skill\normal_skill_command_11.gmd,\skill\normal_skill_data_11.arc,normal_skill_data_11.arc,3
2,NORMAL_SKILL_COMMAND_11_175,空中で<KC ATTACK1>を押す,"While in the air, press <KC ATTACK1>.",ui\00_message\skill\normal_skill_command_11.gmd,\skill\normal_skill_data_11.arc,normal_skill_data_11.arc,2
12,NORMAL_SKILL_COMMAND_11_176,しがみつき中に<KC ATTACK1>を連続して押す,"While climbing an enemy,
repeatedly press <KC ATTACK1>",ui\00_message\skill\normal_skill_command_11.gmd,\skill\normal_skill_data_11.arc,normal_skill_data_11.arc,12
11,NORMAL_SKILL_COMMAND_11_177,吹き飛ばされ中に<KC JUMP>を押す,"While being knocked away, press <KC JUMP>.",ui\00_message\skill\normal_skill_command_11.gmd,\skill\normal_skill_data_11.arc,normal_skill_data_11.arc,11
0,NORMAL_SKILL_INFO_01_4,剣による連続攻撃を繰り出す,Perform a continuous attack with your sword.,ui\00_message\skill\normal_skill_info_01.gmd,\skill\normal_skill_data_01.arc,normal_skill_data_01.arc,0
1,NORMAL_SKILL_INFO_01_5,剣による連続一点集中攻撃を繰り出す,"Pausing after your first swing allows you to
follow
up with a powerful concentrated attack.",ui\00_message\skill\normal_skill_info_01.gmd,\skill\normal_skill_data_01.arc,normal_skill_data_01.arc,1
